B L' R' U' R2 U'
B L' R' U2 D B2
B L' R' D U2 B2
B L' R' D' F2 U2
B R' L' U' R2 U'
B R' L' U2 D B2
B R' L' D U2 B2
B R' L' D' F2 U2
B R' D L' U2 B2
B R' D' L' F2 U2
B R' D' F2 U2 R
L' B R' U' R2 U'
L' B R' U2 D B2
L' B R' D U2 B2
L' B R' D' F2 U2
B L' R' U D2 L2 U
B L' R' U' R2 U' D
B L' R' U' R2 U' D'
B L' R' U' R2 U' D2
B L' R' U' R2 D U'
B L' R' U' R2 D' U'
B L' R' U' R2 D2 U'
B L' R' U2 D B2 D
B L' R' U2 D B2 D'
B L' R' U2 D B2 D2
B L' R' U2 B D B2
B L' R' U2 B' D B2
B L' R' U2 B2 D B2
B L' R' D U2 B2 D
B L' R' D U2 B2 D'
B L' R' D U2 B2 D2
B L' R' D F U2 B2
B L' R' D F' U2 B2
B L' R' D F2 U2 B2
B L' R' D' F2 U2 D
B L' R' D' F2 U2 D'
B L' R' D' F2 U2 D2
B L' R' D' F2 D U2
B L' R' D' F2 D' U2
B L' R' D' F2 D2 U2
B L' R' D2 U L2 U
B L' R' F U' R2 U'
B L' R' F U2 D B2
B L' R' F D U2 B2
B L' R' F D' F2 U2
B L' R' F' U' R2 U'
B L' R' F' U2 D B2
B L' R' F' D U2 B2
B L' R' F' D' F2 U2
B L' R' F2 U' R2 U'
B L' R' F2 U2 D B2
B L' R' F2 D U2 B2
B L' R' F2 D' F2 U2
B L' U' R U R2 U2
B L' U' R U' D2 L2
B L' U' R D B2 U'
B L' U' R D2 U' L2
F2 L' U' B R' U2 R2
B L' U' B2 R U' L
B L' D R' U' R2 U'
B L' D R' U2 D B2
B L' D R' D U2 B2
B L' D R' D' F2 U2
B L' D' R' U' R2 U'
B L' D' R' U2 D B2
B L' D' R' D U2 B2
B L' D' R' D' F2 U2
B L' D2 R' U' R2 U'
B L' D2 R' U2 D B2
B L' D2 R' D U2 B2
B L' D2 R' D' F2 U2
B L' F D R' U2 B
B L' F2 R' U L' U
U' L' B R' U' R2 U'
U' L' B R' U2 D B2
U' L' B R' D U2 B2
U' L' B R' D' F2 U2
U2 L' B R' U' R2 U'
U2 L' B R' U2 D B2
U2 L' B R' D U2 B2
U2 L' B R' D' F2 U2
U L' B R' U' R2 U'
U L' B R' U2 D B2
U L' B R' D U2 B2
U L' B R' D' F2 U2
B' L' B2 U' R U' L2
B L2 R' U2 D B2 R'
B L2 R' D L U2 B2
B L2 R' D U2 B2 R'
B L2 R' D' L F2 U2
B L2 R' D' F2 L U2
R U L' R' B R' U2
R U L' B R' B U2
R U R' L' B R' U2
R U R' B L' R' U2
R U R' B R' L' U2
R U D2 L' U2 F L'
B' R U L' B2 U2 L2
B' R U B2 L' R' U2
B' R U B2 R' L' U2
B' R U' L D2 R2 F2
B' R U' L D2 F2 R2
B' R U' D2 F2 L R
B' R U' D2 F2 R L
D2 R U' F2 R F' L'
R U B L' R' B U2
R U B R' L' B U2
R U B R' B L' U2
B' R D2 U' F2 L R
B' R D2 U' F2 R L
B R' L' U D2 L2 U
R U' D2 F L' F R
B R' L' U' R2 U' D
B R' L' U' R2 U' D'
B R' L' U' R2 U' D2
B R' L' U' R2 D U'
B R' L' U' R2 D' U'
B R' L' U' R2 D2 U'
B R' L' U2 D B2 D
B R' L' U2 D B2 D'
B R' L' U2 D B2 D2
B R' L' U2 B D B2
B R' L' U2 B' D B2
B R' L' U2 B2 D B2
B R' L' D U2 B2 D
B R' L' D U2 B2 D'
B R' L' D U2 B2 D2
B R' L' D F U2 B2
B R' L' D F' U2 B2
B R' L' D F2 U2 B2
B R' L' D' F2 U2 D
B R' L' D' F2 U2 D'
B R' L' D' F2 U2 D2
B R' L' D' F2 D U2
B R' L' D' F2 D' U2
B R' L' D' F2 D2 U2
B R' L' D2 U L2 U
B R' L' F U' R2 U'
B R' L' F U2 D B2
B R' L' F D U2 B2
B R' L' F D' F2 U2
B R' L' F' U' R2 U'
