R' U L2 U2 F B
R' U L2 U2 B F
R U L2 F' U2 F2
R U F' L2 U2 F
R U F' B' L2 U2
R' U B' L2 U2 B2
R U B' L2 F' U2
R U B' F' L2 U2
R' U' B D2 R2 F2
R' U' B D2 F2 R2
U' R' B D2 R2 F2
U' R' B D2 F2 R2
L' R U L' F' U2 F2
U L U2 B2 R' F' B
U L U2 B2 R' B F'
L2 R F' U2 F2 D' L2
U L D2 L U2 F B'
U L D2 L U2 B' F
L' R' U L' U2 F B
L' R' U L' U2 B F
R' L' U L' U2 F B
R' L' U L' U2 B F
R L' U L' F' U2 F2
U L B2 U2 R' F' B
U L B2 U2 R' B F'
B' L2 R D' F' R U2
U' L2 R F' U2 L2 F2
U' L2 R F' U2 F2 L2
U L2 R F' R' U2 F2
U' L2 R' U2 F L2 B
U' L2 R' U2 F B L2
U' L2 R' U2 B F L2
B' L2 R2 U F' L' U
R L2 F' U2 F2 D' L2
U L2 U R' U F B
U L2 U R' U B F
B' L2 U' R' U' B L
B' L2 U' D B R' U'
B' L2 U' B R' U' B
U L2 U' R' U' F B
U L2 U' R' U' B F
U L2 U2 R' B R F
U L2 U2 F R' B R
B' L2 D U' B R' U'
R U L F' L U2 F
R' U L2 U2 D F B
R' U L2 U2 D B F
R' U L2 U2 D' F B
R' U L2 U2 D' B F
R' U L2 U2 D2 F B
R' U L2 U2 D2 B F
R' U L2 U2 F D B
R' U L2 U2 F D' B
R' U L2 U2 F D2 B
R' U L2 U2 F B D
R' U L2 U2 F B D'
R' U L2 U2 F B D2
R' U L2 U2 B D F
R' U L2 U2 B D' F
R' U L2 U2 B D2 F
R' U L2 U2 B F D
R' U L2 U2 B F D'
R' U L2 U2 B F D2
R' U L2 D U2 F B
R' U L2 D U2 B F
R' U L2 D' U2 F B
R' U L2 D' U2 B F
R' U L2 D2 U2 F B
R' U L2 D2 U2 B F
R' U L2 F' U2 F2 B
R' U L2 F' U2 B F2
R' U L2 F2 U2 F' B
R' U L2 F2 U2 B F'
R' U L2 B' U2 F B2
R' U L2 B' U2 B2 F
R' U L2 B2 U2 F B'
R' U L2 B2 U2 B' F
R U L2 U2 F D2 B2
R U L2 D F' U2 F2
R U L2 D' F' U2 F2
R U L2 D2 F' U2 F2
R U L2 F' U2 F2 D
R U L2 F' U2 F2 D'
R U L2 F' U2 F2 D2
R U L2 F' D2 B2 U2
R U L2 F' B U2 F2
R U L2 F' B' U2 F2
R U L2 F' B2 U2 F2
R U L2 B F' U2 F2
R U L2 B' F' U2 F2
R U L2 B2 F' U2 F2
R' U D2 B' U2 R2 B2
R' U D2 B' U2 B2 R2
R' U F L2 U2 F B
R' U F L2 U2 B F
R U D2 F' B' U2 R2
R U D2 B' U2 R2 B
R U D2 B' F' U2 R2
R' U F B' L2 U2 B2
R U F L2 F2 U2 F'
B' R L2 D' F' R U2
R' U F' L2 U2 F B
R' U F' L2 U2 B F
U' R L2 F' U2 L2 F2
U' R L2 F' U2 F2 L2
R U F B' L2 F2 U2
F' R U L2 F' U2 F2
R' U F' B' L2 U2 B2
F2 R U L2 F' U2 F2
R U F' L2 U2 D F
R U F' L2 U2 D' F
R U F' L2 U2 D2 F
R U F' L2 U2 F D
R U F' L2 U2 F D'
R U F' L2 U2 F D2
R U F' L2 D U2 F
U R L2 F' R' U2 F2
R U F' L2 D' U2 F
R U F' L2 D2 U2 F
R U F' L2 B U2 F
R U F' L2 B' U2 F
R U F' L2 B2 U2 F
R' U F2 L2 U2 F B
R' U F2 L2 U2 B F
F' R U F' L2 U2 F
F' R U F' B' L2 U2
F R U L2 F' U2 F2
F' R U B' L2 F' U2
F2 R U F' L2 U2 F
F' R U B' F' L2 U2
F2 R U F' B' L2 U2
R U F' D2 B' U2 R2
F2 R U B' L2 F' U2
R U F' B L2 B2 U2
F2 R U B' F' L2 U2
R U F' B' L2 U2 D
R U F' B' L2 U2 D'
R U F' B' L2 U2 D2
R U F' B' L2 D U2
R U F' B' L2 D' U2
R U F' B' L2 D2 U2
R U F' B' U2 D2 R2
R U F' B' D2 U2 R2
R U F' B2 L2 B U2
R' U F2 B' L2 U2 B2
F R U F' L2 U2 F
F R U F' B' L2 U2
R U F2 L2 U2 F B'
R U F2 L2 U2 B' F
U2 R U' L2 F' U2 F2
F R U B' L2 F' U2
F R U B' F' L2 U2
R' U B L2 B2 U2 B2
U2 R U' F' L2 U2 F
U2 R U' F' B' L2 U2
U2 R U' B' L2 F' U2
R U F2 B' L2 U2 B'
U2 R U' B' F' L2 U2
U' R U2 L2 F' U2 F2
R' U B' L U2 B2 R'
R U B L2 F' B2 U2
R U B L2 B2 F' U2
R' U B' L2 U2 B2 D
R' U B' L2 U2 B2 D'
R' U B' L2 U2 B2 D2
R' U B' L2 D2 F2 U2
R' U B' L2 F U2 B2
R' U B' L2 F' U2 B2
R' U B' L2 F2 U2 B2
U' R U2 F' L2 U2 F
U' R U2 F' B' L2 U2
U' R U2 B' L2 F' U2
U' R U2 B' F' L2 U2
R' U B' U2 B2 D2 R2
R U B F' L2 B2 U2
R' U B' D2 F2 U2 R2
R' U B' F L2 U2 B2
R' U B' F' L2 U2 B2
R U B' L F' L U2
R' U B' F2 L2 U2 B2
R U B' L2 D F' U2
R U B' L2 D' F' U2
R U B' L2 D2 F' U2
R U B' L2 F' U2 D
R U B' L2 F' U2 D'
R U B' L2 F' U2 D2
R U B' L2 F' D U2
R U B' L2 F' D' U2
R U B' L2 F' D2 U2
R' U B2 L2 F B U2
R' U B2 L2 B F U2
R U B' U2 D2 R2 B
R U B' D2 U2 R2 B
R U B' D2 F' U2 R2
R U B' F L2 F2 U2
R U B' F' L2 U2 D
R U B' F' L2 U2 D'
R U B' F' L2 U2 D2
R U B' F' L2 D U2
R U B' F' L2 D' U2
R U B' F' L2 D2 U2
R U B' F' U2 D2 R2
R U B' F' D2 U2 R2
R U B' F2 L2 U2 B'
R U B2 L2 F' B U2
R U B2 L2 B F' U2
R U B2 F' L2 B U2
U' R D2 R2 B D2 F2
U' R D2 B2 R2 F' B
U' R D2 B2 R2 B F'
R' U' L2 U2 F L2 B
R' U' L2 U2 F B L2
R' U' L2 U2 B F L2
U' R F D2 B2 R2 F'
U' R F' L2 U2 F L2
U' R F' B' L2 U2 L2
U R F' L2 R' U2 F
R U' L2 F' U2 L2 F2
R U' L2 F' U2 F2 L2
U R F' R' L2 U2 F
U R F' R' B' L2 U2
U' R B D2 R2 F2 B
U' R B D2 R2 B F2
U' R B' L2 F' U2 L2
U' R B' F' L2 U2 L2
R U' R2 B D2 R2 F2
R U' R2 B D2 F2 R2
U' R B2 D2 R2 F' B
U' R B2 D2 R2 B F'
R' U' D2 B R2 D2 F2
R' U' D2 B2 R2 F' B'
R' U' D2 B2 R2 B' F'
R U' D2 R2 B D2 F2
L2 U' F R' D B R'
R' U' F B D2 R2 F2
R' U' F B D2 F2 R2
R U' D2 B2 R2 F' B
R U' D2 B2 R2 B F'
U' R' L2 U2 F L2 B
U' R' L2 U2 F B L2
U' R' L2 U2 B F L2
R' U' F' B D2 R2 F2
R' U' F' B D2 F2 R2
R U' F D2 B2 R2 F'
F' R' U L2 U2 F B
F' R' U L2 U2 B F
F2 R' U L2 U2 F B
F2 R' U L2 U2 B F
R U' F' L2 U2 F L2
F' R' U B' L2 U2 B2
F R' U L2 U2 F B
F R' U L2 U2 B F
R' U' F2 B D2 R2 F2
R' U' F2 B D2 F2 R2
F2 R' U B' L2 U2 B2
U2 R' U B D2 R2 F2
U2 R' U B D2 F2 R2
R U' F' B' L2 U2 L2
R' U' B R D2 R2 F2
R' U' B R D2 F2 R2
U2 R' U' L2 U2 F B
U2 R' U' L2 U2 B F
R' U' B R' D2 R2 F2
R' U' B R' D2 F2 R2
R' U' B R2 D2 R2 F2
R' U' B R2 D2 F2 R2
F R' U B' L2 U2 B2
R' U' B U2 L2 B2 U2
R' U' B U2 B2 L2 U2
F' R' U' B D2 R2 F2
F' R' U' B D2 F2 R2
R' U' B D2 R' F2 R'
R' U' B D2 R2 F2 D
R' U' B D2 R2 F2 D'
R' U' B D2 R2 F2 D2
R' U' B D2 F R2 F
R' U' B D2 F2 R2 D
R' U' B D2 F2 R2 D'
R' U' B D2 F2 R2 D2
F2 R' U' B D2 R2 F2
F2 R' U' B D2 F2 R2
R' U' B F D2 R2 F2
R' U' B F D2 F2 R2
U' R' U2 L2 U2 F B
U' R' U2 L2 U2 B F
R' U' B F' D2 R2 F2
U2 R' U' B' L2 U2 B2
R' U' B F' D2 F2 R2
R' U' B F2 D2 R2 F2
R' U' B F2 D2 F2 R2
R' U' B' L2 U2 L2 B2
R' U' B' L2 U2 B2 L2
F R' U' B D2 R2 F2
F R' U' B D2 F2 R2
U' R' U2 B' L2 U2 B2
R U' B D2 R2 F2 B
R U' B D2 R2 B F2
R U' B' L2 F' U2 L2
R' U' B2 D2 R2 F' B'
R' U' B2 D2 R2 B' F'
R U' B' F' L2 U2 L2
R U' B2 D2 R2 F' B
R U' B2 D2 R2 B F'
U' R' D2 B R2 D2 F2
U' R' D2 B2 R2 F' B'
U' R' D2 B2 R2 B' F'
U' R' F B D2 R2 F2
U' R' F B D2 F2 R2
U' R' F' B D2 R2 F2
