F L' R U' L'
F R L' U' L'
F L' R U' L' D
F L' R U' L' D'
F L' R U' L' D2
F L' R U' D L'
F L' R U' D' L'
F L' R U' D2 L'
F L' R D U' L'
F L' R D' U' L'
F L' R D2 U' L'
F L' R B U' L'
F L' R B' U' L'
F L' R B2 U' L'
F L' D R U' L'
F L' D' R U' L'
F L' D2 R U' L'
F L' B R U' L'
F L' B' R U' L'
F L' B2 R U' L'
F R L' U' L' D
F R L' U' L' D'
F R L' U' L' D2
F R L' U' D L'
F R L' U' D' L'
F R L' U' D2 L'
F R L' D U' L'
F R L' D' U' L'
F R L' D2 U' L'
F R L' B U' L'
F R L' B' U' L'
F R L' B2 U' L'
F R D' L' B2 U'
F R D' B2 L' U'
F R B L' U' L'
F R B' L' U' L'
F R B2 L' U' L'
F R B2 L' U' L'
R' F L' R U' L'
R2 F L' R U' L'
U2 F L' U' L' B'
R' F R L' U' L'
U F L' U' B' L'
R F L' R U' L'
R2 F R L' U' L'
R F R L' U' L'
F D' L' R B2 U'
F D' L' B2 R U'
F D' R L' B2 U'
F D' R B2 L' U'
F D' B2 L' R U'
F D' B2 R L' U'
B' F L' R U' L'
B2 F L' R U' L'
B' F R L' U' L'
B F L' R U' L'
B2 F R L' U' L'
F B L' R U' L'
B F R L' U' L'
F B R L' U' L'
F B' L' R U' L'
F B' R L' U' L'
F B2 L' R U' L'
F B2 R L' U' L'
F L R U' D L F2
F L R U' D F2 L
F L R D U' L F2
F L R D U' F2 L
F L D R U' L F2
F L D R U' F2 L
F2 L F' L' R U' L2
F2 L F' R L' U' L2
F' L' R U L' D R2
F' L' R U D L' R2
F' L' R U D R2 L'
F' L' R D U L' R2
F' L' R D U R2 L'
F L' R U R U2 L'
F L' R U R' U2 L'
F L' R U R2 U2 L'
F L' R U' L2 D L
F L' R U' L2 D' L
F L' R U' L2 D2 L
F L' R U' D L' D
F L' R U' D L' D'
F L' R U' D L' D2
F L' R U' D' L' D
F L' R U' D' L' D'
F L' R U' D' L' D2
F L' R U' D2 L' D
F L' R U' D2 L' D'
F L' R U' D2 L' D2
F L' R U' B' L' B
F L' R U' B2 L' B2
F' L' R D2 B2 U L'
F L' R D U' L' D
F L' R D U' L' D'
F L' R D U' L' D2
F L' R D B U' L'
F L' R D B' U' L'
F L' R D B2 U' L'
F L' R D' U' L' D
F L' R D' U' L' D'
F L' R D' U' L' D2
F L' R D' B U' L'
F L' R D' B' U' L'
F L' R D' B2 U' L'
F L' R D2 U' L' D
F L' R D2 U' L' D'
F L' R D2 U' L' D2
F L' R D2 B U' L'
F L' R D2 B' U' L'
F L' R D2 B2 U' L'
F L' R B U' L' D
F L' R B U' L' D'
F L' R B U' L' D2
F L' R B U' D L'
F L' R B U' D' L'
F L' R B U' D2 L'
F L' R B D U' L'
F L' R B D' U' L'
F L' R B D2 U' L'
F L' R B' U' L' D
F L' R B' U' L' D'
F L' R B' U' L' D2
F L' R B' U' D L'
F L' R B' U' D' L'
F L' R B' U' D2 L'
F L' R B' D U' L'
F L' R B' D' U' L'
F L' R B' D2 U' L'
F L' R B2 U' L' D
F L' R B2 U' L' D'
F L' R B2 U' L' D2
F L' R B2 U' D L'
F L' R B2 U' D' L'
F L' R B2 U' D2 L'
F L' R B2 D U' L'
F L' R B2 D' U' L'
F L' R B2 D2 U' L'
F L' R' U' L' D B2
F L' R' U' D L' B2
F L' R' U' D B2 L'
F L' R' D U' L' B2
F L' R' D U' B2 L'
F L' R' B R2 U' L'
F L' R' B' R2 U' L'
F L' R' B2 R2 U' L'
F L' R2 D R' U' L'
F L' R2 D' R' U' L'
F L' R2 D2 R' U' L'
F L' R2 B U' L' B'
F L' U' L' U R U'
F' L' D R U L' R
F' L' D R U R L'
F L' D R U' L' D
F L' D R U' L' D'
F L' D R U' L' D2
F L' D R U' D L'
F L' D R U' D' L'
F L' D R U' D2 L'
F L' D R D U' L'
F L' D R D' U' L'
F L' D R D2 U' L'
F L' D R B U' L'
F L' D R B' U' L'
F L' D R B2 U' L'
F L' D B R U' L'
F L' D B' R U' L'
F L' D B2 R U' L'
F L' D' R U' L' D
F L' D' R U' L' D'
F L' D' R U' L' D2
F L' D' R U' D L'
F L' D' R U' D' L'
F L' D' R U' D2 L'
F L' D' R D U' L'
F L' D' R D' U' L'
F L' D' R D2 U' L'
F L' D' R B U' L'
F L' D' R B' U' L'
F L' D' R B2 U' L'
F L' D' B R U' L'
F L' D' B' R U' L'
F' L' D2 R B2 U L'
F L' D' B2 R U' L'
F L' D2 R U' L' D
F L' D2 R U' L' D'
F L' D2 R U' L' D2
F L' D2 R U' D L'
F L' D2 R U' D' L'
F L' D2 R U' D2 L'
F L' D2 R D U' L'
F L' D2 R D' U' L'
F L' D2 R D2 U' L'
F L' D2 R B U' L'
F L' D2 R B' U' L'
F L' D2 R B2 U' L'
F' L' D2 B2 R U L'
F L' D2 B R U' L'
F L' D2 B' R U' L'
F L' D2 B2 R U' L'
F L' B R U' L' D
F L' B R U' L' D'
F L' B R U' L' D2
F L' B R U' D L'
F L' B R U' D' L'
F L' B R U' D2 L'
F L' B R D U' L'
F L' B R D' U' L'
F L' B R D2 U' L'
F L' B R B U' L'
F L' B R B' U' L'
F L' B R B2 U' L'
F L' B D R U' L'
F L' B D' R U' L'
F L' B D2 R U' L'
F L' B' R U' L' D
F L' B' R U' L' D'
F L' B' R U' L' D2
F L' B' R U' D L'
F L' B' R U' D' L'
F L' B' R U' D2 L'
F L' B' R D U' L'
F L' B' R D' U' L'
F L' B' R D2 U' L'
F L' B' R B U' L'
F L' B' R B' U' L'
F L' B' R B2 U' L'
F L' B' D R U' L'
F L' B' D' R U' L'
F L' B' D2 R U' L'
D' L' B2 U' F R B
F L' B2 R U' L' D
F L' B2 R U' L' D'
F L' B2 R U' L' D2
F L' B2 R U' D L'
F L' B2 R U' D' L'
F L' B2 R U' D2 L'
F L' B2 R D U' L'
F L' B2 R D' U' L'
F L' B2 R D2 U' L'
F L' B2 R B U' L'
F L' B2 R B' U' L'
F L' B2 R B2 U' L'
F L' B2 D R U' L'
F L' B2 D' R U' L'
F L' B2 D2 R U' L'
F L2 R D L U' L'
F L2 R D' L U' L'
F L2 R D2 L U' L'
F L2 D L R U' L'
F L2 D R L U' L'
F L2 D' L R U' L'
F L2 D' R L U' L'
F L2 D2 L R U' L'
F L2 D2 R L U' L'
F2 L2 F' L' R U' L
F2 L2 F' R L' U' L
L' U D' L' F B' R'
L' U D' L' B' R' F
L' U D' L' B' F R'
F R L U' D L F2
F R L U' D F2 L
F R L D U' L F2
F R L D U' F2 L
F' R L' U L' D R2
F' R L' U D L' R2
F' R L' U D R2 L'
R' U F L' U' B' L'
F' R L' D U L' R2
F' R L' D U R2 L'
F' R L' D2 B2 U L'
F R L' U R U2 L'
F R L' U R' U2 L'
F R L' U R2 U2 L'
F R L' U' L2 D L
F R L' U' L2 D' L
F R L' U' L2 D2 L
F R L' U' D L' D
F R L' U' D L' D'
F R L' U' D L' D2
F R L' U' D' L' D
F R L' U' D' L' D'
F R L' U' D' L' D2
F R L' U' D2 L' D
F R L' U' D2 L' D'
F R L' U' D2 L' D2
F R L' U' B' L' B
F R L' U' B2 L' B2
R2 U F L' U' B' L'
F R L' D U' L' D
F R L' D U' L' D'
F R L' D U' L' D2
F R L' D B U' L'
F R L' D B' U' L'
F R L' D B2 U' L'
F R L' D' U' L' D
F R L' D' U' L' D'
F R L' D' U' L' D2
F R L' D' B U' L'
F R L' D' B' U' L'
F R L' D' B2 U' L'
F R L' D2 U' L' D
F R L' D2 U' L' D'
F R L' D2 U' L' D2
F R L' D2 B U' L'
F R L' D2 B' U' L'
R U F L' U' B' L'
F R L' D2 B2 U' L'
F R L' B U' L' D
F R L' B U' L' D'
F R L' B U' L' D2
F R L' B U' D L'
F R L' B U' D' L'
F R L' B U' D2 L'
F R L' B D U' L'
F R L' B D' U' L'
F R L' B D2 U' L'
F R L' B' U' L' D
F R L' B' U' L' D'
F R L' B' U' L' D2
F R L' B' U' D L'
F R L' B' U' D' L'
F R L' B' U' D2 L'
F R L' B' D U' L'
F R L' B' D' U' L'
F R L' B' D2 U' L'
F R L' B2 U' L' D
F R L' B2 U' L' D'
F R L' B2 U' L' D2
F R L' B2 U' D L'
F R L' B2 U' D' L'
F R L' B2 U' D2 L'
F R L' B2 D U' L'
F R L' B2 D' U' L'
F R L' B2 D2 U' L'
F R L2 D L U' L'
F R L2 D' L U' L'
F R L2 D2 L U' L'
F R U' L D L F2
F R U' L D F2 L
F R U' L2 U L U'
F' R U2 F2 R U' L2
F R U2 D F2 R U
F' R D L' F2 U R2
F R U2 F2 R U L2
F R D L' U' D' L2
F R D L' U2 F2 U
F R D L' D' U' L2
F R D L' D2 B2 U'
F R D U2 F2 R U
F R D' L B2 L2 U'
F R D' L' U' D L2
F R D' L' D U' L2
F R D' L' B2 U' D
F R D' L' B2 U' D'
F R D' L' B2 U' D2
F R D' L' B2 D U'
F R D' L' B2 D' U'
F R D' L' B2 D2 U'
F R D' B L' B U'
F R D' B2 L' U' D
F R D' B2 L' U' D'
F R D' B2 L' U' D2
F R D' B2 L' D U'
F R D' B2 L' D' U'
F R D' B2 L' D2 U'
F R D' B2 D L' U'
F R D' B2 D' L' U'
F R D' B2 D2 L' U'
F R D2 L' U R2 U2
F R D2 L' U' D2 L2
F R D2 L' D B2 U'
F R D2 L' D2 U' L2
B' R F L' R U' L'
U' R F L' U' L' B
U' R F L' U' B L'
B' R F R L' U' L'
B2 R F L' R U' L'
U2 R F L' U' L' B'
B2 R F R L' U' L'
B R F L' R U' L'
B R F R L' U' L'
U R F L' U' B' L'
F R B L' U' L' D
F R B L' U' L' D'
F R B L' U' L' D2
F R B L' U' D L'
F R B L' U' D' L'
F R B L' U' D2 L'
F R B L' D U' L'
F R B L' D' U' L'
F R B L' D2 U' L'
F R B L' B U' L'
F R B L' B' U' L'
F R B L' B2 U' L'
F R B D' L' B2 U'
F R B D' B2 L' U'
F R B' L' U' L' D
F R B' L' U' L' D'
F R B' L' U' L' D2
F R B' L' U' D L'
F R B' L' U' D' L'
F R B' L' U' D2 L'
F R B' L' D U' L'
F R B' L' D' U' L'
F R B' L' D2 U' L'
F R B' L' B U' L'
F R B' L' B' U' L'
F R B' L' B2 U' L'
L' U' D' L' F R B
F R B' D' L' B2 U'
F R B' D' B2 L' U'
F R B2 L' U' L' D
F R B2 L' U' L' D'
F R B2 L' U' L' D2
F R B2 L' U' D L'
F R B2 L' U' D' L'
F R B2 L' U' D2 L'
F R B2 L' D U' L'
F R B2 L' D' U' L'
F R B2 L' D2 U' L'
F R B2 L' B U' L'
F R B2 L' B' U' L'
F R B2 L' B2 U' L'
F R B2 D' L' B2 U'
F R B2 D' B2 L' U'
F R' L' U' L' D B2
F R' L' U' D L' B2
F R' L' U' D B2 L'
F R' L' D U' L' B2
F R' L' D U' B2 L'
F R' L' B R2 U' L'
F R' L' B' R2 U' L'
F R' L' B2 R2 U' L'
B' R' F L' R U' L'
B' R' F R L' U' L'
B2 R' F L' R U' L'
U2 R' F L' U' L' B'
B2 R' F R L' U' L'
B R' F L' R U' L'
B R' F R L' U' L'
U R' F L' U' B' L'
F R' B L' R2 U' L'
F R' B R2 L' U' L'
F R' B' L' R2 U' L'
F R' B' R2 L' U' L'
F R' B2 L' R2 U' L'
F R' B2 R2 L' U' L'
R' U2 F L' U' L' B'
R2 U2 F L' U' L' B'
F R2 L' D R' U' L'
F R2 L' D' R' U' L'
F R2 L' D2 R' U' L'
R U2 F L' U' L' B'
F R2 L' B U' L' B'
F R2 D' L' R' B2 U'
F R2 D' R' L' B2 U'
F R2 D' R' B2 L' U'
B' R2 F L' R U' L'
B' R2 F R L' U' L'
B2 R2 F L' R U' L'
B2 R2 F R L' U' L'
U2 R2 F L' U' L' B'
B R2 F L' R U' L'
B R2 F R L' U' L'
U R2 F L' U' B' L'
F R2 B L' U' L' B'
B' U F L' U' B' L'
B2 U F L' U' B' L'
B U F L' U' B' L'
F' U F2 L' R U' L'
F' U F2 R L' U' L'
L' D' U L' F B' R'
L' D' U L' B' R' F
L' D' U L' B' F R'
L' D' U' L' F R B
F U' L' R U' L' R'
F U' L' R U' R' L'
F U' L2 U L R U'
F U' L2 U R L U'
F U' R L' U' L' R'
F U' R L' U' R' L'
F' U' F2 L' R U' L'
F' U' F2 R L' U' L'
U' F L' R U' L' B
U' F L' R U' B L'
R' F L' R U' L' D
R' F L' R U' L' D'
R' F L' R U' L' D2
R' F L' R U' D L'
R' F L' R U' D' L'
R' F L' R U' D2 L'
R' F L' R D U' L'
R' F L' R D' U' L'
R' F L' R D2 U' L'
R' F L' R B U' L'
R' F L' R B' U' L'
R' F L' R B2 U' L'
D' F L' R B2 U' F
F U2 D F2 L' R U
F U2 D F2 R L' U
R' F L' D R U' L'
R' F L' D' R U' L'
R' F L' D2 R U' L'
B' U2 F L' U' L' B'
U2 F L' R U' L' B'
R' F L' B R U' L'
U2 F L' R' U' L' B'
R' F L' B' R U' L'
U2 F L' R2 U' L' B'
R' F L' B2 R U' L'
D' F L' B2 R U' F
B2 U2 F L' U' L' B'
U2 F L' U' L' D B'
U2 F L' U' L' D' B'
U2 F L' U' L' D2 B'
U2 F L' U' L' B' D
U2 F L' U' L' B' D'
U2 F L' U' L' B' D2
U2 F L' U' D L' B'
U2 F L' U' D' L' B'
U2 F L' U' D2 L' B'
U2 F L' U' B L' B'
U2 F L' U' B' L' B'
U2 F L' U' B2 L' B'
R2 F L' R U' L' D
R2 F L' R U' L' D'
R2 F L' R U' L' D2
R2 F L' R U' D L'
R2 F L' R U' D' L'
R2 F L' R U' D2 L'
R2 F L' R D U' L'
R2 F L' R D' U' L'
R2 F L' R D2 U' L'
R2 F L' R B U' L'
R2 F L' R B' U' L'
R2 F L' R B2 U' L'
U2 F L' D U' L' B'
U2 F L' D' U' L' B'
U2 F L' D2 U' L' B'
D F L' R U' F' L'
R2 F L' D R U' L'
R2 F L' D' R U' L'
R2 F L' D2 R U' L'
U2 F L' B' R' U' L'
U F L' R U' B' L'
U F L' R' U' B' L'
U F L' R2 U' B' L'
R2 F L' B R U' L'
L F L' R F U' L2
B U2 F L' U' L' B'
U' F R L' U' L' B
R2 F L' B' R U' L'
U' F R L' U' B L'
R F L' R U' L' D
R F L' R U' L' D'
R F L' R U' L' D2
R F L' R U' D L'
R F L' R U' D' L'
R F L' R U' D2 L'
U F L' U' D B' L'
R F L' R D U' L'
U F L' U' D' B' L'
R2 F L' B2 R U' L'
R' F R L' U' L' D
R' F R L' U' L' D'
R' F R L' U' L' D2
R F L' R D' U' L'
R' F R L' U' D L'
U F L' U' D2 B' L'
R' F R L' U' D' L'
R' F R L' U' D2 L'
R F L' R D2 U' L'
R' F R L' D U' L'
R' F R L' D' U' L'
U F L' U' B L' B2
R' F R L' D2 U' L'
U F L' U' B' L' D
U F L' U' B' L' D'
U F L' U' B' L' D2
U F L' U' B' D L'
R F L' R B U' L'
U F L' U' B' D' L'
U F L' U' B' D2 L'
U F L' U' B2 L' B
R F L' R B' U' L'
R F L' R B2 U' L'
R' F R L' B U' L'
R' F R L' B' U' L'
R' F R L' B2 U' L'
D' F R L' B2 U' F
U F L' D U' B' L'
U F L' D' U' B' L'
U F L' D2 U' B' L'
D F L2 R B' U' F'
R F L' D R U' L'
R' F R D' L' B2 U'
R F L' D' R U' L'
R' F R D' B2 L' U'
R F L' D2 R U' L'
U F L' B U' L' B2
U F L' B U' B2 L'
U F L' B2 U' L' B
U F L' B2 U' B L'
R' F R B L' U' L'
U2 F R L' U' L' B'
R F L' B R U' L'
R' F R B' L' U' L'
F' U2 F2 L' R U' L'
R F L' B' R U' L'
R' F R B2 L' U' L'
D' F R B2 L' U' F
R F L' B2 R U' L'
F' U2 F2 R L' U' L'
R2 F R L' U' L' D
R2 F R L' U' L' D'
R2 F R L' U' L' D2
R2 F R L' U' D L'
R2 F R L' U' D' L'
R2 F R L' U' D2 L'
R2 F R L' D U' L'
R2 F R L' D' U' L'
R2 F R L' D2 U' L'
R2 F R L' B U' L'
R2 F R L' B' U' L'
R2 F R L' B2 U' L'
D F L2 B' R U' F'
D F R L' U' F' L'
D F R L2 B' U' F'
R2 F R D' L' B2 U'
R2 F R D' B2 L' U'
D F R U' F' D' L2
D F R U2 F U F2
U2 F R' L' U' L' B'
U F R L' U' B' L'
R2 F R B L' U' L'
L F R L' F U' L2
R2 F R B' L' U' L'
R2 F R B2 L' U' L'
R F R L' U' L' D
R F R L' U' L' D'
R F R L' U' L' D2
R F R L' U' D L'
R F R L' U' D' L'
R F R L' U' D2 L'
R F R L' D U' L'
R F R L' D' U' L'
R F R L' D2 U' L'
R F R L' B U' L'
R F R L' B' U' L'
R F R L' B2 U' L'
F U2 F2 L' R U L'
F U2 F2 R L' U L'
R F R D' L' B2 U'
R F R D' B2 L' U'
U2 F R2 L' U' L' B'
U F R' L' U' B' L'
R F R B L' U' L'
R F R B' L' U' L'
R F R B2 L' U' L'
U F R2 L' U' B' L'
R' F D' L' R B2 U'
R' F D' L' B2 R U'
R' F D' R L' B2 U'
R' F D' R B2 L' U'
F D L' R U' D' L2
F D L' R U2 F2 U
F D L' R D' U' L2
F D L' R D2 B2 U'
F D L' U2 F2 L' U
F D L' D' R U' L2
F D L' D2 R B2 U'
F D L' D2 B2 R U'
R' F D' B2 L' R U'
R' F D' B2 R L' U'
R2 F D' L' R B2 U'
R2 F D' L' B2 R U'
R2 F D' R L' B2 U'
R2 F D' R B2 L' U'
U F D' L' B2 U' B
R' F B L' R U' L'
R2 F D' B2 L' R U'
R2 F D' B2 R L' U'
R' F B R L' U' L'
R F D' L' R B2 U'
R F D' L' B2 R U'
F D R L' U' D' L2
F D R L' U2 F2 U
F D R L' D' U' L2
F D R L' D2 B2 U'
R F D' R L' B2 U'
R F D' R B2 L' U'
F D R U2 F2 R U
F D R D' L' U' L'
F D R D2 L' B2 U'
U F D' B2 L' U' B'
F D R D2 B2 L' U'
R' F B' L' R U' L'
R' F B' R L' U' L'
R F D' B2 L' R U'
R F D' B2 R L' U'
R2 F B L' R U' L'
R2 F B R L' U' L'
U2 F B' L' R' U' L'
R' F B2 L' R U' L'
D' F B2 L' R U' F
R' F B2 R L' U' L'
U2 F B' R' L' U' L'
D' F B2 R L' U' F
U F B L' U' B' L'
R2 F B' L' R U' L'
R2 F B' R L' U' L'
R F B L' R U' L'
R F B R L' U' L'
D' F B2 D2 R U' F'
U F B' L' U' B' L'
R2 F B2 L' R U' L'
R2 F B2 R L' U' L'
R F B' L' R U' L'
R F B' R L' U' L'
U F B2 L' U' B' L'
R F B2 L' R U' L'
R F B2 R L' U' L'
F D U2 F2 L' R U
F D U2 F2 R L' U
L2 F' R B' L' U L
L2 F' U' R B' L' U
L2 F' U' B' L' R U
L2 F' U' B' R L' U
F D' L R B2 L2 U'
F D' L B2 L2 R U'
F D' L B2 R L2 U'
F D' L' R U' D L2
F D' L' R D U' L2
F D' L' R B2 U' D
F D' L' R B2 U' D'
F D' L' R B2 U' D2
F D' L' R B2 D U'
F D' L' R B2 D' U'
F D' L' R B2 D2 U'
F D' L' R' B2 R2 U'
F D' L' D R U' L2
F D' L' B' R B' U'
F D' L' B2 R U' D
F D' L' B2 R U' D'
F D' L' B2 R U' D2
F D' L' B2 R D U'
F D' L' B2 R D' U'
F D' L' B2 R D2 U'
F D' L' B2 D R U'
F D' L' B2 D' R U'
F D' L' B2 D2 R U'
F D' R L B2 L2 U'
F D' R L' U' D L2
F D' R L' D U' L2
F D' R L' B2 U' D
F D' R L' B2 U' D'
F D' R L' B2 U' D2
F D' R L' B2 D U'
F D' R L' B2 D' U'
F D' R L' B2 D2 U'
F D' R D L' U' L'
F D' R B L' B U'
F D' R B2 L' U' D
F D' R B2 L' U' D'
F D' R B2 L' U' D2
F D' R B2 L' D U'
F D' R B2 L' D' U'
F D' R B2 L' D2 U'
F D' R B2 D L' U'
F D' R B2 D' L' U'
F D' R B2 D2 L' U'
F D' R' L' B2 R2 U'
L2 F' B' L' R U L
L2 F' B' R L' U L
F D' R' B2 L' R2 U'
F D' R' B2 R2 L' U'
F D' B L' B R U'
F D' B' R B' L' U'
F D' B2 L' R U' D
F D' B2 L' R U' D'
F D' B2 L' R U' D2
F D' B2 L' R D U'
F D' B2 L' R D' U'
F D' B2 L' R D2 U'
F D' B2 L' D R U'
F D' B2 L' D' R U'
F D' B2 L' D2 R U'
F D' B2 R L' U' D
F D' B2 R L' U' D'
F D' B2 R L' U' D2
F D' B2 R L' D U'
F D' B2 R L' D' U'
F D' B2 R L' D2 U'
F D' B2 R D L' U'
F D' B2 R D' L' U'
F D' B2 R D2 L' U'
F D' B2 D L' R U'
F D' B2 D R L' U'
F D' B2 D' L' R U'
F D' B2 D' R L' U'
F D' B2 D2 L' R U'
F D' B2 D2 R L' U'
D F2 U2 F' R U' F'
F D2 L' R U R U2
F D2 L' D R B2 U'
F D2 L' D B2 R U'
F D2 L' D2 R U' L2
F D2 R L' U R U2
B' F L' R U' L' D
B' F L' R U' L' D'
B' F L' R U' L' D2
B' F L' R U' D L'
B' F L' R U' D' L'
B' F L' R U' D2 L'
B' F L' R D U' L'
B' F L' R D' U' L'
B' F L' R D2 U' L'
B' F L' R B U' L'
B' F L' R B' U' L'
B' F L' R B2 U' L'
B' F L' D R U' L'
B' F L' D' R U' L'
B' F L' D2 R U' L'
B2 F L' R U' L' D
B2 F L' R U' L' D'
B2 F L' R U' L' D2
B2 F L' R U' D L'
B2 F L' R U' D' L'
B2 F L' R U' D2 L'
B2 F L' R D U' L'
B2 F L' R D' U' L'
B2 F L' R D2 U' L'
B2 F L' R B U' L'
B2 F L' R B' U' L'
B2 F L' R B2 U' L'
B' F L' B R U' L'
B' F L' B' R U' L'
B' F L' B2 R U' L'
B2 F L' D R U' L'
B2 F L' D' R U' L'
B2 F L' D2 R U' L'
B2 F L' B R U' L'
B2 F L' B' R U' L'
B2 F L' B2 R U' L'
B F L' R U' L' D
B F L' R U' L' D'
B F L' R U' L' D2
B F L' R U' D L'
B F L' R U' D' L'
B F L' R U' D2 L'
B F L' R D U' L'
B F L' R D' U' L'
B F L' R D2 U' L'
B F L' R B U' L'
B F L' R B' U' L'
B F L' R B2 U' L'
B F L' D R U' L'
B F L' D' R U' L'
F B L' R U' L' D
F B L' R U' L' D'
F B L' R U' L' D2
F B L' R U' D L'
F B L' R U' D' L'
F B L' R U' D2 L'
B' F R L' U' L' D
B' F R L' U' L' D'
B' F R L' U' L' D2
B' F R L' U' D L'
B' F R L' U' D' L'
B' F R L' U' D2 L'
B F L' D2 R U' L'
F B L' R D U' L'
B' F R L' D U' L'
F B L' R D' U' L'
B' F R L' D' U' L'
F B L' R D2 U' L'
B' F R L' D2 U' L'
F B L' R B U' L'
B' F R L' B U' L'
F B L' R B' U' L'
B' F R L' B' U' L'
F B L' R B2 U' L'
B' F R L' B2 U' L'
B F L' B R U' L'
B F L' B' R U' L'
F B L' D R U' L'
B' F R D' L' B2 U'
B F L' B2 R U' L'
B' F R D' B2 L' U'
F B L' D' R U' L'
F B L' D2 R U' L'
B2 F R L' U' L' D
B2 F R L' U' L' D'
B2 F R L' U' L' D2
B2 F R L' U' D L'
B2 F R L' U' D' L'
B2 F R L' U' D2 L'
B2 F R L' D U' L'
B2 F R L' D' U' L'
B2 F R L' D2 U' L'
B2 F R L' B U' L'
B2 F R L' B' U' L'
B2 F R L' B2 U' L'
B' F R B L' U' L'
F B L' B R U' L'
B' F R B' L' U' L'
F B L' B' R U' L'
B' F R B2 L' U' L'
F B L' B2 R U' L'
B2 F R D' L' B2 U'
B2 F R D' B2 L' U'
B2 F R B L' U' L'
B2 F R B' L' U' L'
B2 F R B2 L' U' L'
B F R L' U' L' D
B F R L' U' L' D'
B F R L' U' L' D2
B F R L' U' D L'
B F R L' U' D' L'
B F R L' U' D2 L'
B F R L' D U' L'
