F L' U R U2
F L U' D F2 L'
F L D U' F2 L'
F' L F2 L' U' L'
F L' U R U2 D
F L' U R U2 D'
F L' U R U2 D2
F L' U R D U2
F L' U R D' U2
F L' U R D2 U2
F L' U D R U2
F L' U D' R U2
F L' U D2 R U2
F L' U' F2 L' F2
F L' U2 F2 U L'
F L' D U R U2
F L' D' U R U2
F L' D2 U R U2
F' L' F2 L' U' L
F L' B U R U2
F L' B' U R U2
F L' B2 U R U2
F' L2 F2 L' U' L2
F U R U' L' U'
F U' L D F2 L'
F U2 F2 R U L'
D F U R U2 F'
D' F U' F2 L' F
F D L' U R U2
F D' L' U R U2
F D2 L' U R U2
B' F L' U R U2
B2 F L' U R U2
B F L' U R U2
F B L' U R U2
F B' L' U R U2
F B2 L' U R U2
F L U R U' L2 U'
F L U R U2 D F2
F L U R D U2 F2
F L U R D' B2 U2
F L U D R U2 F2
F L U D' R B2 U2
F L U D' B2 R U2
F L U' D L F2 L'
F L U' D L' F2 L'
F L U' D L2 F2 L'
F L U' D F2 L' D
F L U' D F2 L' D'
F L U' D F2 L' D2
F L U' D F2 D L'
F L U' D F2 D' L'
F L U' D F2 D2 L'
F L U' F2 D L' F2
F L D L U' F2 L'
F L D L' U' F2 L'
F L D L2 U' F2 L'
F L D U R U2 F2
F L D U' L F2 L'
F L D U' L' F2 L'
F L D U' L2 F2 L'
F L D U' F2 L' D
F L D U' F2 L' D'
F L D U' F2 L' D2
F L D U' F2 D L'
F L D U' F2 D' L'
F L D U' F2 D2 L'
F L D B U' F2 L'
F L D B' U' F2 L'
F L D B2 U' F2 L'
F L D' U R B2 U2
F L D' U B2 R U2
F2 L F' L' U R U2
F' L F2 L' U' L' D
F' L F2 L' U' L' D'
F' L F2 L' U' L' D2
F' L F2 L' U' D L'
F' L F2 L' U' D' L'
F' L F2 L' U' D2 L'
F' L F2 L' D U' L'
F' L F2 L' D' U' L'
F' L F2 L' D2 U' L'
F' L F2 L' B U' L'
F' L F2 L' B' U' L'
F' L F2 L' B2 U' L'
F L F2 L2 F2 U' L
F' L F2 D' L' B2 U'
F' L F2 D' B2 L' U'
F' L F2 B L' U' L'
F' L F2 B' L' U' L'
F' L F2 B2 L' U' L'
F L B L2 U R U2
F L B U' D F2 L'
F L B D U' F2 L'
F' L B F2 L' U' L'
F L B' L2 U R U2
F L B' U' D F2 L'
F L B' D U' F2 L'
F' L B' F2 L' U' L'
F L B2 L2 U R U2
F L B2 U' D F2 L'
F L B2 D U' F2 L'
F' L B2 F2 L' U' L'
F L' R' D R B2 U'
F L' R' D B2 R U'
F L' R' D2 R U' L2
F L' R2 U' D B2 L
F L' R2 D U' B2 L
F L' R2 B2 R2 U' L
F L' U R' U2 D2 L2
F L' U R' D2 U2 L2
F L' U R2 D R' U2
F L' U R2 D' R' U2
F L' U R2 D2 R' U2
F L' U D R U2 D
F L' U D R U2 D'
F L' U D R U2 D2
F L' U D R D U2
F L' U D R D' U2
F L' U D R D2 U2
F L' U D' R U2 D
F L' U D' R U2 D'
F L' U D' R U2 D2
F L' U D' R D U2
F L' U D' R D' U2
F L' U D' R D2 U2
F L' U D2 R U2 D
F L' U D2 R U2 D'
F L' U D2 R U2 D2
F L' U D2 R D U2
F L' U D2 R D' U2
F L' U D2 R D2 U2
F L' U B R B' U2
F L' U B2 R B2 U2
F L' U' L U2 R U2
F L' U' L F2 L' F2
F L' U' L' U2 R U2
F L' U' L' F2 L' F2
F L' U' L2 U2 R U2
F L' U' L2 F2 L' F2
F L' U' R' D2 L2 R
F L' U' R' D2 R L2
F L' U' D F2 L' F2
F L' U' D' F2 L' F2
F L' U' D2 F2 L' F2
F L' U' F2 L F2 L2
F L' U' F2 L' F2 D
F L' U' F2 L' F2 D'
F L' U' F2 L' F2 D2
F L' U' F2 L2 F2 L
F L' U2 D F2 U L'
F L' U2 D' F2 U L'
F L' U2 D2 F2 U L'
F L' U2 F2 U L' D
F L' U2 F2 U L' D'
F L' U2 F2 U L' D2
F L' U2 F2 U D L'
F L' U2 F2 U D' L'
F L' U2 F2 U D2 L'
F L' U2 F2 D U L'
F L' U2 F2 D' U L'
F L' U2 F2 D2 U L'
F L' D U R U2 D
F L' D U R U2 D'
F L' D U R U2 D2
F L' D U R D U2
F L' D U R D' U2
F L' D U R D2 U2
F L' D U' F2 L' F2
F L' D U2 F2 U L'
F L' D B U R U2
F L' D B' U R U2
F L' D B2 U R U2
F L' D' U R U2 D
F L' D' U R U2 D'
F L' D' U R U2 D2
F L' D' U R D U2
F L' D' U R D' U2
F L' D' U R D2 U2
F L' D' U' F2 L' F2
F L' D' U2 F2 U L'
F L' D' B U R U2
F L' D' B' U R U2
F L' D' B2 U R U2
F L' D2 U R U2 D
F L' D2 U R U2 D'
F L' D2 U R U2 D2
F L' D2 U R D U2
F L' D2 U R D' U2
F L' D2 U R D2 U2
F L' D2 U' F2 L' F2
F L' D2 U2 F2 U L'
F L' D2 B U R U2
F L' D2 B' U R U2
F L' D2 B2 U R U2
F2 L' F' L' U R U2
F' L' F2 L' U' L D
F' L' F2 L' U' L D'
F' L' F2 L' U' L D2
F' L' F2 L' U' D L
F' L' F2 L' U' D' L
F' L' F2 L' U' D2 L
F' L' F2 L' D U' L
F' L' F2 L' D' U' L
F' L' F2 L' D2 U' L
F' L' F2 D L' U' L
F' L' F2 D' L' U' L
F' L' F2 D2 L' U' L
F' L' F2 B L' U' L
F L' F2 U' L' D R2
F' L' F2 B' L' U' L
F L' F2 U' D L' R2
F L' F2 U' D R2 L'
F' L' F2 B2 L' U' L
F L' F2 D U' L' R2
F L' F2 D U' R2 L'
F L' B U R U2 D
F L' B U R U2 D'
F L' B U R U2 D2
F L' B U R D U2
F L' B U R D' U2
F L' B U R D2 U2
F L' B U D R U2
F L' B U D' R U2
F L' B U D2 R U2
F L' B U' F2 L' F2
F' L' B F2 L' U' L
F L' B U2 F2 U L'
F L' B D U R U2
F L' B D' U R U2
F L' B D2 U R U2
F L' B' U R U2 D
F L' B' U R U2 D'
F L' B' U R U2 D2
F L' B' U R D U2
F L' B' U R D' U2
F L' B' U R D2 U2
F L' B' U D R U2
F L' B' U D' R U2
F L' B' U D2 R U2
F L' B' U' F2 L' F2
F' L' B' F2 L' U' L
F L' B' U2 F2 U L'
F L' B' D U R U2
F L' B' D' U R U2
F L' B' D2 U R U2
F L' B2 U R U2 D
F L' B2 U R U2 D'
F L' B2 U R U2 D2
F L' B2 U R D U2
F L' B2 U R D' U2
F L' B2 U R D2 U2
F L' B2 U D R U2
F L' B2 U D' R U2
F L' B2 U D2 R U2
F' L' B2 F2 L' U' L
F L' B2 U' F2 L' F2
F L' B2 U2 F2 U L'
F L' B2 D U R U2
F L' B2 D' U R U2
F L' B2 D2 U R U2
F L2 U R U' L U'
F L2 U' L' D F2 L'
F L2 U' F2 L' D F2
F L2 D L U R U2
F L2 D' L U R U2
F L2 D2 L U R U2
F2 L2 F' L' U R U2
R' U R F L' B' U'
F' L2 F2 L' U' L2 D
F' L2 F2 L' U' L2 D'
F' L2 F2 L' U' L2 D2
F' L2 F2 L' D' B2 U'
F' L2 F2 L' B U' L2
F' L2 F2 L' B' U' L2
F' L2 F2 L' B2 U' L2
F' L2 F2 L' B2 U' L2
F' L2 F2 U' L D F2
F L2 F2 L F2 U' L2
F' L2 F2 D L' U' L2
F' L2 F2 D' L' U' L2
F' L2 F2 D2 L' U' L2
R U R' F L' B' U'
R2 U R2 F L' B' U'
F L2 B' U R B U2
R2 U F L' R2 B' U'
R2 U F L' B' R2 U'
R U F L' R' B' U'
R2 U F R2 L' B' U'
R U F R' L' B' U'
U' R U F L' B U'
U' R U F B L' U'
U' R U B F L' U'
F R U' L' R' U' R
F R U' R' L' U' R
F' R D2 B2 L U L2
U' R F L' B U' B'
R' U' R F L' B U'
R' U' R F B L' U'
R' U' R B F L' U'
F R' L' D R B2 U'
F R' L' D B2 R U'
F R' L' D2 R U' L2
F R' D L' R B2 U'
F R' D L' B2 R U'
F R' D R L' B2 U'
F R' D R B2 L' U'
F R' D B2 L' R U'
F R' D B2 R L' U'
F R' D2 L' R U' L'
F R' D2 R L' U' L'
F R2 L' U' D B2 L
F R2 L' D U' B2 L
L' U2 F' R B U L
F R2 L' B2 R2 U' L
F R2 D L' U' B2 L
R' D R F U' F2 L'
F R2 B2 L' R2 U' L2
F R2 B2 R2 L' U' L2
L D F' U' L' R F'
L D F' U' R L' F'
F U R U' L' U' D
F U R U' L' U' D'
F U R U' L' U' D2
F U R U' L' D U'
F U R U' L' D' U'
F U R U' L' D2 U'
F U R U' D L' U'
F U R U' D' L' U'
F U R U' D2 L' U'
F U R D U' L' U'
F U R D' U' L' U'
F U R D2 U' L' U'
F U R B U' L' U'
F U R B' U' L' U'
F U R B2 U' L' U'
F U D R U' L' U'
F U D' R U' L' U'
F U D2 R U' L' U'
F U B R U' L' U'
F U B' R U' L' U'
F U B2 R U' L' U'
F' U' L' U F2 L' U'
F U' L D L F2 L'
F U' L D L' F2 L'
F U' L D L2 F2 L'
F U' L D F2 L' D
F U' L D F2 L' D'
F U' L D F2 L' D2
F U' L D F2 D L'
F U' L D F2 D' L'
F U' L D F2 D2 L'
F U' L F2 D L' F2
L' D' F' U' L' F R
F U' L2 F2 L' D F2
F' U' R' D' L' F2 R
F U' D L D F2 L'
F U' D' L D F2 L'
F U' D2 L D F2 L'
F U' F' D' F' L' F
F U' F2 L' U' R U
F U' F2 U' R U L'
F' U2 R U L' D R2
F' U2 R U D L' R2
F' U2 R U D R2 L'
F' U2 R D U L' R2
F' U2 R D U R2 L'
F' U2 R D2 B2 U L'
F U2 R U2 L' U' L
F U2 R' D' F2 R U
F' U2 D R U L' R
F' U2 D R U R L'
D' F L U R B' U2
D' F L U B' R U2
U' F L' R B U' B'
D' F L' U R U2 F
F' U2 D2 R B2 U L'
F U2 D F2 R U L'
D' F L' U' F2 L' F'
D F L U R U2 F'
F' U2 D2 B2 R U L'
U' F L' B' U' B L
F U2 D' F2 R U L'
R2 F L' R2 U R' U2
R2 F L' R2 B2 U' L
D F L' U R U2 F'
U F L' R2 B' U' B2
F U2 D2 F2 R U L'
U' F R L' B U' B'
R F L' R' U R2 U2
R F L' R' U' D2 L2
R F L' R' D B2 U'
R F L' R' D2 U' L2
D F L2 U R U2 F'
F U2 F U L F L'
U F L' B' R2 U' B
U F L' B' U F' U2
F U2 F2 R U L' D
F U2 F2 R U L' D'
F U2 F2 R U L' D2
F U2 F2 R U D L'
F U2 F2 R U D' L'
F U2 F2 R U D2 L'
F U2 F2 R D U L'
F U2 F2 R D' U L'
F U2 F2 R D2 U L'
F U2 F2 D R U L'
F U2 F2 D' R U L'
F U2 F2 D2 R U L'
R F R' L' U R2 U2
R F R' L' U' D2 L2
R F R' L' D B2 U'
R F R' L' D2 U' L2
R2 F R2 L' U R' U2
R2 F R2 L' B2 U' L
R F R' D L' B2 U'
R F R' D B2 L' U'
D' F U D2 R U2 F'
D2 F U D' R U2 F'
R F R' D2 L' U' L'
U F R2 L' B' U' B2
R2 F R2 B2 L' U' L2
D' F U' L' F2 L' F'
D2 F U' D F2 L' F
D F U R U2 D F'
D F U R U2 D' F'
D F U R U2 D2 F'
D F U R U2 F' D
D F U R U2 F' D'
D F U R U2 F' D2
D F U R D U2 F'
D' F U' F L' F L'
D F U R D' U2 F'
D F U R D2 U2 F'
D F U R B U2 F'
D F U R B' U2 F'
D F U R B2 U2 F'
D F U R' B R2 U2
D' F U' F2 L' D F
D' F U' F2 L' D' F
D' F U' F2 L' D2 F
D' F U' F2 L' F D
D' F U' F2 L' F D'
D' F U' F2 L' F D2
D2 F U' F2 D L' F
D F U B R U2 F'
D F U B' R U2 F'
D F U B2 R U2 F'
D' F U2 F2 U L' F
D F U' D2 F2 L' F
D F U' F2 D2 L' F
F D L U' D F2 L'
D2 F D U' F2 L' F
F D L D U' F2 L'
F D L' U R U2 D
F D L' U R U2 D'
F D L' U R U2 D2
F D L' U R D U2
F D L' U R D' U2
F D L' U R D2 U2
