F L' R U' L' U'
F R L' U' L' U'
F R U2 D F2 R
F R D L' U2 F2
F R D U2 F2 R
F R D' L' B2 U2
F R D' B2 L' U2
F U2 D F2 L' R
F U2 D F2 R L'
F D L' R U2 F2
F D L' U2 F2 L'
F D R L' U2 F2
F D R U2 F2 R
F D U2 F2 L' R
F D U2 F2 R L'
L2 F' U' R B' L'
L2 F' U' B' L' R
L2 F' U' B' R L'
F D' L' R B2 U2
F D' L' B2 R U2
F D' R L' B2 U2
F D' R B2 L' U2
F D' B2 L' R U2
F D' B2 R L' U2
L2 R F' U' R B' L'
L2 R F' U' B' L' R
L2 R F' U' B' R L'
F L' R U' L' U' D
F L' R U' L' U' D'
F L' R U' L' U' D2
F L' R U' L' D U'
F L' R U' L' D' U'
F L' R U' L' D2 U'
F L' R U' D L' U'
F L' R U' D' L' U'
F L' R U' D2 L' U'
F L' R D U' L' U'
F L' R D' U' L' U'
F L' R D2 U' L' U'
F L' R B U' L' U'
F L' R B' U' L' U'
F L' R B2 U' L' U'
F L' U F2 R U L'
F L' U' L' U R U2
F L' U2 L D F2 L'
L2 R' F' U' R B' L'
L2 R' F' U' B' L' R
L2 R' F' U' B' R L'
F L' D R U' L' U'
F L' D' R U' L' U'
F L' D2 R U' L' U'
F L' B R U' L' U'
F L' B' R U' L' U'
F L' B2 R U' L' U'
R' L2 F' U' R B' L'
R' L2 F' U' B' L' R
R' L2 F' U' B' R L'
L2 R2 F' U' R B' L'
L2 R2 F' U' B' L' R
L2 R2 F' U' B' R L'
R2 L2 F' U' R B' L'
R2 L2 F' U' B' L' R
R2 L2 F' U' B' R L'
R L2 F' U' R B' L'
R L2 F' U' B' L' R
R L2 F' U' B' R L'
F' L2 U F2 L' U2 L2
F' L2 U' L R D2 B2
F' L2 U' L D2 R B2
F' L2 U' L D2 B2 R
F' L2 U' R L D2 B2
F' L2 U' R D2 L B2
F' L2 U' D2 L R B2
F' L2 U' D2 L B2 R
F' L2 U' D2 R L B2
F' L2 D R2 U' L R'
F' L2 D R2 U' R' L
F' L2 D2 U' L R B2
F' L2 D2 U' L B2 R
F' L2 D2 U' R L B2
B' L2 F' U' R B' L'
B' L2 F' U' B' L' R
B' L2 F' U' B' R L'
B2 L2 F' U' R B' L'
B2 L2 F' U' B' L' R
B2 L2 F' U' B' R L'
B L2 F' U' R B' L'
B L2 F' U' B' L' R
B L2 F' U' B' R L'
F R L' U' L' U' D
F R L' U' L' U' D'
F R L' U' L' U' D2
F R L' U' L' D U'
F R L' U' L' D' U'
F R L' U' L' D2 U'
F R L' U' D L' U'
F R L' U' D' L' U'
F R L' U' D2 L' U'
F R L' D U' L' U'
F R L' D' U' L' U'
F R L' D2 U' L' U'
F R L' B U' L' U'
F R L' B' U' L' U'
F R L' B2 U' L' U'
F R U' L2 U L U2
F R U' F2 L2 U' R
F R U2 R D F2 R
F R U2 R' D F2 R
F R U2 R2 D F2 R
F R U2 D R F2 R
F R U2 D R' F2 R
F R U2 D R2 F2 R
F R U2 D F2 R D
F R U2 D F2 R D'
F R U2 D F2 R D2
F R U2 D F2 D R
F R U2 D F2 D' R
F R U2 D F2 D2 R
F' R D L' F2 D B2
F R U2 F2 R D F2
F R U2 F2 D R F2
F R D L' U2 F2 D
F R D L' U2 F2 D'
F R D L' U2 F2 D2
F R D L' D2 B2 U2
F R D L' B U2 F2
F R D L' B' U2 F2
F R D L' B2 U2 F2
F R D U2 R F2 R
F R D U2 R' F2 R
F R D U2 R2 F2 R
F R D U2 F2 R D
F R D U2 F2 R D'
F R D U2 F2 R D2
F R D U2 F2 D R
F R D U2 F2 D' R
F R D U2 F2 D2 R
F R D B L' U2 F2
F R D B U2 F2 R
F R D B' L' U2 F2
F R D B' U2 F2 R
F R D B2 L' U2 F2
F R D B2 U2 F2 R
F R D' L B2 L2 U2
F R D' L' U2 D2 F2
F R D' L' D2 U2 F2
F R D' L' B2 U2 D
F R D' L' B2 U2 D'
