U2 L U L2 R' U
U2 L U R' L2 U
R' L' U D2 L R2
L' R' U D2 L R2
R' L' U D2 R2 L
L' R' U D2 R2 L
R' L' U' L2 U2 L'
L' R' U' L2 U2 L'
U' L' R' U D2 R2
U' L' R' U' L2 U2
U' L' R' D' B2 U
U' L' R' D2 U R2
L' R' D2 U L R2
L' R' D2 U R2 L
R' L' D2 U L R2
R' L' D2 U R2 L
U' L' D' R' B2 U
U' L' D2 R' U R'
L U L2 R' U L
L U R' L2 U L
U' R' L' U D2 R2
U' R' L' U' L2 U2
U' R' L' D' B2 U
U' R' L' D2 U R2
U' R' B2 L' U R'
L' D2 R' U L R'
L' D2 R' U R' L
R' B2 L' U L R'
R' B2 L' U R' L
R2 L U L2 R U L
L R U L2 R2 U L
R2 L U R L2 U L
R L U L2 R2 U L
L R U R2 L2 U L
R L U R2 L2 U L
L R U2 D' L' F2 B2
L R U2 D' L' B2 F2
L R U2 D' B2 L' F2
U' L U L2 R' U L2
D' L U L2 R' U L
D2 L U L2 R' U L
U2 L U L2 R' U D
U2 L U L2 R' U D'
U2 L U L2 R' U D2
U2 L U L2 R' D U
U2 L U L2 R' D' U
U2 L U L2 R' D2 U
U2 L U L2 D R' U
U2 L U L2 D' R' U
U2 L U L2 D2 R' U
R L U2 D' L' F2 B2
R L U2 D' L' B2 F2
D L U L2 R' U L
U' L U R' L2 U L2
D' L U R' L2 U L
D2 L U R' L2 U L
U2 L U R' L2 U D
U2 L U R' L2 U D'
U2 L U R' L2 U D2
U2 L U R' L2 D U
U2 L U R' L2 D' U
U2 L U R' L2 D2 U
R L U2 D' B2 L' F2
U2 L U R' U D' B2
U2 L U R' D' U B2
D L U R' L2 U L
U2 L U D' R' U B2
L R D F2 R B2 U2
B2 L U' R' D' L' B2
B2 L U' R' D' B2 L'
L R D F2 B2 R U2
R L D F2 R B2 U2
B2 L U' D' L' R' B2
B2 L U' D' R' L' B2
B2 L U' D' R' B2 L'
R L D F2 B2 R U2
L R D B2 F2 R U2
L R D' L' F2 B2 R'
L R D' L' B2 R' F2
L R D' L' B2 F2 R'
R L D B2 F2 R U2
R L D' L' F2 B2 R'
R L D' L' B2 R' F2
R L D' L' B2 F2 R'
L R D' U2 L' F2 B2
L R D' U2 L' B2 F2
L R D' U2 B2 L' F2
B2 L U2 L2 U L R'
B2 L U2 L2 U R' L
R L D' U2 L' F2 B2
R L D' U2 L' B2 F2
R L D' U2 B2 L' F2
U L U2 L2 R' U R
U L U2 R' L2 U R
U2 L D F2 U R' U
U2 L D' U R' U B2
B2 L D' U' L' R' B2
B2 L D' U' R' L' B2
B2 L D' U' R' B2 L'
B2 L D2 R2 U' L' R
B2 L D2 R2 U' R L'
U2 L F U L2 R' U
U2 L F U R' L2 U
U2 L F' U L2 R' U
U2 L F' U R' L2 U
U2 L F2 U L2 R' U
U2 L F2 U R' L2 U
L' R' U L U2 L U2
R' L' U L U2 L U2
L' R' U L B2 R' B2
R' L' U L B2 R' B2
L' R' U R D2 L R2
L' R' U R D2 R2 L
R' L' U R D2 L R2
R' L' U R D2 R2 L
R' L' U R' D2 L R2
R' L' U R' D2 R2 L
L' R' U R' D2 L R2
L' R' U R' D2 R2 L
L' R' U R2 D2 L R2
R' L' U R2 D2 L R2
L' R' U R2 D2 R2 L
R' L' U R2 D2 R2 L
L' R' U D L D R2
R' L' U D L D R2
L' R' U D' L D' R2
R' L' U D' L D' R2
L' R' U D2 L R2 D
L' R' U D2 L R2 D'
L' R' U D2 L R2 D2
R' L' U D2 L R2 D
R' L' U D2 L R2 D'
R' L' U D2 L R2 D2
L' R' U D2 R2 L D
L' R' U D2 R2 L D'
L' R' U D2 R2 L D2
L' R' U D2 R2 D L
L' R' U D2 R2 D' L
L' R' U D2 R2 D2 L
R' L' U D2 R2 L D
R' L' U D2 R2 L D'
R' L' U D2 R2 L D2
R' L' U D2 R2 D L
R' L' U D2 R2 D' L
R' L' U D2 R2 D2 L
L' R' U' L2 R U2 L'
R' L' U' L2 R U2 L'
L' R' U' L2 R' U2 L'
R' L' U' L2 R' U2 L'
L' R' U' L2 R2 U2 L'
R' L' U' L2 R2 U2 L'
