R' L' U R' U F'
L' R' U R' U F'
L' R' U' L U' F
R' L' U' L U' F
L' R' B U' L U'
R' L' B U' L U'
L' R' B' U R' U
R' L' B' U R' U
R' U2 F2 D R F'
B2 D L' U2 F L2
R' B L' U' L2 U'
R' B L' U2 D F2
R' B L' D U2 F2
R' B L' D' B2 U2
R' B' L' U R' U
R' B2 D L' U2 F
U' L U L2 R' B' U2
U' L U R' L2 B' U2
R' L B L2 U' L' U'
L' R B R2 U' L U'
R' L B' L2 U R' U
L' R B' R2 U R U
L' R' U R U' B U2
R' L' U R U' B U2
R' L' U R' U D F'
R' L' U R' U D' F'
R' L' U R' U D2 F'
R' L' U R' U F' D
R' L' U R' U F' D'
R' L' U R' U F' D2
L' R' U R' U D F'
L' R' U R' U D' F'
L' R' U R' U D2 F'
L' R' U R' U F' D
L' R' U R' U F' D'
L' R' U R' U F' D2
R' L' U R' D U F'
L' R' U R' D U F'
R' L' U R' D' U F'
L' R' U R' D' U F'
R' L' U R' D2 U F'
L' R' U R' D2 U F'
L' R' U D R' U F'
R' L' U D R' U F'
L' R' U D' R' U F'
R' L' U D' R' U F'
L' R' U D2 R' U F'
R' L' U D2 R' U F'
L' R' U' L U' D F
L' R' U' L U' D' F
L' R' U' L U' D2 F
L' R' U' L U' F D
L' R' U' L U' F D'
L' R' U' L U' F D2
R' L' U' L U' D F
R' L' U' L U' D' F
R' L' U' L U' D2 F
R' L' U' L U' F D
R' L' U' L U' F D'
R' L' U' L U' F D2
L' R' U' L D U' F
L' R' U' L D' U' F
R' L' U' L D U' F
L' R' U' L D2 U' F
R' L' U' L D' U' F
R' L' U' L D2 U' F
L' R' U' L' U B' U2
R' L' U' L' U B' U2
R' L' U' D L U' F
L' R' U' D L U' F
R' L' U' D' L U' F
L' R' U' D' L U' F
R' L' U' D2 L U' F
L' R' U' D2 L U' F
R' L' U2 F U' R U
L' R' U2 F U' R U
L' R' U2 F' U L' U'
R' L' U2 F' U L' U'
R2 L' U2 F2 D' L' F
R' L' D U R' U F'
D2 L' R' U R' U F'
L' R' D U R' U F'
R' L' D U' L U' F
D' L' R' U R' U F'
L' R' D U' L U' F
D2 L' R' U' L U' F
D' L' R' U' L U' F
D L' R' U R' U F'
D L' R' U' L U' F
R' L' D B U' L U'
L' R' D B U' L U'
U L' R' U L U F'
R' L' D B' U R' U
L' R' D B' U R' U
D2 L' R' B U' L U'
D' L' R' B U' L U'
D2 L' R' B' U R' U
D' L' R' B' U R' U
U' L' R' B' U' R U'
D L' R' B U' L U'
D L' R' B' U R' U
R' L' D' U R' U F'
R' L' D' U' L U' F
L' R' D' U R' U F'
L' R' D' U' L U' F
R' L' D' B U' L U'
L' R' D' B U' L U'
R' L' D' B' U R' U
L' R' D' B' U R' U
R' L' D2 U R' U F'
R' L' D2 U' L U' F
L' R' D2 U R' U F'
L' R' D2 U' L U' F
R' L' D2 B U' L U'
L' R' D2 B U' L U'
R' L' D2 B' U R' U
L' R' D2 B' U R' U
B L' U' L' B' L' U'
B2 L' U' B' L U' L
B2 L' U2 L' D L' F
B L' U2 D F' L' F'
B L' U2 F D F2 L'
B L' U2 F' D L' F2
B L' D U2 F' L' F'
B L' D B U2 L F2
B L' D B U2 F2 L
B L' D B' R' U2 F2
R' L' B U' L U' D
R' L' B U' L U' D'
R' L' B U' L U' D2
R' L' B U' L D U'
R' L' B U' L D' U'
R' L' B U' L D2 U'
L R' B L2 U' L' U'
R' L' B U' D L U'
R' L' B U' D' L U'
R' L' B U' D2 L U'
R2 L' B R U' L U'
L' R' B U' L U' D
L' R' B U' L U' D'
L' R' B U' L U' D2
L' R' B U' L D U'
L' R' B U' L D' U'
L' R' B U' L D2 U'
L' R' B U' D L U'
L' R' B U' D' L U'
L' R' B U' D2 L U'
R' L' B D U' L U'
L' R' B D U' L U'
