R' U' L2 R2 U'
R' U' R2 L2 U'
R' U2 D F2 B2
R' U2 D B2 F2
R' D U2 F2 B2
R' D U2 B2 F2
R' D' F2 B2 U2
R' D' B2 F2 U2
L2 R U L2 R2 U2
L2 R U R2 L2 U2
L2 R U' D2 L2 R2
L2 R U' D2 R2 L2
L2 R D F2 B2 U'
L2 R D B2 F2 U'
L2 R D2 U' L2 R2
L2 R D2 U' R2 L2
R L2 U L2 R2 U2
R L2 U R2 L2 U2
R L2 U' D2 L2 R2
R L2 U' D2 R2 L2
R L2 D F2 B2 U'
R L2 D B2 F2 U'
U' L2 R U R2 U2
U' L2 R U' D2 L2
U' L2 R D B2 U'
U' L2 R D B2 U'
U' L2 R D2 U' L2
R L2 D2 U' L2 R2
R L2 D2 U' R2 L2
U' L2 B2 R U' L
R' U D2 L2 R2 U
R' U D2 R2 L2 U
U' R L2 U R2 U2
U' R L2 U' D2 L2
U' R L2 D B2 U'
U' R L2 D2 U' L2
U' R D B2 U' F2
R' U' L2 R2 U' D
R' U' L2 R2 U' D'
R' U' L2 R2 U' D2
R' U' L2 R2 D U'
R' U' L2 R2 D' U'
R' U' L2 R2 D2 U'
R' U' L2 U' D B2
R' U' L2 D U' B2
R' U' R2 L2 U' D
R' U' R2 L2 U' D'
R' U' R2 L2 U' D2
R' U' R2 L2 D U'
R' U' R2 L2 D' U'
R' U' R2 L2 D2 U'
R' U' R2 U' D F2
R' U' R2 D U' F2
D R' U' R2 U' F2
D R' U2 F2 D B2
R' U2 D F2 B2 D
R' U2 D F2 B2 D'
R' U2 D F2 B2 D2
R' U2 D B2 F2 D
R' U2 D B2 F2 D'
R' U2 D B2 F2 D2
D' R' B2 U' R2 U'
D' R' B2 U2 D B2
D' R' B2 D U2 B2
D' R' B2 D' F2 U2
R' U2 F D F2 B2
R' U2 F D B2 F2
R' U2 F' D F2 B2
R' U2 F' D B2 F2
R' U2 F2 D F2 B2
R' U2 F2 D B2 F2
R' U2 B D F2 B2
R' U2 B D B2 F2
R' U2 B' D F2 B2
R' U2 B' D B2 F2
R' U2 B2 D F2 B2
R' U2 B2 D B2 F2
R' D U2 F2 B2 D
R' D U2 F2 B2 D'
R' D U2 F2 B2 D2
R' D U2 B2 F2 D
R' D U2 B2 F2 D'
R' D U2 B2 F2 D2
R' D F U2 F B2
R' D F U2 B2 F
R' D F' U2 F' B2
R' D F' U2 B2 F'
R' D B U2 F2 B
R' D B U2 B F2
R' D B' U2 F2 B'
R' D B' U2 B' F2
B2 U' L2 R U' L'
R' D' F2 U2 D2 F2
R' D' F2 D2 U2 F2
R' D' F2 B2 U2 D
R' D' F2 B2 U2 D'
R' D' F2 B2 U2 D2
R' D' F2 B2 D U2
R' D' F2 B2 D U2
R' D' F2 B2 D' U2
R' D' F2 B2 D2 U2
B2 U' R L2 U' L'
R' D' B2 U2 D2 B2
R' D' B2 D2 U2 B2
R' D' B2 F2 U2 D
R' D' B2 F2 U2 D'
R' D' B2 F2 U2 D2
R' D' B2 F2 D U2
R' D' B2 F2 D' U2
R' D' B2 F2 D2 U2
R' D2 U L2 R2 U
R' D2 U R2 L2 U
R' F U' L2 R2 U'
R' F U' R2 L2 U'
R' F U2 D F2 B2
R' F U2 D B2 F2
R' F D U2 F2 B2
R' F D U2 B2 F2
R' F D' F2 B2 U2
R' F D' B2 F2 U2
F D R' U2 F2 B
F D R' U2 B F2
R' F' U' L2 R2 U'
R' F' U' R2 L2 U'
R' F' U2 D F2 B2
R' F' U2 D B2 F2
R' F' D U2 F2 B2
R' F' D U2 B2 F2
R' F' D' F2 B2 U2
R' F' D' B2 F2 U2
R' F2 U' L2 R2 U'
R' F2 U' R2 L2 U'
R' F2 U2 D F2 B2
R' F2 U2 D B2 F2
R' F2 D U2 F2 B2
R' F2 D U2 B2 F2
R' F2 D' F2 B2 U2
F D' B2 U2 L B'
R' F2 D' B2 F2 U2
R' B U' L2 R2 U'
R' B U' R2 L2 U'
R' B U2 D F2 B2
R' B U2 D B2 F2
R' B D U2 F2 B2
R' B D U2 B2 F2
R' B D' F2 B2 U2
R' B D' B2 F2 U2
R' B' U' L2 R2 U'
R' B' U' R2 L2 U'
R' B' U2 D F2 B2
R' B' U2 D B2 F2
R' B' D U2 F2 B2
R' B' D U2 B2 F2
R' B' D' F2 B2 U2
R' B' D' B2 F2 U2
U' B2 L2 R U' L'
U' B2 R L2 U' L'
R' B2 U' L2 R2 U'
R' B2 U' R2 L2 U'
R' B2 U2 D F2 B2
R' B2 U2 D B2 F2
D' B2 U' R U' L
R' B2 D U2 F2 B2
R' B2 D U2 B2 F2
R' B2 D' F2 B2 U2
R' B2 D' B2 F2 U2
L2 R U L2 R2 U2 D
L2 R U L2 R2 U2 D'
L2 R U L2 R2 U2 D2
L2 R U L2 R2 D U2
L2 R U L2 R2 D' U2
L2 R U L2 R2 D2 U2
U' L R D L B2 U'
L2 R U L2 U2 D2 L2
L2 R U L2 D2 U2 L2
U' L R D2 L U' L
L2 R U R2 L2 U2 D
L2 R U R2 L2 U2 D'
L2 R U R2 L2 U2 D2
L2 R U R2 L2 D U2
L2 R U R2 L2 D' U2
L2 R U R2 L2 D2 U2
L2 R U R2 U2 D2 R2
L2 R U R2 D2 U2 R2
L2 R U' D2 L2 R2 D
L2 R U' D2 L2 R2 D'
L2 R U' D2 L2 R2 D2
L2 R U' D2 R2 L2 D
L2 R U' D2 R2 L2 D'
L2 R U' D2 R2 L2 D2
L2 R U2 D' F2 B2 U
L2 R U2 D' B2 F2 U
L' R D B2 L' U' R'
L2 R D F2 U' D L2
L2 R D F2 D U' L2
L2 R D F2 B2 U' D
L2 R D F2 B2 U' D'
L2 R D F2 B2 U' D2
L2 R D F2 B2 D U'
L2 R D F2 B2 D' U'
L2 R D F2 B2 D2 U'
L2 R D B2 U' D R2
L2 R D B2 D U' R2
L2 R D B2 F2 U' D
L2 R D B2 F2 U' D'
L2 R D B2 F2 U' D2
L2 R D B2 F2 D U'
L2 R D B2 F2 D' U'
L2 R D B2 F2 D2 U'
L2 R D' U2 F2 B2 U
L2 R D' U2 B2 F2 U
L2 R D2 U' L2 R2 D
L2 R D2 U' L2 R2 D'
L2 R D2 U' L2 R2 D2
L2 R D2 U' R2 L2 D
L2 R D2 U' R2 L2 D'
L2 R D2 U' R2 L2 D2
L2 R D2 F U' L2 R2
L2 R D2 F U' R2 L2
L2 R D2 F' U' L2 R2
L2 R D2 F' U' R2 L2
L2 R D2 F2 U' L2 R2
L2 R D2 F2 U' R2 L2
L2 R D2 B U' L2 R2
L2 R D2 B U' R2 L2
L2 R D2 B' U' L2 R2
L2 R D2 B' U' R2 L2
L2 R D2 B2 U' L2 R2
L2 R D2 B2 U' R2 L2
L2 R F U L2 R2 U2
L2 R F U R2 L2 U2
L2 R F U' D2 L2 R2
L2 R F U' D2 R2 L2
L2 R F D F2 B2 U'
L2 R F D B2 F2 U'
L2 R F D2 U' L2 R2
L2 R F D2 U' R2 L2
L2 R F' U L2 R2 U2
L2 R F' U R2 L2 U2
L2 R F' U' D2 L2 R2
L2 R F' U' D2 R2 L2
L2 R F' D F2 B2 U'
L2 R F' D B2 F2 U'
L2 R F' D2 U' L2 R2
L2 R F' D2 U' R2 L2
L2 R F2 U L2 R2 U2
L2 R F2 U R2 L2 U2
L2 R F2 U' D2 L2 R2
L2 R F2 U' D2 R2 L2
L2 R F2 D F2 B2 U'
L2 R F2 D B2 F2 U'
L2 R F2 D2 U' L2 R2
L2 R F2 D2 U' R2 L2
L2 R B U L2 R2 U2
L2 R B U R2 L2 U2
L2 R B U' D2 L2 R2
L2 R B U' D2 R2 L2
L2 R B D F2 B2 U'
L2 R B D B2 F2 U'
L2 R B D2 U' L2 R2
L2 R B D2 U' R2 L2
L2 R B' U L2 R2 U2
L2 R B' U R2 L2 U2
L2 R B' U' D2 L2 R2
L2 R B' U' D2 R2 L2
L2 R B' D F2 B2 U'
L2 R B' D B2 F2 U'
L2 R B' D2 U' L2 R2
L2 R B' D2 U' R2 L2
L2 R B2 U L2 R2 U2
L2 R B2 U R2 L2 U2
L2 R B2 U' D2 L2 R2
L2 R B2 U' D2 R2 L2
L2 R B2 D F2 B2 U'
L2 R B2 D B2 F2 U'
L2 R B2 D2 U' L2 R2
L2 R B2 D2 U' R2 L2
U' L' R D L' B2 U'
U' L' R D B2 L' U'
U' L' R D2 L' U' L'
R L' D B2 L' U' R'
R L2 U L2 R2 U2 D
R L2 U L2 R2 U2 D'
R L2 U L2 R2 U2 D2
R L2 U L2 R2 D U2
R L2 U L2 R2 D' U2
R L2 U L2 R2 D2 U2
R L2 U L2 U2 D2 L2
R L2 U L2 D2 U2 L2
R L2 U R2 L2 U2 D
R L2 U R2 L2 U2 D'
R L2 U R2 L2 U2 D2
R L2 U R2 L2 D U2
R L2 U R2 L2 D' U2
R L2 U R2 L2 D2 U2
R L2 U R2 U2 D2 R2
R L2 U R2 D2 U2 R2
R L2 U' D2 L2 R2 D
R L2 U' D2 L2 R2 D'
R L2 U' D2 L2 R2 D2
R L2 U' D2 R2 L2 D
R L2 U' D2 R2 L2 D'
R L2 U' D2 R2 L2 D2
R L2 U2 D' F2 B2 U
R L2 U2 D' B2 F2 U
L2 R2 D F2 R' U' L'
R2 L2 D F2 R' U' L'
U' L' B2 L' R U' L2
R L2 D F2 U' D L2
R L2 D F2 D U' L2
R L2 D F2 B2 U' D
R L2 D F2 B2 U' D'
R L2 D F2 B2 U' D2
R L2 D F2 B2 D U'
R L2 D F2 B2 D' U'
R L2 D F2 B2 D2 U'
U' L' B2 R L' U' L2
R L2 D B2 U' D R2
R L2 D B2 D U' R2
R L2 D B2 F2 U' D
R L2 D B2 F2 U' D'
R L2 D B2 F2 U' D2
R L2 D B2 F2 D U'
R L2 D B2 F2 D' U'
R L2 D B2 F2 D2 U'
R L2 D' U2 F2 B2 U
R L2 D' U2 B2 F2 U
U' L2 R U R2 U2 D
U' L2 R U R2 U2 D'
U' L2 R U R2 U2 D2
U' L2 R U R2 D U2
U' L2 R U R2 D' U2
U' L2 R U R2 D2 U2
U' L2 R U' L D2 L2
U' L2 R U' L' D2 L2
U' L2 R U' L2 D2 L2
U' L2 R U' D2 L2 D
U' L2 R U' D2 L2 D'
U' L2 R U' D2 L2 D2
B2 L2 R U L2 U2 L
U2 L2 R U R2 U2 R
U' L2 R U2 D' F2 U
B2 L2 R U' D2 L' R2
B2 L2 R U' D2 R2 L'
U2 L2 R U' D2 L2 R'
U2 L2 R U' D2 R' L2
U' L2 R D B2 U' D
U' L2 R D B2 U' D'
U' L2 R D B2 U' D2
U' L2 R D B2 D U'
U' L2 R D B2 D' U'
U' L2 R D B2 D2 U'
U' L2 R D' U2 F2 U
U' L2 R D2 U' L2 D
U' L2 R D2 U' L2 D'
U' L2 R D2 U' L2 D2
U' L2 R D2 B U' L2
U' L2 R D2 B' U' L2
U' L2 R D2 B2 U' L2
B2 L2 R D2 U' L' R2
B2 L2 R D2 U' R2 L'
U L2 R U R2 U2 R2
U2 L2 R D2 U' L2 R'
U2 L2 R D2 U' R' L2
U' L2 R B U R2 U2
U' L2 R B U' D2 L2
U' L2 R B D B2 U'
U' L2 R B D2 U' L2
U' L2 R B' U R2 U2
U' L2 R B' U' D2 L2
U' L2 R B' D B2 U'
U' L2 R B' D2 U' L2
U' L2 R B2 U R2 U2
U' L2 R B2 U' D2 L2
U' L2 R B2 D B2 U'
U' L2 R B2 D2 U' L2
R L2 D2 U' L2 R2 D
R L2 D2 U' L2 R2 D'
R L2 D2 U' L2 R2 D2
R L2 D2 U' R2 L2 D
R L2 D2 U' R2 L2 D'
R L2 D2 U' R2 L2 D2
R L2 D2 F U' L2 R2
R L2 D2 F U' R2 L2
R L2 D2 F' U' L2 R2
R L2 D2 F' U' R2 L2
R L2 D2 F2 U' L2 R2
R L2 D2 F2 U' R2 L2
R L2 D2 B U' L2 R2
R L2 D2 B U' R2 L2
R L2 D2 B' U' L2 R2
R L2 D2 B' U' R2 L2
R L2 D2 B2 U' L2 R2
R L2 D2 B2 U' R2 L2
R L2 F U L2 R2 U2
R L2 F U R2 L2 U2
R L2 F U' D2 L2 R2
R L2 F U' D2 R2 L2
R L2 F D F2 B2 U'
R L2 F D B2 F2 U'
R L2 F D2 U' L2 R2
R L2 F D2 U' R2 L2
U' L2 U R' U' R2 U'
U' L2 U R' U2 D B2
U' L2 U R' D U2 B2
U' L2 U R' D' F2 U2
R L2 F' U L2 R2 U2
R L2 F' U R2 L2 U2
R L2 F' U' D2 L2 R2
R L2 F' U' D2 R2 L2
R L2 F' D F2 B2 U'
R L2 F' D B2 F2 U'
R L2 F' D2 U' L2 R2
R L2 F' D2 U' R2 L2
R L2 F2 U L2 R2 U2
R L2 F2 U R2 L2 U2
R L2 F2 U' D2 L2 R2
R L2 F2 U' D2 R2 L2
R L2 F2 D F2 B2 U'
R L2 F2 D B2 F2 U'
R L2 F2 D2 U' L2 R2
R L2 F2 D2 U' R2 L2
R L2 B U L2 R2 U2
R L2 B U R2 L2 U2
R L2 B U' D2 L2 R2
