B2 L R2 F L'
R2 L F L' B2
R2 L F B2 L'
B2 L F L' R2
B2 L F R2 L'
R2 L B2 F L'
F L' B2 R2 F'
L R2 F L' B2
L R2 F B2 L'
L R2 B2 F L'
B2 R2 L F L'
F' R2 B2 L F
L F L' R2 B2
L F L' B2 R2
L F R2 L' B2
L F R2 B2 L'
L F B2 L' R2
L F B2 R2 L'
R2 B2 L F L'
L B2 R2 F L'
L B2 F L' R2
L B2 F R2 L'
B2 L R' F L' R'
B2 L R' F R' L'
F L R2 F L2 B2
B' L R2 F L' B'
F L R2 F B2 L2
F' L R2 F B2 L
B2 L R2 F L' D
B2 L R2 F L' D'
B2 L R2 F L' D2
B2 L R2 F D L'
B2 L R2 F D' L'
B2 L R2 F D2 L'
F L R2 B2 F L2
F' L R2 B2 F L
R' L F L' R' B2
R' L F R' L' B2
R' L F R' B2 L'
R2 L F L B2 L2
R2 L F L' B2 D
R2 L F L' B2 D'
R2 L F L' B2 D2
R2 L F B L' B
R2 L F B2 L' D
R2 L F B2 L' D'
R2 L F B2 L' D2
R2 L F B2 D L'
R2 L F B2 D' L'
R2 L F B2 D2 L'
B' L F L' R2 B'
B' L F L' B' R2
B2 L F L' R2 D
B2 L F L' R2 D'
B2 L F L' R2 D2
F L F L2 R2 B2
F2 L F R2 B2 L
B' L F R2 L' B'
F L F L2 B2 R2
F L F R2 L2 B2
B L F L' B R2
F L F R2 B2 L2
B2 L F R2 L' D
B2 L F R2 L' D'
B2 L F R2 L' D2
B2 L F R2 D L'
B2 L F R2 D' L'
B2 L F R2 D2 L'
F L F B2 L2 R2
F L F B2 R2 L2
B L F B L' R2
B L F B R2 L'
R2 L B F L' B
L R B2 R F L'
R2 L B2 F L' D
R2 L B2 F L' D'
R2 L B2 F L' D2
R2 L B2 F D L'
R2 L B2 F D' L'
R2 L B2 F D2 L'
R L B2 R F L'
B L B R2 F L'
B L B F L' R2
B L B F R2 L'
F L B2 R2 F L2
F L B2 F L2 R2
F L B2 F R2 L2
L R' F L' R' B2
L R' F R' L' B2
L R' F R' B2 L'
F L' F B2 R2 F'
F L' F' B2 R2 F'
F L' F2 B2 R2 F'
F2 L' B2 R2 F' L'
F L' B2 R2 D F'
F L' B2 R2 D' F'
F L' B2 R2 D2 F'
F L' B2 R2 F' D
F L' B2 R2 F' D'
F L' B2 R2 F' D2
F L' B2 F R2 F'
F L' B2 F' R2 F'
F L' B2 F2 R2 F'
L2 R2 F L' F B2
L2 R2 F L' B2 F
R2 L2 F L' F B2
R2 L2 F L' B2 F
L R2 F L B2 L2
L R2 F L' B2 D
L R2 F L' B2 D'
L R2 F L' B2 D2
L2 R2 F B2 L' F
L R2 F B L' B
R2 L2 F B2 L' F
L R2 F B2 L' D
L R2 F B2 L' D'
L R2 F B2 L' D2
L R2 F B2 D L'
L R2 F B2 D' L'
L R2 F B2 D2 L'
B2 L2 R2 F L' F
L R2 B F L' B
L2 R2 B2 L' F L'
R2 L2 B2 L' F L'
L2 R2 B2 F L' F
L R2 B2 F L' D
L R2 B2 F L' D'
L R2 B2 F L' D2
R2 L2 B2 F L' F
L R2 B2 F D L'
L R2 B2 F D' L'
L R2 B2 F D2 L'
B2 L2 F L' R2 F
B2 L2 F L' F R2
B2 L2 F R2 L' F
L U R2 F L' B2
L U R2 F B2 L'
L U R2 B2 F L'
L U F L' R2 B2
L U F L' B2 R2
L U F R2 L' B2
L U F R2 B2 L'
L U F B2 L' R2
L U F B2 R2 L'
L U B2 R2 F L'
L U B2 F L' R2
L U B2 F R2 L'
L U' R2 F L' B2
L U' R2 F B2 L'
L U' R2 B2 F L'
B2 R' L F L' R'
B2 R' L F R' L'
L U' F L' R2 B2
L U' F L' B2 R2
L U' F R2 L' B2
L U' F R2 B2 L'
L U' F B2 L' R2
L U' F B2 R2 L'
L U' B2 R2 F L'
L U' B2 F L' R2
L U' B2 F R2 L'
L U2 R2 F L' B2
L U2 R2 F B2 L'
L U2 R2 B2 F L'
F' R2 L F B2 L
B' R2 L F L' B'
F' R2 L B2 F L
B2 R2 L F L' D
B2 R2 L F L' D'
B2 R2 L F L' D2
B2 R2 L F D L'
B2 R2 L F D' L'
B2 R2 L F D2 L'
L U2 F L' R2 B2
L U2 F L' B2 R2
F R2 L F L2 B2
F R2 L F B2 L2
L U2 F R2 L' B2
L U2 F R2 B2 L'
B2 R2 L2 F L' F
F R2 L B2 F L2
L U2 F B2 L' R2
L U2 F B2 R2 L'
L U2 B2 R2 F L'
L U2 B2 F L' R2
L U2 B2 F R2 L'
B' R2 D2 B' L F
B2 R2 F L F L2
F' R2 F B2 L F
F' R2 F' B2 L F
F' R2 F2 B2 L F
B' R2 B' L F L'
F' R2 B2 L D F
F' R2 B2 L D' F
F' R2 B2 L D2 F
F' R2 B2 L F D
F' R2 B2 L F D'
F' R2 B2 L F D2
F' R2 B2 D L F
F' R2 B2 D' L F
F' R2 B2 D2 L F
F' R2 B2 F L F
F' R2 B2 F' L F
F' R2 B2 F2 L F
F R2 B2 L F L2
R2 F L F L2 B2
R2 F L F B2 L2
L F L R2 B2 L2
R2 F L B2 F L2
L2 F L' R2 F B2
L2 F L' R2 B2 F
L F L B2 L2 R2
L F L B2 R2 L2
L F L' R B2 R
L2 F L' F R2 B2
L F L' R2 B2 D
L F L' R2 B2 D'
L F L' R2 B2 D2
L2 F L' F B2 R2
L2 F L' B2 R2 F
L2 F L' B2 F R2
L F L' B' R2 B'
L F L' B2 R2 D
L F L' B2 R2 D'
L F L' B2 R2 D2
L F R L' B2 R
L F R B2 L' R
L F R B2 R L'
L2 F R2 L' F B2
L2 F R2 L' B2 F
L F R2 L B2 L2
L F R2 L' B2 D
L F R2 L' B2 D'
L F R2 L' B2 D2
L2 F R2 B2 L' F
L F R2 B L' B
L F R2 B2 L' D
L F R2 B2 L' D'
L F R2 B2 L' D2
L F R2 B2 D L'
L F R2 B2 D' L'
L F R2 B2 D2 L'
L' F B2 L' R2 F'
L' F B2 R2 L' F'
L F B L' B R2
R2 F B2 L F L2
L2 F B2 L' R2 F
L2 F B2 L' F R2
L F B' R2 B' L'
L2 F B2 R2 L' F
L F B2 L' R2 D
L F B2 L' R2 D'
L F B2 L' R2 D2
L F B2 R2 L' D
L F B2 R2 L' D'
L F B2 R2 L' D2
L F B2 R2 D L'
L F B2 R2 D' L'
L F B2 R2 D2 L'
L F' R2 F2 B2 L
L F' R2 B2 L F2
L F' R2 B2 F2 L
L' F2 B2 R2 F' L'
R2 B L F L' B
R2 B L F B L'
R2 B L B F L'
B2 F L R2 F L2
B2 F L F L2 R2
B2 F L F R2 L2
B2 F R2 L F L2
L B F L' B R2
R2 B' L F L' B'
L B' R2 F B' L'
L B' R2 B' F L'
R2 B' D2 B' L F
L B' F R2 B' L'
R2 B2 L F L' D
R2 B2 L F L' D'
R2 B2 L F L' D2
R2 B2 L F D L'
R2 B2 L F D' L'
R2 B2 L F D2 L'
L2 B2 L' R2 F L'
L2 B2 L' F L' R2
L2 B2 L' F R2 L'
L' B2 R2 F L' F2
R2 B2 L2 F L' F
R B2 L R F L'
F B2 L R2 F L2
F B2 L F L2 R2
F B2 L F R2 L2
L B2 R' F L' R'
L B2 R' F R' L'
L2 B2 R2 L' F L'
L2 B2 R2 F L' F
L B2 R2 F L' D
L B2 R2 F L' D'
L B2 R2 F L' D2
L B2 R2 F D L'
L B2 R2 F D' L'
L B2 R2 F D2 L'
R B2 R L F L'
L' B2 F L' R2 F'
L' B2 F R2 L' F'
F B2 R2 L F L2
L' B2 F2 R2 F' L'
R2 B2 F L F L2
L2 B2 F L' R2 F
L2 B2 F L' F R2
L B2 F L' R2 D
L B2 F L' R2 D'
L B2 F L' R2 D2
L2 B2 F R2 L' F
L B2 F R2 L' D
L B2 F R2 L' D'
L B2 F R2 L' D2
L B2 F R2 D L'
L B2 F R2 D' L'
L B2 F R2 D2 L'
F' L R U2 R F B2
F' L R U2 R B2 F
F' L R U2 B2 R F
R' L U R' F L' B2
R' L U R' F B2 L'
R' L U R' B2 F L'
L R U R F L' B2
L R U R F B2 L'
L R U R B2 F L'
R L U R F L' B2
R L U R F B2 L'
R' L U F L' R' B2
R L U R B2 F L'
R' L U F R' L' B2
R' L U F R' B2 L'
F L R B2 R F L2
L R U B2 R F L'
B' L R' F L' R' B'
R L U B2 R F L'
B' L R' F R' L' B'
F' L R' F R' B2 L
R' L U' R' F L' B2
R' L U' R' F B2 L'
R' L U' R' B2 F L'
B2 L R' F L' R' D
B2 L R' F L' R' D'
B2 L R' F L' R' D2
B2 L R' F L' D R'
B2 L R' F L' D' R'
B2 L R' F L' D2 R'
B2 L R' F R' L' D
B2 L R' F R' L' D'
B2 L R' F R' L' D2
B2 L R' F R' D L'
B2 L R' F R' D' L'
B2 L R' F R' D2 L'
L R U' R F L' B2
B2 L R' F D L' R'
B2 L R' F D R' L'
L R U' R F B2 L'
B2 L R' F D' L' R'
B2 L R' F D' R' L'
B2 L R' F D2 L' R'
B2 L R' F D2 R' L'
L R U' R B2 F L'
F L R' F L2 R' B2
F L R' F R' L2 B2
F L R' F R' B2 L2
R L U' R F L' B2
R L U' R F B2 L'
R' L U' F L' R' B2
R' L U' F R' L' B2
R' L U' F R' B2 L'
R L U' R B2 F L'
L R U' B2 R F L'
F' L R2 F L B2 L
B' L R2 F L' D B'
B' L R2 F L' D' B'
B' L R2 F L' D2 B'
B' L R2 F L' B' D
B' L R2 F L' B' D'
B' L R2 F L' B' D2
F' L R2 F L' B2 L
F' L R2 F L2 B2 L
B' L R2 F D L' B'
B' L R2 F D' L' B'
B' L R2 F D2 L' B'
B' L R2 F B L' B'
B' L R2 F B' L' B'
B' L R2 F B2 L' B'
F' L R2 F B2 L D
F' L R2 F B2 L D'
F' L R2 F B2 L D2
F' L R2 F B2 D L
F' L R2 F B2 D' L
F' L R2 F B2 D2 L
B2 L R2 F L2 D L
B2 L R2 F L2 D' L
B2 L R2 F L2 D2 L
B2 L R2 F D L' D
B2 L R2 F D L' D'
B2 L R2 F D L' D2
F' L R2 F' B2 L F2
B2 L R2 F D' L' D
B2 L R2 F D' L' D'
B2 L R2 F D' L' D2
B2 L R2 F D2 L' D
B2 L R2 F D2 L' D'
B2 L R2 F D2 L' D2
B2 L R2 F B' L' B
B2 L R2 F B2 L' B2
B2 L R2 F' L F2 L'
B2 L R2 F' L' F2 L'
B2 L R2 F' L2 F2 L'
R L U' B2 R F L'
F2 L R2 F' L' F2 B2
F' L R2 F2 B2 L F'
B L R2 F L' D2 B2
F2 L R2 F' L' B2 F2
F L R2 F L' B2 L'
F L R2 F L2 B2 D
F L R2 F L2 B2 D'
F L R2 F L2 B2 D2
R' L U2 R' F L' B2
R' L U2 R' F B2 L'
B2 L R2 F2 L F' L'
B2 L R2 F2 L' F' L'
B2 L R2 F2 L2 F' L'
B L R2 F D2 L' B2
R' L U2 R' B2 F L'
B L R2 F D2 B2 L'
F L R2 F B L2 B
F2 L R2 F' B2 L' F2
D' L R2 F2 B' U' F'
B' L R2 B F L' B'
F L R2 F B2 L2 D
F L R2 F B2 L2 D'
F L R2 F B2 L2 D2
B2 L R2 F2 D F' L'
B2 L R2 F2 D' F' L'
F L R2 F' L2 F2 B2
F L R2 F' L2 B2 F2
B2 L R2 F2 D2 F' L'
L R U2 R F L' B2
L R U2 R F B2 L'
F L R2 F' B2 L2 F2
B' L R2 B' F L' B'
L R U2 R B2 F L'
F L R2 F2 L2 F' B2
F L R2 F2 L2 B2 F'
F' L R2 B2 D F L
F' L R2 B2 D' F L
F L R2 F2 B2 L2 F'
B' L R2 B2 F L' B'
F' L R2 B2 D2 F L
F' L R2 B2 F L D
F' L R2 B2 F L D'
F' L R2 B2 F L D2
D' L R2 B' F2 U' F'
F' L R2 B2 F D L
F' L R2 B2 F D' L
F' L R2 B2 F D2 L
F' L R2 B2 F' L F2
F' L R2 B2 F2 L F'
B2 L R2 B' F L' B
F L R2 B F L2 B
B2 L R2 B2 F L' B2
R' L U2 F L' R' B2
R L U2 R F L' B2
R L U2 R F B2 L'
R' L U2 F R' L' B2
R' L U2 F R' B2 L'
F2 L R2 B2 F' L' F2
R L U2 R B2 F L'
F L R2 B2 F L2 D
F L R2 B2 F L2 D'
F L R2 B2 F L2 D2
F L R2 B2 F' L2 F2
F L R2 B2 F2 L2 F'
R2 L U2 F L' B2 R'
F' L U R2 F B2 L
F L U L2 B2 R2 F'
F' L U R2 B2 F L
L R U2 B2 R F L'
F L U R2 F L2 B2
F L U R2 F B2 L2
F L U R2 B2 F L2
R L U2 B2 R F L'
B L U F L' B R2
F L U F L2 R2 B2
F L U F L2 B2 R2
F L U F R2 L2 B2
F L U F R2 B2 L2
B L U F B L' R2
B L U F B R2 L'
F L U F B2 L2 R2
F L U F B2 R2 L2
B L U B R2 F L'
B L U B F L' R2
B L U B F R2 L'
F L U B2 R2 F L2
F L U B2 F L2 R2
F L U B2 F R2 L2
F' L U' R2 F B2 L
F L U' L2 B2 R2 F'
F' L U' R2 B2 F L
F L U' R2 F L2 B2
F L U' R2 F B2 L2
F L U' R2 B2 F L2
B L U' F L' B R2
F L U' F L2 R2 B2
F L U' F L2 B2 R2
F L U' F R2 L2 B2
F L U' F R2 B2 L2
B L U' F B L' R2
B L U' F B R2 L'
F L U' F B2 L2 R2
F L U' F B2 R2 L2
B L U' B R2 F L'
B L U' B F L' R2
B L U' B F R2 L'
F L U' B2 R2 F L2
F L U' B2 F L2 R2
F L U' B2 F R2 L2
F' L U2 R2 F B2 L
F L U2 L2 B2 R2 F'
F' L U2 R2 B2 F L
F L U2 R2 F L2 B2
F L U2 R2 F B2 L2
F L U2 R2 B2 F L2
B2 L U2 F L' R2 B
B2 L U2 F R2 L' B
B2 L U2 F R2 B L'
B L U2 F L' B R2
F L U2 F L2 R2 B2
F L U2 F L2 B2 R2
F L U2 F R2 L2 B2
F L U2 F R2 B2 L2
B L U2 F B L' R2
B L U2 F B R2 L'
F L U2 F B2 L2 R2
F L U2 F B2 R2 L2
B L U2 B R2 F L'
B L U2 B F L' R2
B L U2 B F R2 L'
F L U2 B2 R2 F L2
F L U2 B2 F L2 R2
F L U2 B2 F R2 L2
R2 L D2 F L2 B' L
R' L F L R' B2 L2
R' L F L' R B2 R2
R' L F L' R' B2 D
R' L F L' R' B2 D'
R' L F L' R' B2 D2
R' L F L' R2 B2 R
R' L F R L' B2 R2
R2 L F L B L2 B
R2 L F L B2 L2 D
R2 L F L B2 L2 D'
R2 L F L B2 L2 D2
R2 L F L' R' B2 R
R2 L F L' R2 B2 R2
R' L F R B2 L' R2
R' L F R B2 R2 L'
R' L F R' L B2 L2
R' L F R' L' B2 D
R' L F R' L' B2 D'
R' L F R' L' B2 D2
R2 L F L' B D B
R2 L F L' B D' B
R2 L F L' B D2 B
R2 L F L' B' D B'
R2 L F L' B' D' B'
R2 L F L' B' D2 B'
R' L F R' B L' B
R' L F R' B2 L' D
R' L F R' B2 L' D'
R' L F R' B2 L' D2
R' L F R' B2 D L'
R' L F R' B2 D' L'
R' L F R' B2 D2 L'
R' L F R2 L' B2 R
R' L F R2 B2 L' R
R' L F R2 B2 R L'
R2 L F R' L' B2 R
R2 L F R' B2 L' R
R2 L F R' B2 R L'
R2 L F R2 L' B2 R2
R2 L F R2 B2 L' R2
R2 L F R2 B2 R2 L'
R2 L F D' L' D B2
R' L F B2 L' D2 R2
R2 L F D2 L' D2 B2
R2 L F B L B L2
R2 L F B L' D B
R2 L F B L' D' B
R2 L F B L' D2 B
R2 L F B L' B D
R2 L F B L' B D'
R2 L F B L' B D2
R2 L F B D L' B
R2 L F B D B L'
R2 L F B D' L' B
R2 L F B D' B L'
R2 L F B D2 L' B
R2 L F B D2 B L'
R2 L F B' D B' L'
R2 L F B' D' B' L'
R2 L F B' D2 B' L'
R2 L F B2 L2 D L
R2 L F B2 L2 D' L
R2 L F B2 L2 D2 L
R2 L F B2 D L' D
R2 L F B2 D L' D'
R2 L F B2 D L' D2
R2 L F B2 D' L' D
