B L' U R' D2 L2
B' L' U' L2 R U2
B' L' U' R L2 U2
B L' U' R U2 R2
B L' F2 U L' R'
B L' F2 U R' L'
L' F2 B U L' R'
L' F2 B U R' L'
L' B U R' D2 L2
L' B U' R U2 R2
L' B F2 U L' R'
L' B F2 U R' L'
L' B' U' L R U2
L' B' U' R L U2
B' L R U L2 R' U
B' L R U R' L2 U
B L F2 L2 U L R'
B L F2 L2 U R' L
D L F2 B' L2 U L
D L B' L2 U' R U2
D L B' L2 F2 U L'
D L B' F2 L2 U L
B L' U L R' D2 L2
B L' U L' R' D2 L2
B' L' U R' D2 L2 R2
B' L' U R' D2 R2 L2
B L' U L2 R' D2 L2
B L' U R' L D2 L2
B L' U R' L' D2 L2
B L' U R' L2 D2 L2
B L' U R' U2 R2 U2
B L' U R' D2 L2 D
B L' U R' D2 L2 D'
B L' U R' D2 L2 D2
B L' U D R' D2 L2
B' L' U F2 L' F2 R
B L' U D' R' D2 L2
B L' U D2 R' D2 L2
B L' U F2 L' R' F2
B L' U F2 L' F2 R'
B L' U F2 R' L' F2
D' L' U' R U' F' U'
B' L' U' L2 R U2 D
B' L' U' L2 R U2 D'
B' L' U' L2 R U2 D2
B' L' U' L2 R D U2
B' L' U' L2 R D' U2
B' L' U' L2 R D2 U2
B' L' U' L2 D R U2
B' L' U' L2 D' R U2
B' L' U' L2 D2 R U2
B' L' U' R L2 U2 D
B' L' U' R L2 U2 D'
B' L' U' R L2 U2 D2
B' L' U' R L2 D U2
B' L' U' R L2 D' U2
B' L' U' R L2 D2 U2
B' L' U' R U2 D2 R2
B L' U' L R U2 R2
B' L' U' R D2 U2 R2
B L' U' L' R U2 R2
D L' U' R U' F U'
B L' U' L2 R U2 R2
B L' U' R L U2 R2
B L' U' R L' U2 R2
B L' U' R L2 U2 R2
B L' U' R U2 R2 D
B L' U' R U2 R2 D'
B L' U' R U2 R2 D2
B L' U' R D2 L2 U2
B' L' U' D2 R U2 R
B L' U' D R U2 R2
B L' U' D' R U2 R2
B L' U' D2 R U2 R2
B' L' U2 D F2 U' L'
B L' U2 F2 U' L' R'
B L' U2 F2 U' R' L'
B' L' D U2 F2 U' L'
B L' D U R' D2 L2
B L' D U' R U2 R2
B L' D F2 U L' R'
B L' D F2 U R' L'
B L' D' U R' D2 L2
B L' D' U' R U2 R2
B' L' D' F2 B2 U L'
B' L' D' B2 U' R U2
B L' D' F2 U L' R'
B L' D' F2 U R' L'
B' L' D' B2 F2 U L'
B' L' D2 U' R U2 R
B L' D2 U R' D2 L2
B L' D2 U' R U2 R2
B' L' D2 F2 U L' R2
B' L' D2 F2 U R2 L'
B L' D2 F2 U L' R'
B L' D2 F2 U R' L'
B' L' F2 U D2 L' R2
B' L' F2 U D2 R2 L'
B' L' F2 U' L2 U2 L
B L' F2 U L' R' D
B L' F2 U L' R' D'
B L' F2 U L' R' D2
B L' F2 U L' D R'
B L' F2 U L' D' R'
B L' F2 U L' D2 R'
B L' F2 U R' L' D
B L' F2 U R' L' D'
B L' F2 U R' L' D2
B L' F2 U R' D L'
B L' F2 U R' D' L'
B L' F2 U R' D2 L'
B L' F2 U D L' R'
B L' F2 U D R' L'
B L' F2 U D' L' R'
B L' F2 U D' R' L'
B L' F2 U D2 L' R'
B L' F2 U D2 R' L'
B' L' F2 D' B2 U L'
B' L' F2 D2 U L' R2
B' L' F2 D2 U R2 L'
B L' F2 D U L' R'
B L' F2 D U R' L'
B L' F2 D' U L' R'
B L' F2 D' U R' L'
B L' F2 D2 U L' R'
B L' F2 D2 U R' L'
B2 L' F2 B' U L' R'
B2 L' F2 B' U R' L'
B' L' B U' L2 R U2
B' L' B U' R L2 U2
B2 L' B U' L R U2
B2 L' B U' R L U2
B' L' B' U' L2 R U2
B' L' B' U' R L2 U2
B2 L' B' U R' D2 L2
B2 L' B' U' R U2 R2
B2 L' B' F2 U L' R'
B2 L' B' F2 U R' L'
