U' L R2 U2 F B'
U' L R2 U2 B' F
U' R2 L U2 F B'
U' R2 L U2 B' F
R2 L U R' U F' B'
R2 L U R' U B' F'
U L R B R U2 B2
U' L R2 U2 D F B'
U' L R2 U2 D B' F
U' L R2 U2 D' F B'
U' L R2 U2 D' B' F
U' L R2 U2 D2 F B'
U' L R2 U2 D2 B' F
U' L R2 U2 F D B'
U' L R2 U2 F D' B'
U' L R2 U2 F D2 B'
U' L R2 U2 F B' D
U' L R2 U2 F B' D'
U' L R2 U2 F B' D2
U' L R2 U2 B' D F
U' L R2 U2 B' D' F
U' L R2 U2 B' D2 F
U' L R2 U2 B' F D
U' L R2 U2 B' F D'
U' L R2 U2 B' F D2
U' L R2 D U2 F B'
U' L R2 D U2 B' F
U' L R2 D' U2 F B'
U' L R2 D' U2 B' F
U' L R2 D2 U2 F B'
U' L R2 D2 U2 B' F
U' L R2 F' U2 F2 B'
U' L R2 F' U2 B' F2
U' L R2 F2 U2 F' B'
U' L R2 F2 U2 B' F'
U' L R2 B U2 F B2
U' L R2 B U2 B2 F
U' L R2 B2 U2 F B
U' L R2 B2 U2 B F
B L U' B R' B2 L
U' L U2 D2 F B' L2
U' L U2 D2 B' F L2
U' L U2 F D2 B' L2
U' L U2 F B' D2 L2
U' L U2 B' D2 F L2
U' L U2 B' F D2 L2
U' L D2 U2 F B' L2
U' L D2 U2 B' F L2
R2 L B U' L U' B2
U' L F' R2 U2 F2 B'
U' L F' R2 U2 B' F2
U' L F2 R2 B U2 B2
U' L B R2 U2 F B2
U' L B R2 U2 B2 F
B L B U' R' B2 L
U' L B2 R2 F' U2 F2
U' L' R2 F L2 U2 F
U' L' R2 F B' L2 U2
U' L' R2 B' L2 U2 B'
U' L' R2 B' F L2 U2
U' L' D2 L2 R2 F B'
U' L' D2 L2 R2 B' F
U' L' D2 L2 F R2 B'
U' L' D2 L2 F B' R2
U' L' D2 L2 B' R2 F
U' L' D2 L2 B' F R2
U' L' D2 R2 L2 F B'
U' L' D2 R2 L2 B' F
U' L' F L2 R2 U2 F
U' L' F R2 L2 U2 F
U' L' F R2 B' L2 U2
U' L' F B' L2 R2 U2
U' L' F B' R2 L2 U2
L R2 U R' U F' B'
L R2 U R' U B' F'
U' L' B' L2 R2 U2 B'
U' L' B' R2 L2 U2 B'
U' L' B' R2 F L2 U2
U' L' B' F L2 R2 U2
U' L' B' F R2 L2 U2
L R2 B U' L U' B2
R' U L R' U2 F' B'
R' U L R' U2 B' F'
R U L R B U2 B2
R U R L B U2 B2
R' U R' L U2 F' B'
R' U R' L U2 B' F'
U R L B R U2 B2
R' U B2 L R' F' B'
R' U B2 L R' B' F'
R' U B2 R' L F' B'
R' U B2 R' L B' F'
R' U B2 R' F' L B'
R' U' L R' U2 F B'
R' U' L R' U2 B' F
R U' L R U2 F B'
R U' L R U2 B' F
R U' R L U2 F B'
R U' R L U2 B' F
R' U' R' L U2 F B'
R' U' R' L U2 B' F
R' U' B2 L R' F B'
R' U' B2 L R' B' F
R' U' B2 L F R' B'
R' U' B2 R' L F B'
R' U' B2 R' L B' F
U R' F' B2 L R' B'
U R' F' B2 R' L B'
U' R' B2 L R' F B'
U' R' B2 L R' B' F
U' R' B2 L F R' B'
U' R' B2 R' L F B'
U' R' B2 R' L B' F
U R' B2 L F' R' B'
U' R2 L U2 D F B'
U' R2 L U2 D B' F
U' R2 L U2 D' F B'
U' R2 L U2 D' B' F
U' R2 L U2 D2 F B'
U' R2 L U2 D2 B' F
U' R2 L U2 F D B'
U' R2 L U2 F D' B'
U' R2 L U2 F D2 B'
U' R2 L U2 F B' D
U' R2 L U2 F B' D'
U' R2 L U2 F B' D2
U' R2 L U2 B' D F
U' R2 L U2 B' D' F
U' R2 L U2 B' D2 F
U' R2 L U2 B' F D
U' R2 L U2 B' F D'
U' R2 L U2 B' F D2
U' R2 L D U2 F B'
U' R2 L D U2 B' F
U' R2 L D' U2 F B'
U' R2 L D' U2 B' F
U' R2 L D2 U2 F B'
U' R2 L D2 U2 B' F
U' R2 L F' U2 F2 B'
U' R2 L F' U2 B' F2
U' R2 L F2 U2 F' B'
U' R2 L F2 U2 B' F'
U' R2 L B U2 F B2
U' R2 L B U2 B2 F
U' R2 L B2 U2 F B
U' R2 L B2 U2 B F
U R' B2 F' L R' B'
U R' B2 F' R' L B'
U' R2 L' F L2 U2 F
U' R2 L' F B' L2 U2
U' R2 L' B' L2 U2 B'
U' R2 L' B' F L2 U2
U' R2 F L U2 F B'
U' R2 F L U2 B' F
U' R2 F' L U2 F B'
U' R2 F' L U2 B' F
U' R2 F2 L U2 F B'
U' R2 F2 L U2 B' F
D2 U B2 L2 R' F' B
D2 U B2 L2 R' B F'
D2 U B2 R' L2 F' B
D2 U B2 R' L2 B F'
D2 U B2 R' F' L2 B
D2 U B2 R' F' B L2
D2 U B2 R' B L2 F'
D2 U B2 R' B F' L2
F' U' L R2 U2 F B'
F' U' L R2 U2 B' F
F2 U' L R2 U2 F B'
F2 U' L R2 U2 B' F
F U' L R2 U2 F B'
F U' L R2 U2 B' F
F' U' R2 L U2 F B'
F' U' R2 L U2 B' F
F2 U' R2 L U2 F B'
F2 U' R2 L U2 B' F
F U' R2 L U2 F B'
F U' R2 L U2 B' F
U' F L R2 U2 F B'
U' F L R2 U2 B' F
U D2 B2 L2 R' F' B
U D2 B2 L2 R' B F'
U D2 B2 R' L2 F' B
U D2 B2 R' L2 B F'
U D2 B2 R' F' L2 B
U D2 B2 R' F' B L2
U D2 B2 R' B L2 F'
U D2 B2 R' B F' L2
U' F R2 L U2 F B'
U' F R2 L U2 B' F
U' F' L R2 U2 F B'
U' F' L R2 U2 B' F
U' F' R2 L U2 F B'
U' F' R2 L U2 B' F
U' F2 L R2 U2 F B'
U' F2 L R2 U2 B' F
U' F2 R2 L U2 F B'
U' F2 R2 L U2 B' F
L B R2 U' L U' B2
U' B2 R' B2 L F B'
U' B2 R' B2 L B' F
U B2 R' F' B2 L B'
U B2 R' B2 L F' B'
U B2 R' B2 L B' F'
U B2 R' B2 F' L B'
U B2 D2 L2 R' F' B
U B2 D2 L2 R' B F'
U B2 D2 R' L2 F' B
U B2 D2 R' L2 B F'
U B2 D2 R' F' L2 B
U B2 D2 R' F' B L2
U B2 D2 R' B L2 F'
U B2 D2 R' B F' L2
