D' L' F R B2 U2
D' L' F B2 R U2
D' L' B2 F R U2
D' B2 L' F R U2
D' L B2 L2 U2 B L
D' L' R F R B2 U2
D' L' R F B2 R U2
D L' R F' U2 L' F'
D' L' R B2 F R U2
D L' R' U2 F2 B L
D L' R' U2 B L F2
D L' R' U2 B F2 L
D' L' R' F R B2 U2
D' L' R' F B2 R U2
D' L' R' B2 F R U2
D' L' R2 F R B2 U2
D' L' R2 F B2 R U2
D' L' R2 B2 F R U2
D' L' D2 F R U2 F
D' L' F R U2 D2 F2
D' L' F R D2 U2 F2
D' L' F R B2 U2 D
D' L' F R B2 U2 D'
D' L' F R B2 U2 D2
D' L' F R B2 D U2
D' L' F R B2 D' U2
D' L' F R B2 D2 U2
D' L' F R' B2 R2 U2
D' L' F R2 B2 U2 L
D L' F R F' U2 F2
D' L' F U2 D2 F2 L'
D' L' F D2 R U2 F2
D' L' F D2 U2 F2 L'
D' L' F B' R B' U2
D' L' F B2 R U2 D
D' L' F B2 R U2 D'
D' L' F B2 R U2 D2
D' L' F B2 R D U2
D' L' F B2 R D' U2
D' L' F B2 R D2 U2
D' L' F B2 D R U2
D' L' F B2 D' R U2
D' L' F B2 D2 R U2
D' L' B' F R B' U2
D' L' B2 R F R U2
D' L' B2 R' F R U2
D' L' B2 R2 F R U2
D' L' B2 D F R U2
D' L' B2 D' F R U2
D' L' B2 D2 F R U2
D' L' B2 F R U2 D
D' L' B2 F R U2 D'
D' L' B2 F R U2 D2
D' L' B2 F R D U2
D' L' B2 F R D' U2
D' L' B2 F R D2 U2
D' L' B2 F D R U2
D' L' B2 F D' R U2
D' L' B2 F D2 R U2
F' L2 R F' U' L R
F' L2 R F' U' R L
F' L2 D R F' U' L
L2 U L U F L' U
F' L2 F' U' L R B
F' L2 F' U' R L B
D' R L' F R B2 U2
D' R L' F B2 R U2
D' R L' B2 F R U2
D R L' F' U2 L' F'
F' R L2 F' U' L R
F' R L2 F' U' R L
D R F' U2 L' F' R
D' R B2 L' F R U2
D' R' L' F R B2 U2
D' R' L' F B2 R U2
D R' L' U2 F2 B L
D R' L' U2 B L F2
D R' L' U2 B F2 L
D' R' L' B2 F R U2
D R' U2 F2 B L R
D R' U2 F2 B R L
D R' U2 B F2 L R
D R' U2 B F2 R L
D R' F' L' F' B R
D R' F' L' B F' R
D R' F' B L' F' R
D R' B F' L' F' R
D' R' B2 L' F R U2
D' R2 L' F R B2 U2
D' R2 L' F B2 R U2
D' R2 L' B2 F R U2
D R2 F' L' F' R B
D' R2 B2 L' F R U2
U2 D R' F2 B L R
U2 D R' F2 B R L
U2 D R' B F2 L R
U2 D R' B F2 R L
U2 D R2 F2 R B L
R' D' L' F R B2 U2
R' D' L' F B2 R U2
R' D' L' B2 F R U2
U2 D F2 R' B L R2
U2 D F2 R' B R2 L
R2 D' L' F R B2 U2
R2 D' L' F B2 R U2
R2 D' L' B2 F R U2
R D' L' F R B2 U2
R D' L' F B2 R U2
R D' L' B2 F R U2
R' D' B2 L' F R U2
R2 D' B2 L' F R U2
R D' B2 L' F R U2
D U2 R' F2 B L R
D U2 R' F2 B R L
D U2 R' B F2 L R
D U2 R' B F2 R L
D U2 R2 F2 R B L
D U2 F2 R' B L R2
D U2 F2 R' B R2 L
D F R F' L' U2 F2
D F R F' U2 F2 R
D F' L' F' R' B R2
L2 F' R U L U2 L2
L2 F' R U' L' D2 R2
L2 F' R B2 U' L' R'
L2 F' R B2 U' R' L'
B' D' L' F R B2 U2
B' D' L' F B2 R U2
B' D' L' B2 F R U2
B2 D' L' F R B2 U2
B2 D' L' F B2 R U2
B2 D' L' B2 F R U2
B D' L' F R B2 U2
B D' L' F B2 R U2
B D' L' B2 F R U2
L2 F' B2 R U' L' R2
L2 F' B2 R U' R2 L'
U' F2 L2 U' R B L
D F2 R U2 F' R U2
B' D' B2 L' F R U2
L2 F2 U L F U2 L'
B2 D' B2 L' F R U2
B D' B2 L' F R U2
D F2 D2 L R B' L
D F2 D2 L B' L R
D F2 D2 L B' R L
D F2 D2 R L B' L
D F2 D2 R B' L B'
D F2 D2 B' L R B'
D F2 D2 B' L B' R
D F2 D2 B' R L B'
D' B L' F B R U2
D' B L' B F R U2
D' B2 L' R F R U2
D' B2 L' R' F R U2
D' B2 L' R2 F R U2
D' B2 L' D F R U2
D' B2 L' D' F R U2
D' B2 L' D2 F R U2
D' B2 L' F R U2 D
D' B2 L' F R U2 D'
D' B2 L' F R U2 D2
D' B2 L' F R D U2
D' B2 L' F R D' U2
D' B2 L' F R D2 U2
D' B2 L' F D R U2
D' B2 L' F D' R U2
D' B2 L' F D2 R U2
D' B2 R L' F R U2
D' B2 R' L' F R U2
D' B2 R2 L' F R U2
L2 B2 F' R U' L' R2
L2 B2 F' R U' R2 L'
