R U F R2 U B
U' R U2 R2 F U
U' R U2 F R2 U
U' R D2 L2 B' U'
U R' D F U B2
U R' D2 F L2 U
U R' F U D B2
U R' F U2 R2 U'
U R' F D U B2
U R' F D2 L2 U
R U2 R2 F U R2
R U2 F R2 U R2
F2 U L' F' R' U
R' F U2 R2 U' R2
U F D R' U B
U F2 L' F' R' U
L2 R D2 B' L2 U' R2
L2 R B' D2 L2 U' R2
U L F2 L' R' F U
U L F2 L' F R' U
U L F2 R' L' F U
U' L B2 L R B' U'
U' L B2 L B' R U'
U' L B2 R L B' U'
L2 R' D2 L2 F U R2
F2 L' F' R' U' L U2
F2 L' F' R' B2 U R'
R' L2 D2 L2 F U R2
U' L2 R D' B' U' F2
U' L2 R D2 B' L2 U'
U' L2 R B' U' D' F2
U' L2 R B' U2 R2 U
U' L2 R B' D' U' F2
U' L2 R B' D2 L2 U'
R L2 D2 B' L2 U' R2
U L2 R' U2 R2 B' U'
U L2 R' U2 B' R2 U'
U L2 R' D2 L2 F U
R L2 B' D2 L2 U' R2
R2 U R D F U B2
R2 U R D2 F L2 U
R2 U R F U D B2
R2 U R F U2 R2 U'
R2 U R F D U B2
R2 U R F D2 L2 U
U' L2 B' D' R U' F'
R U R2 F U' F' U2
R' U D F U F' B2
R' U D F U B2 F'
U' L2 B2 L B R U'
R' U D2 F L2 U F'
R' U F U D F' B2
R' U F U D B2 F'
R' U F U F' D B2
R' U F D U F' B2
R' U F D U B2 F'
R' U F D2 L2 U F'
R U F L R2 U B
R U F L' R2 U B
R U F L2 R2 U B
U' R L2 D' B' U' F2
R U F R2 L U B
R U F R2 L' U B
R U F R2 L2 U B
U' R L2 D2 B' L2 U'
R U F R2 U D B
R U F R2 U D' B
R U F R2 U D2 B
R U F R2 U B D
R U F R2 U B D'
R U F R2 U B D2
R U F R2 D U B
R U F R2 D' U B
R U F R2 D2 U B
U' R L2 B' U' D' F2
U' R L2 B' U2 R2 U
U' R L2 B' D' U' F2
U' R L2 B' D2 L2 U'
D2 R U F R2 U B
D' R U F R2 U B
D R U F R2 U B
U' R U' F' D' L2 F2
U' R U' F' D' F2 L2
D2 R U2 R2 F U R2
D' R U2 R2 F U R2
U' R U2 R' F R' U
U' R U2 R2 D F U
U' R U2 R2 D' F U
U' R U2 R2 D2 F U
U' R U2 R2 F U D
U' R U2 R2 F U D'
U' R U2 R2 F U D2
U' R U2 R2 F D U
U' R U2 R2 F D' U
U' R U2 R2 F D2 U
D2 R U2 F R2 U R2
U' R U2 D' F U F
D' R U2 F R2 U R2
U' R U2 F R2 U D
U' R U2 F R2 U D'
U' R U2 F R2 U D2
U' R U2 F R2 D U
U' R U2 F R2 D' U
U' R U2 F R2 D2 U
U' R U2 F U D' F2
U' R U2 F D' U F2
U' R U2 F' R2 F2 U
D R U2 R2 F U R2
U2 R U2 F R2 U R
D R U2 F R2 U R2
B R U2 F R U R'
U R U2 F R2 B U
U' R D' L2 B' U' F2
U' R D' U2 F U F
U' R D2 L2 D B' U'
U' R D2 L2 D' B' U'
U' R D2 L2 D2 B' U'
U' R D2 L2 B' U' D
U' R D2 L2 B' U' D'
U' R D2 L2 B' U' D2
U' R D2 L2 B' D U'
U' R D2 L2 B' D' U'
U' R D2 L2 B' D2 U'
U' R D2 B L2 B' U'
U' R D2 B' L2 B' U'
U' R D2 B2 L2 B' U'
U R F R2 U D B2
U R F R2 U2 R2 U'
U R F R2 D U B2
U R F R2 D2 L2 U
R' U' L2 B' R2 U' F'
R2 U' R' U2 R2 F U
R2 U' R' U2 F R2 U
R2 U' R' D2 L2 B' U'
U' R B U2 R2 F U
U' R B U2 F R2 U
R' U' R2 U2 F U F'
U' R B D2 L2 B' U'
U' R B' U2 R2 F U
U' R B' U2 F R2 U
U' R B' D2 L2 B' U'
U' R B2 U2 R2 F U
U' R B2 U2 F R2 U
U' R B2 D2 L2 B' U'
R U' D2 L2 B' U' B
R U' F R2 B U B'
U R' L2 U2 R2 B' U'
U R' L2 U2 B' R2 U'
U R' L2 D2 L2 F U
U R' U2 R2 U2 F U
F R' U2 F' R U' R'
U R' D F L U B2
U R' D F L' U B2
U R' D F L2 U B2
U R' D F U B2 D
U R' D F U B2 D'
U R' D F U B2 D2
U R' D F D L2 U
U R' D' F L2 U B'
U R' D' F U' F U2
U R' D2 L2 U2 B' U'
D2 R' F U2 R2 U' R2
D' R' F U2 R2 U' R2
U R' D2 F L2 U D
U R' D2 F L2 U D'
U R' D2 F L2 U D2
U R' D2 F L2 D U
U R' D2 F L2 D' U
U R' D2 F L2 D2 U
U R' D2 F U D' B2
U R' D2 F D' U B2
U R' D2 F' L2 F2 U
U' R' F U2 F' R2 U'
U R' D2 F2 L2 F' U
U R' F L U D B2
U R' F L U2 R2 U'
U R' F L D U B2
U R' F L D2 L2 U
U R' F L' U D B2
U R' F L' U2 R2 U'
U R' F L' D U B2
U R' F L' D2 L2 U
U R' F L2 U D B2
U R' F L2 U2 R2 U'
U R' F L2 D U B2
U R' F L2 D2 L2 U
D R' F U2 R2 U' R2
U R' F U D B2 D
U R' F U D B2 D'
U R' F U D B2 D2
U R' F U B D B2
U R' F U B' D B2
U R' F U B2 D B2
U R' F U' D' F2 U2
U R' F U2 R2 U' D
U R' F U2 R2 U' D'
U R' F U2 R2 U' D2
U R' F U2 R2 D U'
U R' F U2 R2 D' U'
U R' F U2 R2 D2 U'
U R' F D L U B2
U R' F D L' U B2
U R' F D L2 U B2
U R' F D U B2 D
U R' F D U B2 D'
U R' F D U B2 D2
U R' F D' U' F2 U2
U R' F D2 L2 U D
U R' F D2 L2 U D'
U R' F D2 L2 U D2
U R' F D2 L2 D U
U R' F D2 L2 D' U
U R' F D2 L2 D2 U
U R' F2 U2 R2 B U'
R' U2 R2 U2 F U R2
U R' F2 D F' U B2
U R' F2 D2 L2 F' U
U R' F2 D2 F' L2 U
R U2 R2 D F B2 U
R U2 R2 D B2 F U
R U2 R2 F U R2 D
R U2 R2 F U R2 D'
R U2 R2 F U R2 D2
R U2 R2 F D B2 U
R U2 R2 F B U R2
R U2 R2 F B' U R2
R U2 R2 F B2 U R2
R U2 R2 B F U R2
R U2 R2 B' F U R2
R U2 R2 B2 F U R2
R U2 F R2 U R2 D
R U2 F R2 U R2 D'
R U2 F R2 U R2 D2
R U2 F R2 D B2 U
R U2 F R2 B U R2
R U2 F R2 B' U R2
R U2 F R2 B2 U R2
R U2 F B R2 U R2
R U2 F B' R2 U R2
R U2 F B2 R2 U R2
R' U2 F2 R2 B U' R2
R U2 F' R2 F2 U R2
R U2 B R2 F U R2
R U2 B F R2 U R2
R U2 B' R2 F U R2
R U2 B' F R2 U R2
R U2 B2 R2 F U R2
R U2 B2 F R2 U R2
R' D U F U F' B2
R' D U F U B2 F'
R' D F L' U B2 R'
F2 U L F' L2 R' U
F2 U L F' R' L2 U
F' U L' R' F2 U B'
R' D F U B2 D' R2
F2 U L' D F' R' U
F' U L' F2 R' U B'
F2 U L' D' F' R' U
