B' L R' D L2 F2
B' L R' D F2 L2
B' L D L2 R' F2
B' L D L2 F2 R'
B' L D R' L2 F2
B' L D R' F2 L2
B' L D F2 L2 R'
B' L D F2 R' L2
B L' U L2 U2 B2
B L' U' B2 D2 R2
B' L' B2 U' B2 R'
B' R' L D L2 F2
B' R' L D F2 L2
B' R' U L' B2 U'
B' R' U B2 L' U'
L' B U L U2 B'
B F U' B2 R' F'
F B U' B2 R' F'
B' L R' U L2 B2 U'
B' L R' U B2 L2 U'
B' L R' D L F2 L
B' L R' D L2 F2 D
B' L R' D L2 F2 D'
B' L R' D L2 F2 D2
B' L R' D F' L2 F'
B' L R' D F2 L2 D
B' L R' D F2 L2 D'
B' L R' D F2 L2 D2
B' L R' F D L2 F2
B' L R' F D F2 L2
B' L R' F' D L2 F2
B' L R' F' D F2 L2
B' L R' F2 D L2 F2
B' L R' F2 D F2 L2
B' L R2 D L2 R F2
B' L R2 D R L2 F2
B' L R2 D R F2 L2
B L U' L2 U' L2 B2
B L U' L2 U' B2 L2
B' L D L R' F2 L
B' L D L F2 L R'
B' L D L F2 R' L
B' L D L2 R F2 R2
B' L D L2 R' F2 D
B' L D L2 R' F2 D'
B' L D L2 R' F2 D2
B' L D L2 F R' F
B' L D L2 F2 R' D
B' L D L2 F2 R' D'
B' L D L2 F2 R' D2
B' L D L2 F2 D R'
B' L D L2 F2 D' R'
B' L D L2 F2 D2 R'
B' L D R L2 F2 R2
B' L D R F2 L2 R2
B' L D R F2 R2 L2
B' L D R' L F2 L
B' L D R' L2 F2 D
B' L D R' L2 F2 D'
B' L D R' L2 F2 D2
B' L D R' F' L2 F'
B' L D R' F2 L2 D
B' L D R' F2 L2 D'
B' L D R' F2 L2 D2
B' L D F R' F L2
B' L D F' L2 F' R'
B' L D F2 L2 R' D
B' L D F2 L2 R' D'
B' L D F2 L2 R' D2
B' L D F2 L2 D R'
B' L D F2 L2 D' R'
B' L D F2 L2 D2 R'
B' L D F2 R' L2 D
B' L D F2 R' L2 D'
B' L D F2 R' L2 D2
B' L F R' D L2 F2
B' L F R' D F2 L2
B' L F D L2 R' F2
B' L F D L2 F2 R'
B' L F D R' L2 F2
B' L F D R' F2 L2
B' L F D F2 L2 R'
B' L F D F2 R' L2
B' L F' R' D L2 F2
B' L F' R' D F2 L2
B' L F' D L2 R' F2
B' L F' D L2 F2 R'
B' L F' D R' L2 F2
B' L F' D R' F2 L2
B' L F' D F2 L2 R'
B' L F' D F2 R' L2
B' L F2 R' D L2 F2
B' L F2 R' D F2 L2
B' L F2 D L2 R' F2
B' L F2 D L2 F2 R'
B' L F2 D R' L2 F2
B' L F2 D R' F2 L2
B' L F2 D F2 L2 R'
B' L F2 D F2 R' L2
B L' R U L2 U2 B2
B L' R U' B2 D2 R2
B' L' R B2 U' R2 B2
B' L' R B2 U' B2 R2
B' L' R' D L2 D F2
B L' R' U L2 U2 B2
B L' R' U' B2 D2 R2
B L' R2 U L2 U2 B2
B L' R2 U' B2 D2 R2
B' L' R2 B2 U' R B2
B' L' R2 B2 U' B2 R
B L' U L U2 B2 R'
B L' U L2 U2 B2 D
B L' U L2 U2 B2 D'
B L' U L2 U2 B2 D2
B L' U L2 D2 F2 U2
B L' U L2 F U2 B2
B L' U L2 F' U2 B2
B L' U L2 F2 U2 B2
B L' U D2 F2 U2 R2
B L' U F L2 U2 B2
B L' U F' L2 U2 B2
B L' U F2 L2 U2 B2
B L' U' L B2 L' R'
B L' U' L B2 R' L'
B L' U' R B2 D2 R2
B L' U' R' B2 D2 R2
B L' U' R2 B2 D2 R2
B L' U' D2 R2 D2 B2
B L' U' B D2 B R2
B L' U' B' D2 R2 B'
B L' U' B' D2 B' R2
B L' U' B2 R D2 R2
B L' U' B2 R' D2 R2
B L' U' B2 R2 D2 R2
B L' U' B2 U2 L2 U2
B L' U' B2 D2 R2 D
B L' U' B2 D2 R2 D'
B L' U' B2 D2 R2 D2
B L' U2 L U B2 R'
B' L' D L2 R' D F2
B' L' D L2 D R' F2
B' L' D L2 D F2 R'
B' L' D R' L2 D F2
B L' D F2 U' D' B2
B L' D F2 U2 L2 U
B L' D F2 D' U' B2
B L' D F2 D2 R2 U'
