F L' U F R
F L' R B U F
F L' U R F R
F L' U R' F R
F L' U R2 F R
F L' U D F R
F L' U D' F R
F L' U D2 F R
F L' U F R D
F L' U F R D'
F L' U F R D2
F L' U F D R
F L' U F D' R
F L' U F D2 R
F L' D U F R
F L' D' U F R
F L' D2 U F R
F L' B U F R
F L' B' U F R
F L' B2 U F R
F R L' B U F
F R B L' U F
U2 F L' B' U F
U F L' U R F
R F L' B U F
R F B L' U F
B' F L' U F R
B2 F L' U F R
B F L' U F R
F B L' U F R
R B F L' U F
F B' L' U F R
F B2 L' U F R
F L' R D B U F
F L' R D' B U F
F L' R D2 B U F
F L' R B R U F
F L' R B R' U F
F L' R B R2 U F
F L' R B U D F
F L' R B U D' F
F L' R B U D2 F
F L' R B U F D
F L' R B U F D'
F L' R B U F D2
F L' R B D U F
F L' R B D' U F
F L' R B D2 U F
F L' R' U F D R2
F L' R' U2 F' U' F2
F L' U R D F R
F L' U R D' F R
F L' U R D2 F R
F L' U R F R D
F L' U R F R D'
F L' U R F R D2
F L' U R F D R
F L' U R F D' R
F L' U R F D2 R
F L' U R' D F R
F L' U R' D' F R
F L' U R' D2 F R
F L' U R' F R D
F L' U R' F R D'
F L' U R' F R D2
F L' U R' F D R
F L' U R' F D' R
F L' U R' F D2 R
F L' U R2 D F R
F L' U R2 D' F R
F L' U R2 D2 F R
F L' U R2 F R D
F L' U R2 F R D'
F L' U R2 F R D2
F L' U R2 F D R
F L' U R2 F D' R
F L' U R2 F D2 R
F L' U D R F R
F L' U D R' F R
F L' U D R2 F R
F L' U D F R D
F L' U D F R D'
F L' U D F R D2
F L' U D F D R
F L' U D F D' R
F L' U D F D2 R
F L' U D' R F R
F L' U D' R' F R
F L' U D' R2 F R
F L' U D' F R D
F L' U D' F R D'
F L' U D' F R D2
F L' U D' F D R
F L' U D' F D' R
F L' U D' F D2 R
F L' U D2 R F R
F L' U D2 R' F R
F L' U D2 R2 F R
F L' U D2 F R D
F L' U D2 F R D'
F L' U D2 F R D2
F L' U D2 F D R
F L' U D2 F D' R
F L' U D2 F D2 R
F L' U F R2 D R'
F L' U F R2 D' R'
F L' U F R2 D2 R'
F L' U F D R D
F L' U F D R D'
F L' U F D R D2
F L' U F D' R D
F L' U F D' R D'
F L' U F D' R D2
F L' U F D2 R D
F L' U F D2 R D'
F L' U F D2 R D2
F L' U F B R B'
F L' U F B2 R B2
F L' U F' R F2 R
F L' U F' R' F2 R
F L' U F' R2 F2 R
F L' U B F R B'
F L' U B2 F R B2
F L' U' L2 B' U2 R'
F L' U' B' U2 R' F
F L' U' B' U2 F R'
F L' D R B U F
F L' D U R F R
F L' D U R' F R
F L' D U R2 F R
F L' D U F R D
F L' D U F R D'
F L' D U F R D2
F L' D U F D R
F L' D U F D' R
F L' D U F D2 R
F L' D B U F R
F L' D B' U F R
F L' D B2 U F R
F L' D' R B U F
F L' D' U R F R
F L' D' U R' F R
F L' D' U R2 F R
F L' D' U F R D
F L' D' U F R D'
F L' D' U F R D2
F L' D' U F D R
F L' D' U F D' R
F L' D' U F D2 R
F L' D' B U F R
F L' D' B' U F R
F L' D' B2 U F R
F L' D2 R B U F
F L' D2 U R F R
F L' D2 U R' F R
F L' D2 U R2 F R
F L' D2 U F R D
F L' D2 U F R D'
F L' D2 U F R D2
F L' D2 U F D R
F L' D2 U F D' R
F L' D2 U F D2 R
F L' D2 B U F R
F L' D2 B' U F R
F L' D2 B2 U F R
F L' B R B U F
F L' B U R F R
F L' B U R' F R
F L' B U R2 F R
F L' B U D F R
F L' B U D' F R
F L' B U D2 F R
F L' B U F R D
F L' B U F R D'
F L' B U F R D2
F L' B U F D R
F L' B U F D' R
F L' B U F D2 R
F L' B D U F R
F L' B D' U F R
F L' B D2 U F R
F L' B' R B U F
F L' B' U R F R
F L' B' U R' F R
F L' B' U R2 F R
F L' B' U D F R
F L' B' U D' F R
F L' B' U D2 F R
F L' B' U F R D
F L' B' U F R D'
F L' B' U F R D2
F L' B' U F D R
F L' B' U F D' R
F L' B' U F D2 R
F L' B' D U F R
F L' B' D' U F R
F L' B' D2 U F R
F L' B2 R B U F
F L' B2 U R F R
F L' B2 U R' F R
F L' B2 U R2 F R
F L' B2 U D F R
F L' B2 U D' F R
F L' B2 U D2 F R
F L' B2 U F R D
F L' B2 U F R D'
F L' B2 U F R D2
F L' B2 U F D R
F L' B2 U F D' R
F L' B2 U F D2 R
F L' B2 D U F R
F L' B2 D' U F R
F L' B2 D2 U F R
F L2 D L U F R
F L2 D' L U F R
F L2 D2 L U F R
F R L' D B U F
F R L' D' B U F
F R L' D2 B U F
R U F L' B U F
F R L' B R U F
F R L' B R' U F
F R L' B R2 U F
F R L' B U D F
F R L' B U D' F
F R L' B U D2 F
F R L' B U F D
F R L' B U F D'
F R L' B U F D2
F R L' B D U F
F R L' B D' U F
F R L' B D2 U F
R U F B L' U F
R U B F L' U F
F R D' L' B R' U
F R D' B L' R' U
F R D' B R' L' U
B' R F L' B U F
B2 R F L' B U F
U2 R F L' B' U F
B R F L' B U F
B' R F B L' U F
U R F L' U R F
B2 R F B L' U F
B R F B L' U F
F R B L' R U F
F R B L' R' U F
F R B L' R2 U F
B' R B F L' U F
F R B L' U D F
F R B L' U D' F
F R B L' U D2 F
F R B L' U F D
F R B L' U F D'
F R B L' U F D2
F R B L' D U F
F R B L' D' U F
F R B L' D2 U F
F R B R L' U F
F R B R' L' U F
B2 R B F L' U F
F R B R2 L' U F
B R B F L' U F
F R B' L' B2 U F
F R' L' U F D R2
F R' L' U2 F' U' F2
R U' F L' B U F
R U' F B L' U F
R U' B F L' U F
U2 R' F L' B' U F
U R' F L' U R F
R U2 F L' B U F
R U2 F B L' U F
R U2 B F L' U F
U2 R2 F L' B' U F
U R2 F L' U R F
B' U F L' U R F
B2 U F L' U R F
B U F L' U R F
R' F L' U D R2 F
R' F L' U D F R2
R' F L' U2 F2 U' F'
R' F L' D U R2 F
R' F L' D U F R2
R' F L' D2 B2 U F
B' U2 F L' B' U F
U' F L' B' U R' F
U' F L' B' U F R'
U2 F L' R B' U F
U2 F L' R' B' U F
U2 F L' R2 B' U F
B2 U2 F L' B' U F
R2 F L' R' B U F
U2 F L' D B' U F
R2 F L' R2 U F R
U2 F L' D' B' U F
U2 F L' D2 B' U F
U2 F L' B' R U F
U2 F L' B' R' U F
U2 F L' B' R2 U F
U2 F L' B' U D F
U2 F L' B' U D' F
U2 F L' B' U D2 F
U2 F L' B' U F D
U2 F L' B' U F D'
U2 F L' B' U F D2
U2 F L' B' D U F
U2 F L' B' D' U F
U2 F L' B' D2 U F
U F L' R' U R2 F
U F L' R' U F R2
U F L' R2 U R' F
U F L' R2 U F R'
U F L' U R D F
U F L' U R D' F
U F L' U R D2 F
U F L' U R F D
U F L' U R F D'
U F L' U R F D2
U F L' U R' F R2
U F L' U R2 F R'
U F L' U D R F
U F L' U D' R F
U F L' U D2 R F
B U2 F L' B' U F
R F L' R' U F R
U F L' D U R F
U F L' D' U R F
U F L' D2 U R F
R F L' D B U F
R F L' D' B U F
U F L' B U R F
R F L' D2 B U F
U F L' B' U R F
U F L' B2 U R F
R F L' B R U F
R F L' B R' U F
R F L' B R2 U F
R F L' B U D F
R F L' B U D' F
R F L' B U D2 F
R F L' B U F D
R F L' B U F D'
R F L' B U F D2
R F L' B D U F
U2 F R L' B' U F
R F L' B D' U F
R F L' B D2 U F
F' U2 F2 L' B' U F
U2 F R' L' B' U F
R2 F R' L' B U F
U F R' L' U R2 F
U F R' L' U F R2
U2 F R2 L' B' U F
R2 F R' B L' U F
R F R' L' U F R
R2 F R2 L' U F R
U F R2 L' U R' F
U F R2 L' U F R'
R F D' L' B R' U
U' F B' L' U R' F
U' F B' L' U F R'
R F D' B L' R' U
U2 F B L' B' U F
U F D2 L' U R F'
R F D' B R' L' U
U2 F B' L' B' U F
U F B L' U R F
R F B L' R U F
R F B L' R' U F
R F B L' R2 U F
R F B L' U D F
R F B L' U D' F
R F B L' U D2 F
R F B L' U F D
R F B L' U F D'
R F B L' U F D2
R F B L' D U F
R F B L' D' U F
R F B L' D2 U F
R F B R L' U F
R F B R' L' U F
R F B R2 L' U F
U2 F B2 L' B' U F
U F B' L' U R F
R F B' L' B2 U F
U F B2 L' U R F
F2 D F' L' R B U
F2 D F' R L' B U
F2 D F' R B L' U
R' F' U2 F2 L' U F
F D' L' R B R' U
R' F' D2 R B2 U' F'
R' F' D2 B2 R U' F'
F D' R L' B R' U
F D' R B L' R' U
F D' R B R' L' U
F D2 L' R B U F'
F D2 L' U F R F'
F D2 R L' B U F'
F D2 R B L' U F'
R B R F L' U F
R B R' F L' U F
R B R2 F L' U F
B' F L' R B U F
B' F L' U R F R
B' F L' U R' F R
B' F L' U R2 F R
B' F L' U D F R
B' F L' U D' F R
B' F L' U D2 F R
B' F L' U F R D
B' F L' U F R D'
B' F L' U F R D2
B' F L' U F D R
B' F L' U F D' R
B' F L' U F D2 R
B' F L' D U F R
B' F L' D' U F R
B' F L' D2 U F R
B2 F L' R B U F
B2 F L' U R F R
B2 F L' U R' F R
B2 F L' U R2 F R
B2 F L' U D F R
B2 F L' U D' F R
B2 F L' U D2 F R
B2 F L' U F R D
B2 F L' U F R D'
B2 F L' U F R D2
B2 F L' U F D R
B2 F L' U F D' R
B2 F L' U F D2 R
B' F L' B U F R
B' F L' B' U F R
B' F L' B2 U F R
B2 F L' D U F R
B2 F L' D' U F R
B2 F L' D2 U F R
B2 F L' B U F R
B2 F L' B' U F R
B2 F L' B2 U F R
B F L' R B U F
B F L' U R F R
B F L' U R' F R
B F L' U R2 F R
B F L' U D F R
B F L' U D' F R
B F L' U D2 F R
B F L' U F R D
B F L' U F R D'
B F L' U F R D2
B F L' U F D R
B F L' U F D' R
B F L' U F D2 R
B F L' D U F R
B F L' D' U F R
B F L' D2 U F R
F B L' R B U F
B' F R L' B U F
F B L' U R F R
F B L' U R' F R
F B L' U R2 F R
F B L' U D F R
F B L' U D' F R
F B L' U D2 F R
F B L' U F R D
F B L' U F R D'
F B L' U F R D2
F B L' U F D R
F B L' U F D' R
F B L' U F D2 R
B F L' B U F R
B F L' B' U F R
F B L' D U F R
B F L' B2 U F R
F B L' D' U F R
F B L' D2 U F R
B2 F R L' B U F
B' F R B L' U F
F B L' B U F R
F B L' B' U F R
F B L' B2 U F R
B2 F R B L' U F
B F R L' B U F
F B R L' B U F
B F R B L' U F
U2 B F L' B' U F
F B R B L' U F
U B F L' U R F
R B F L' R U F
R B F L' R' U F
R B F L' R2 U F
R B F L' U D F
R B F L' U D' F
R B F L' U D2 F
R B F L' U F D
R B F L' U F D'
R B F L' U F D2
R B F L' D U F
R B F L' D' U F
R B F L' D2 U F
R B F R L' U F
R B F R' L' U F
R B F R2 L' U F
F B' L' R B U F
F B' L' U R F R
F B' L' U R' F R
F B' L' U R2 F R
F B' L' U D F R
F B' L' U D' F R
F B' L' U D2 F R
F B' L' U F R D
F B' L' U F R D'
F B' L' U F R D2
F B' L' U F D R
F B' L' U F D' R
F B' L' U F D2 R
F B' L' D U F R
F B' L' D' U F R
F B' L' D2 U F R
F B' L' B U F R
F B' L' B' U F R
F B' L' B2 U F R
F B' R L' B U F
F B' R B L' U F
U' B' F L' U R' F
U' B' F L' U F R'
U2 B' F L' B' U F
U B' F L' U R F
R B' F L' B2 U F
F B2 L' R B U F
F B2 L' U R F R
F B2 L' U R' F R
F B2 L' U R2 F R
F B2 L' U D F R
F B2 L' U D' F R
F B2 L' U D2 F R
F B2 L' U F R D
F B2 L' U F R D'
F B2 L' U F R D2
F B2 L' U F D R
F B2 L' U F D' R
F B2 L' U F D2 R
F B2 L' D U F R
F B2 L' D' U F R
F B2 L' D2 U F R
F B2 L' B U F R
F B2 L' B' U F R
F B2 L' B2 U F R
F B2 R L' B U F
F B2 R B L' U F
U2 B2 F L' B' U F
U B2 F L' U R F
