L' R U2 F B U
L' R U2 B F U
R L' U2 F B U
F2 L' R F B U
R L' U2 B F U
F2 L' R B F U
F2 R L' F B U
F2 R L' B F U
F2 R B L' F U
U2 L R F B' L2 U'
U' L R B' L2 U' R'
U2 L R B' F L2 U'
L' R U2 D F B U
L' R U2 D B F U
L' R U2 D' F B U
L' R U2 D' B F U
L' R U2 D2 F B U
L' R U2 D2 B F U
L' R U2 F D B U
L' R U2 F D' B U
L' R U2 F D2 B U
L' R U2 F B U D
L' R U2 F B U D'
L' R U2 F B U D2
L' R U2 F B D U
L' R U2 F B D' U
L' R U2 F B D2 U
L' R U2 B D F U
L' R U2 B D' F U
L' R U2 B D2 F U
L' R U2 B F U D
L' R U2 B F U D'
L' R U2 B F U D2
L' R U2 B F D U
L' R U2 B F D' U
L' R U2 B F D2 U
L' R D U2 F B U
L' R D U2 B F U
L' R D' U2 F B U
L' R D' U2 B F U
L' R D2 U2 F B U
L' R D2 U2 B F U
R' L F' R2 B' L2 U'
L' R F' U2 F2 B U
L' R F' U2 B F2 U
R' L F' B' L2 R2 U'
R' L F' B' R2 L2 U'
L' R F2 U2 F' B U
L' R F2 U2 B F' U
R' L B' L2 F' R2 U'
L R B' L2 U' D' R2
L R B' L2 U2 B2 U
L R B' L2 D' U' R2
L R B' L2 D2 F2 U'
R L B' L2 U' D' R2
R L B' L2 U2 B2 U
R L B' L2 D' U' R2
R L B' L2 D2 F2 U'
L' R B' U2 F B2 U
L' R B' U2 B2 F U
R' L B' F' L2 R2 U'
R' L B' F' R2 L2 U'
L R B2 L2 F B U'
L R B2 L2 B F U'
R L B2 L2 F B U'
R L B2 L2 B F U'
L' R B2 U2 F B' U
L' R B2 U2 B' F U
U' L B' L2 R U' R2
U' L B' R L2 U' R2
U2 L B' R F L2 U'
R L' U2 D F B U
D2 L' R U2 F' B U
D2 L' R U2 B F' U
R L' U2 D B F U
R L' U2 D' F B U
R L' U2 D' B F U
R L' U2 D2 F B U
R L' U2 D2 B F U
U' L' R U2 F U R
B' L' R U2 F B U
B' L' R U2 B F U
R L' U2 F D B U
R L' U2 F D' B U
R L' U2 F D2 B U
R L' U2 F B U D
R L' U2 F B U D'
R L' U2 F B U D2
R L' U2 F B D U
R L' U2 F B D' U
R L' U2 F B D2 U
U2 L' R U2 F B' U
F2 L' R D F B U
U2 L' R U2 B' F U
F2 L' R D B F U
B2 L' R U2 F B U
B2 L' R U2 B F U
F2 L' R D' F B U
F2 L' R D' B F U
B L' R U2 F B U
B L' R U2 B F U
F2 L' R D2 F B U
F2 L' R D2 B F U
R L' U2 B D F U
R L' U2 B D' F U
R L' U2 B D2 F U
R L' U2 B F U D
R L' U2 B F U D'
R L' U2 B F U D2
R L' U2 B F D U
R L' U2 B F D' U
R L' U2 B F D2 U
F2 L' R F D B U
F2 L' R F D' B U
