B L R' U' R'
B R' L U' R'
B L R' U' R' D
B L R' U' R' D'
B L R' U' R' D2
B L R' U' R' D2
B L R' U' D R'
B L R' U' D' R'
B L R' U' D2 R'
B L R' D U' R'
B L R' D' U' R'
B L R' D2 U' R'
B L R' F U' R'
B L R' F' U' R'
B L R' F2 U' R'
B L D' R' F2 U'
B L D' F2 R' U'
B L F R' U' R'
B L F' R' U' R'
B L F2 R' U' R'
B R' L U' R' D
B R' L U' R' D'
B R' L U' R' D2
B R' L U' D R'
B R' L U' D' R'
B R' L U' D2 R'
B R' L D U' R'
B R' L D' U' R'
B R' L D2 U' R'
B R' L F U' R'
B R' L F' U' R'
B R' L F2 U' R'
B R' D L U' R'
B R' D' L U' R'
B R' D2 L U' R'
B R' F L U' R'
B R' F' L U' R'
B R' F2 L U' R'
B D' L R' F2 U'
B D' L F2 R' U'
B D' R' L F2 U'
B D' R' F2 L U'
B D' F2 L R' U'
B D' F2 R' L U'
L' B L R' U' R'
L2 B L R' U' R'
L B L R' U' R'
L' B R' L U' R'
L2 B R' L U' R'
U2 B R' U' R' F'
L B R' L U' R'
F' B L R' U' R'
U B R' U' F' R'
F2 B L R' U' R'
B F L R' U' R'
F B L R' U' R'
F' B R' L U' R'
F2 B R' L U' R'
B F R' L U' R'
F B R' L U' R'
B F' L R' U' R'
B F' R' L U' R'
B F2 L R' U' R'
B F2 R' L U' R'
B L R U' D R B2
B L R U' D B2 R
B L R D U' R B2
B L R D U' B2 R
B' L R' U R' D L2
B' L R' U D L2 R'
B' L R' U D R' L2
B L R' U L U2 R'
B L R' U L' U2 R'
B L R' U L2 U2 R'
B' L R' D U L2 R'
B' L R' D U R' L2
B L R' U' R2 D R
B L R' U' R2 D' R
B L R' U' R2 D2 R
B L R' U' D R' D
B L R' U' D R' D'
B L R' U' D R' D2
B L R' U' D' R' D
B L R' U' D' R' D'
B L R' U' D' R' D2
B L R' U' D2 R' D
B L R' U' D2 R' D'
B L R' U' D2 R' D2
B L R' U' F' R' F
B L R' U' F2 R' F2
B' L R' D2 F2 U R'
B L R' D U' R' D
B L R' D U' R' D'
B L R' D U' R' D2
B L R' D F U' R'
B L R' D F' U' R'
B L R' D F2 U' R'
B L R' D' U' R' D
B L R' D' U' R' D'
B L R' D' U' R' D2
B L R' D' F U' R'
B L R' D' F' U' R'
B L R' D' F2 U' R'
B L R' D2 U' R' D
B L R' D2 U' R' D'
B L R' D2 U' R' D2
B L R' D2 F U' R'
B L R' D2 F' U' R'
B L R' D2 F2 U' R'
B L R' F U' R' D
B L R' F U' R' D'
B L R' F U' R' D2
B L R' F U' D R'
B L R' F U' D' R'
B L R' F U' D2 R'
B L R' F D U' R'
B L R' F D' U' R'
B L R' F D2 U' R'
B L R' F' U' R' D
B L R' F' U' R' D'
B L R' F' U' R' D2
B L R' F' U' D R'
B L R' F' U' D' R'
B L R' F' U' D2 R'
B L R' F' D U' R'
B L R' F' D' U' R'
B L R' F' D2 U' R'
B L R' F2 U' R' D
B L R' F2 U' R' D'
B L R' F2 U' R' D2
B L R' F2 U' D R'
B L R' F2 U' D' R'
B L R' F2 U' D2 R'
B L R' F2 D U' R'
B L R' F2 D' U' R'
B L R' F2 D2 U' R'
B L R2 D R U' R'
B L R2 D' R U' R'
B L R2 D2 R U' R'
B L U' R D R B2
B L U' R D B2 R
B L U' R2 U R U'
B L U2 D B2 L U
B' L U2 B2 L U' R2
B L U2 B2 L U R2
B' L D R' B2 U L2
B L D R' U' D' R2
B L D R' U2 B2 U
B L D R' D' U' R2
B L D R' D2 F2 U'
B L D U2 B2 L U
B L D' R F2 R2 U'
B L D' R' U' D R2
B L D' R' D U' R2
B L D' R' F2 U' D
B L D' R' F2 U' D'
B L D' R' F2 U' D2
B L D' R' F2 D U'
B L D' R' F2 D' U'
B L D' R' F2 D2 U'
B L D' F R' F U'
B L D' F2 R' U' D
B L D' F2 R' U' D'
B L D' F2 R' U' D2
B L D' F2 R' D U'
B L D' F2 R' D' U'
B L D' F2 R' D2 U'
B L D' F2 D R' U'
B L D' F2 D' R' U'
B L D' F2 D2 R' U'
B L D2 R' U L2 U2
B L D2 R' U' D2 R2
B L D2 R' D F2 U'
B L D2 R' D2 U' R2
B L F R' U' R' D
B L F R' U' R' D'
B L F R' U' R' D2
B L F R' U' D R'
B L F R' U' D' R'
B L F R' U' D2 R'
B L F R' D U' R'
B L F R' D' U' R'
B L F R' D2 U' R'
B L F R' F U' R'
B L F R' F' U' R'
B L F R' F2 U' R'
B L F D' R' F2 U'
B L F D' F2 R' U'
B L F' R' U' R' D
B L F' R' U' R' D'
B L F' R' U' R' D2
B L F' R' U' D R'
B L F' R' U' D' R'
B L F' R' U' D2 R'
B L F' R' D U' R'
B L F' R' D' U' R'
B L F' R' D2 U' R'
B L F' R' F U' R'
B L F' R' F' U' R'
B L F' R' F2 U' R'
B L F' D' R' F2 U'
B L F' D' F2 R' U'
B L F2 R' U' R' D
B L F2 R' U' R' D'
B L F2 R' U' R' D2
B L F2 R' U' D R'
B L F2 R' U' D' R'
B L F2 R' U' D2 R'
B L F2 R' D U' R'
B L F2 R' D' U' R'
B L F2 R' D2 U' R'
B L F2 R' F U' R'
B L F2 R' F' U' R'
B L F2 R' F2 U' R'
B L F2 D' R' F2 U'
B L F2 D' F2 R' U'
F' L B L R' U' R'
F2 L B L R' U' R'
F L B L R' U' R'
F' L B R' L U' R'
F2 L B R' L U' R'
U' L B R' U' R' F
U' L B R' U' F R'
U2 L B R' U' R' F'
F L B R' L U' R'
U L B R' U' F' R'
B L' R' U' R' D F2
B L' R' U' D R' F2
B L' R' U' D F2 R'
B L' R' D U' R' F2
B L' R' D U' F2 R'
B L' R' F L2 U' R'
B L' R' F' L2 U' R'
B L' R' F2 L2 U' R'
B L' F L2 R' U' R'
B L' F R' L2 U' R'
B L' F' L2 R' U' R'
B L' F' R' L2 U' R'
B L' F2 L2 R' U' R'
B L' F2 R' L2 U' R'
F' L' B L R' U' R'
F2 L' B L R' U' R'
F' L' B R' L U' R'
F2 L' B R' L U' R'
F L' B L R' U' R'
U2 L' B R' U' R' F'
F L' B R' L U' R'
U L' B R' U' F' R'
B L2 R' D L' U' R'
B L2 R' D' L' U' R'
B L2 R' D2 L' U' R'
B L2 R' F U' R' F'
B L2 D' L' R' F2 U'
B L2 D' L' F2 R' U'
B L2 D' R' L' F2 U'
B L2 F R' U' R' F'
F' L2 B L R' U' R'
F2 L2 B L R' U' R'
F' L2 B R' L U' R'
F2 L2 B R' L U' R'
U2 L2 B R' U' R' F'
F L2 B L R' U' R'
F L2 B R' L U' R'
U L2 B R' U' F' R'
R' U D' R' F' L' B
R' U D' R' F' B L'
R' U D' R' B F' L'
B R L U' D R B2
B R L U' D B2 R
B R L D U' R B2
B R L D U' B2 R
L' U B R' U' F' R'
L2 U B R' U' F' R'
L U B R' U' F' R'
B R D L U' R B2
B R D L U' B2 R
B2 R B' L R' U' R2
B2 R B' R' L U' R2
R' U' D' R' B L F
B' R' L U R' D L2
B' R' L U D L2 R'
B' R' L U D R' L2
B' R' L D U L2 R'
B' R' L D U R' L2
B' R' L D2 F2 U R'
B R' L U L U2 R'
B R' L U L' U2 R'
B R' L U L2 U2 R'
B R' L U' R2 D R
B R' L U' R2 D' R
B R' L U' R2 D2 R
B R' L U' D R' D
B R' L U' D R' D'
B R' L U' D R' D2
B R' L U' D' R' D
B R' L U' D' R' D'
B R' L U' D' R' D2
B R' L U' D2 R' D
B R' L U' D2 R' D'
B R' L U' D2 R' D2
B R' L U' F' R' F
B R' L U' F2 R' F2
B R' L D U' R' D
B R' L D U' R' D'
B R' L D U' R' D2
B R' L D F U' R'
B R' L D F' U' R'
B R' L D F2 U' R'
B R' L D' U' R' D
B R' L D' U' R' D'
B R' L D' U' R' D2
B R' L D' F U' R'
B R' L D' F' U' R'
B R' L D' F2 U' R'
B R' L D2 U' R' D
B R' L D2 U' R' D'
B R' L D2 U' R' D2
B R' L D2 F U' R'
B R' L D2 F' U' R'
B R' L D2 F2 U' R'
B R' L F U' R' D
B R' L F U' R' D'
B R' L F U' R' D2
B R' L F U' D R'
B R' L F U' D' R'
B R' L F U' D2 R'
B R' L F D U' R'
B R' L F D' U' R'
B R' L F D2 U' R'
B R' L F' U' R' D
B R' L F' U' R' D'
B R' L F' U' R' D2
B R' L F' U' D R'
B R' L F' U' D' R'
B R' L F' U' D2 R'
B R' L F' D U' R'
B R' L F' D' U' R'
B R' L F' D2 U' R'
B R' L F2 U' R' D
B R' L F2 U' R' D'
B R' L F2 U' R' D2
B R' L F2 U' D R'
B R' L F2 U' D' R'
B R' L F2 U' D2 R'
B R' L F2 D U' R'
B R' L F2 D' U' R'
B R' L F2 D2 U' R'
B R' L' U' R' D F2
B R' L' U' D R' F2
B R' L' U' D F2 R'
B R' L' D U' R' F2
B R' L' D U' F2 R'
B R' L' F L2 U' R'
B R' L' F' L2 U' R'
B R' L' F2 L2 U' R'
B R' L2 D L' U' R'
B R' L2 D' L' U' R'
B R' L2 D2 L' U' R'
B R' L2 F U' R' F'
B R' U' R' U L U'
B' R' D L U L R'
B' R' D L U R' L
B R' D L U' R' D
B R' D L U' R' D'
B R' D L U' R' D2
B R' D L U' D R'
B R' D L U' D' R'
B R' D L U' D2 R'
B R' D L D U' R'
B R' D L D' U' R'
B R' D L D2 U' R'
B R' D L F U' R'
B R' D L F' U' R'
B R' D L F2 U' R'
B R' D F L U' R'
B R' D F' L U' R'
B R' D F2 L U' R'
B R' D' L U' R' D
B R' D' L U' R' D'
B R' D' L U' R' D2
B R' D' L U' D R'
B R' D' L U' D' R'
B R' D' L U' D2 R'
B R' D' L D U' R'
B R' D' L D' U' R'
B R' D' L D2 U' R'
B R' D' L F U' R'
B R' D' L F' U' R'
B R' D' L F2 U' R'
B' R' D2 L F2 U R'
B R' D' F L U' R'
B R' D' F' L U' R'
B R' D' F2 L U' R'
B R' D2 L U' R' D
B R' D2 L U' R' D'
B R' D2 L U' R' D2
B R' D2 L U' D R'
B R' D2 L U' D' R'
B R' D2 L U' D2 R'
B R' D2 L D U' R'
B R' D2 L D' U' R'
B R' D2 L D2 U' R'
B R' D2 L F U' R'
B R' D2 L F' U' R'
B R' D2 L F2 U' R'
B' R' D2 F2 L U R'
B R' D2 F L U' R'
B R' D2 F' L U' R'
B R' D2 F2 L U' R'
B R' F L U' R' D
B R' F L U' R' D'
B R' F L U' R' D2
B R' F L U' D R'
B R' F L U' D' R'
B R' F L U' D2 R'
B R' F L D U' R'
B R' F L D' U' R'
B R' F L D2 U' R'
B R' F L F U' R'
B R' F L F' U' R'
B R' F L F2 U' R'
B R' F D L U' R'
B R' F D' L U' R'
B R' F D2 L U' R'
B R' F' L U' R' D
B R' F' L U' R' D'
B R' F' L U' R' D2
B R' F' L U' D R'
B R' F' L U' D' R'
B R' F' L U' D2 R'
B R' F' L D U' R'
B R' F' L D' U' R'
B R' F' L D2 U' R'
B R' F' L F U' R'
B R' F' L F' U' R'
B R' F' L F2 U' R'
B R' F' D L U' R'
B R' F' D' L U' R'
B R' F' D2 L U' R'
D' R' F2 U' B L F
B R' F2 L U' R' D
B R' F2 L U' R' D'
B R' F2 L U' R' D2
B R' F2 L U' D R'
B R' F2 L U' D' R'
B R' F2 L U' D2 R'
B R' F2 L D U' R'
B R' F2 L D' U' R'
B R' F2 L D2 U' R'
B R' F2 L F U' R'
B R' F2 L F' U' R'
B R' F2 L F2 U' R'
B R' F2 D L U' R'
B R' F2 D' L U' R'
B R' F2 D2 L U' R'
B R2 L D R U' R'
B R2 L D' R U' R'
B R2 L D2 R U' R'
L' U2 B R' U' R' F'
L2 U2 B R' U' R' F'
L U2 B R' U' R' F'
B R2 D L R U' R'
B R2 D R L U' R'
B R2 D' L R U' R'
B R2 D' R L U' R'
B R2 D2 L R U' R'
B R2 D2 R L U' R'
B2 R2 B' L R' U' R
B2 R2 B' R' L U' R
F' U B R' U' F' R'
F2 U B R' U' F' R'
R' D' U R' F' L' B
R' D' U R' F' B L'
R' D' U R' B F' L'
F U B R' U' F' R'
B' U B2 L R' U' R'
B' U B2 R' L U' R'
R' D' U' R' B L F
B U' L R' U' L' R'
B U' L R' U' R' L'
B U' R' L U' L' R'
B U' R' L U' R' L'
B U' R2 U L R U'
B U' R2 U R L U'
B' U' B2 L R' U' R'
B' U' B2 R' L U' R'
B U2 D B2 L R' U
B U2 D B2 R' L U
F' U2 B R' U' R' F'
F2 U2 B R' U' R' F'
F U2 B R' U' R' F'
B' U2 B2 L R' U' R'
B' U2 B2 R' L U' R'
B U2 B2 L R' U R'
B U2 B2 R' L U R'
B D L R' U' D' R2
B D L R' U2 B2 U
B D L R' D' U' R2
B D L R' D2 F2 U'
B D L U2 B2 L U
B D L D' R' U' R'
B D L D2 R' F2 U'
B D L D2 F2 R' U'
L' F B L R' U' R'
L' F B R' L U' R'
L2 F B L R' U' R'
B D R' L U' D' R2
B D R' L U2 B2 U
B D R' L D' U' R2
B D R' L D2 F2 U'
L2 F B R' L U' R'
B D R' U2 B2 R' U
B D R' D' L U' R2
B D R' D2 L F2 U'
B D R' D2 F2 L U'
L F B L R' U' R'
U F B R' U' F' R'
L F B R' L U' R'
U2 F' L' B R' U' R'
B D U2 B2 L R' U
B D U2 B2 R' L U
B D' L R F2 R2 U'
B D' L R' U' D R2
B D' L R' D U' R2
B D' L R' F2 U' D
B D' L R' F2 U' D'
B D' L R' F2 U' D2
B D' L R' F2 D U'
B D' L R' F2 D' U'
B D' L R' F2 D2 U'
B D' L D R' U' R'
B D' L F R' F U'
B D' L F2 R' U' D
B D' L F2 R' U' D'
B D' L F2 R' U' D2
B D' L F2 R' D U'
B D' L F2 R' D' U'
B D' L F2 R' D2 U'
B D' L F2 D R' U'
B D' L F2 D' R' U'
B D' L F2 D2 R' U'
