B L R' U L2 U
B L R' U2 D' B2
B L R' D F2 U2
B L R' D' U2 B2
B L U2 D' B2 L
B L D R' F2 U2
B L D F2 R' U2
B L D' R' U2 B2
B L D' U2 B2 L
B R' L U L2 U
B R' L U2 D' B2
B R' L D F2 U2
B R' L D' U2 B2
B L R' U L2 U D
B L R' U L2 U D'
B L R' U L2 U D2
B L R' U L2 D U
B L R' U L2 D' U
B L R' U L2 D2 U
B L R' U' D2 R2 U'
B' L R' D' B2 D' F2
B L R' U2 D' B2 D
B L R' U2 D' B2 D'
B L R' U2 D' B2 D2
B L R' U2 B D' B2
B L R' U2 B' D' B2
B L R' U2 B2 D' B2
B' L R' D2 F2 D B2
B L R' D F2 U2 D
B L R' D F2 U2 D'
B L R' D F2 U2 D2
B L R' D F2 D U2
B L R' D F2 D' U2
B L R' D F2 D2 U2
B L R' D' U2 B2 D
B L R' D' U2 B2 D'
B L R' D' U2 B2 D2
B L R' D' F U2 B2
B L R' D' F' U2 B2
B L R' D' F2 U2 B2
B L R' D2 U' R2 U'
B L R' F U L2 U
B L R' F U2 D' B2
B L R' F D F2 U2
B L R' F D' U2 B2
B L R' F' U L2 U
B L R' F' U2 D' B2
B L R' F' D F2 U2
B L R' F' D' U2 B2
B L R' F2 U L2 U
B L R' F2 U2 D' B2
B L R' F2 D F2 U2
B L R' F2 D' U2 B2
B L R2 D R F2 U2
B L R2 D F2 U2 L'
B L R2 D' R U2 B2
B L U L2 U' R' U2
B L U2 D' L B2 L
B L U2 D' L' B2 L
B L U2 D' L2 B2 L
B L U2 D' B2 L D
B L U2 D' B2 L D'
B L U2 D' B2 L D2
B L U2 D' B2 D L
B L U2 D' B2 D' L
B L U2 D' B2 D2 L
B L U2 B2 D' L B2
B L D R F2 R2 U2
B L D R' U2 D2 B2
B L D R' D2 U2 B2
B L D R' F2 U2 D
B L D R' F2 U2 D'
B L D R' F2 U2 D2
B L D R' F2 D U2
B L D R' F2 D' U2
