R' L' U2 F' B' U'
L' R' U2 F' B' U'
R' L' U2 B' F' U'
L' R' U2 B' F' U'
U2 L' R' F' B' U
U2 L' R' B' F' U
U2 R' L' F' B' U
U2 R' L' B' F' U
R' L F L2 U D R2
R' L F L2 U2 F2 U'
R' L F L2 D U R2
R' L F L2 D2 B2 U
L R F L2 B R2 U
R L F L2 B R2 U
L R F B L2 R2 U
L R F B R2 L2 U
R L F B L2 R2 U
R L F B R2 L2 U
R' L F2 L2 F' B' U
R' L F2 L2 B' F' U
L' R B R2 U D L2
L' R B R2 U2 B2 U'
L' R B R2 D U L2
L' R B R2 D2 F2 U
L R B R2 F L2 U
R L B R2 F L2 U
L R B F L2 R2 U
L R B F R2 L2 U
R L B F L2 R2 U
R L B F R2 L2 U
L' R B2 R2 F' B' U
L' R B2 R2 B' F' U
R' L' U2 D F' B' U'
L' R' U2 D F' B' U'
R' L' U2 D B' F' U'
L' R' U2 D B' F' U'
R' L' U2 D' F' B' U'
L' R' U2 D' F' B' U'
R' L' U2 D' B' F' U'
L' R' U2 D' B' F' U'
R' L' U2 D2 F' B' U'
L' R' U2 D2 F' B' U'
R' L' U2 D2 B' F' U'
L' R' U2 D2 B' F' U'
L' R' U2 F' D B' U'
R' L' U2 F' D B' U'
L' R' U2 F' D' B' U'
R' L' U2 F' D' B' U'
R' L' U2 F' D2 B' U'
L' R' U2 F' D2 B' U'
R' L' U2 F' B' U' D
R' L' U2 F' B' U' D'
R' L' U2 F' B' U' D2
L' R' U2 F' B' U' D
L' R' U2 F' B' U' D'
R' L' U2 F' B' D U'
L' R' U2 F' B' U' D2
R' L' U2 F' B' D' U'
R' L' U2 F' B' D2 U'
L' R' U2 F' B' D U'
L' R' U2 F' B' D' U'
L' R' U2 F' B' D2 U'
R' L' U2 B' D F' U'
R' L' U2 B' D' F' U'
L' R' U2 B' D F' U'
R' L' U2 B' D2 F' U'
L' R' U2 B' D' F' U'
R' L' U2 B' F' U' D
R' L' U2 B' F' U' D'
R' L' U2 B' F' U' D2
R' L' U2 B' F' D U'
L' R' U2 B' D2 F' U'
R' L' U2 B' F' D' U'
R' L' U2 B' F' D2 U'
L' R' U2 B' F' U' D
L' R' U2 B' F' U' D'
L' R' U2 B' F' U' D2
L' R' U2 B' F' D U'
L' R' U2 B' F' D' U'
L' R' U2 B' F' D2 U'
R' L' D U2 F' B' U'
R' L' D U2 B' F' U'
L' R' D U2 F' B' U'
L' R' D U2 B' F' U'
D2 L' R' U2 F' B' U'
D2 L' R' U2 B' F' U'
D' L' R' U2 F' B' U'
D' L' R' U2 B' F' U'
D L' R' U2 F' B' U'
D L' R' U2 B' F' U'
U2 L' R' D F' B' U
U2 L' R' D B' F' U
U2 L' R' D' F' B' U
U2 L' R' D' B' F' U
U2 L' R' D2 F' B' U
U2 L' R' D2 B' F' U
U2 L' R' F' D B' U
U2 L' R' F' D' B' U
U2 L' R' F' D2 B' U
U2 L' R' F' B' U D
U2 L' R' F' B' U D'
U2 L' R' F' B' U D2
U2 L' R' F' B' D U
U2 L' R' F' B' D' U
U2 L' R' F' B' D2 U
U2 L' R' B' D F' U
U2 L' R' B' D' F' U
U2 L' R' B' D2 F' U
U2 L' R' B' F' U D
U2 L' R' B' F' U D'
U2 L' R' B' F' U D2
U2 L' R' B' F' D U
U2 L' R' B' F' D' U
U2 L' R' B' F' D2 U
R' L' D' U2 F' B' U'
R' L' D' U2 B' F' U'
L' R' D' U2 F' B' U'
L' R' D' U2 B' F' U'
U2 L' R2 B' R F' U
R' L' D2 U2 F' B' U'
R' L' D2 U2 B' F' U'
L' R' D2 U2 F' B' U'
L' R' D2 U2 B' F' U'
L R' F L2 U D R2
L R' F L2 U2 F2 U'
L R' F L2 D U R2
L R' F L2 D2 B2 U
R' L' F U2 F2 B' U'
R' L' F U2 B' F2 U'
L' R' F U2 F2 B' U'
L' R' F U2 B' F2 U'
B' L' U2 B' L F U'
