B' L U2 R U R'
B' L' D F2 L' U'
B' L2 F2 L' U' R
B' U L U R U
B' U2 R U' L U2
B' U2 R B2 U R'
B' U2 B2 R U R2
F2 D B' L' F U'
D F2 B' L' F U'
F2 B' L' U L2 U2
F2 B' L' U' D2 R2
F2 B' L' D F2 U'
F2 B' L' D2 U' R2
F' B' U L U2 F
B' F' U L U2 F
D B' F2 L' F U'
B' F2 L' U L2 U2
B' F2 L' U' D2 R2
B' F2 L' D F2 U'
B' F2 L' D2 U' R2
B' L U2 R U R' D
B' L U2 R U R' D'
B' L U2 R U R' D2
B' L U2 R U D R'
B' L U2 R U D' R'
B' L U2 R U D2 R'
B' L U2 R D U R'
B' L U2 R D' U R'
B' L U2 R D2 U R'
B' L U2 D R U R'
B' L U2 D' R U R'
B' L U2 D2 R U R'
B' L U2 B R U R'
B' L U2 B' R U R'
B' L U2 B2 R U R'
B' L D U2 R U R'
B' L D' U2 R U R'
B' L D2 U2 R U R'
B' L F2 L' U L U2
F' L B U' R' F' L'
B' L' U L2 U R U
B' L' U2 R U D2 R2
B' L' U2 R U' L2 U2
B' L' U2 R D' B2 U
B' L' U2 R D2 U R2
B' L' U2 D' R B2 U
B' L' U2 D' B2 R U
B' L' U2 D2 R U R
B' L' D L F2 L' U'
B' L' D L' F2 L' U'
B' L' D L2 F2 L' U'
B' L' D F2 L' U' D
B' L' D F2 L' U' D'
B' L' D F2 L' U' D2
B' L' D F2 L' D U'
B' L' D F2 L' D' U'
B' L' D F2 L' D2 U'
B' L' D F2 D L' U'
B' L' D F2 D' L' U'
B' L' D F2 D2 L' U'
B' L' D' U2 R B2 U
B' L' D' U2 B2 R U
B' L' D2 U2 R U R
B' L' D2 F2 L' U' R2
B' L' F2 L' U L' U2
B' L' F2 L' F2 U' R
B' L' F2 D L' F2 U'
B' L' F2 D2 L' U' R2
B' L2 U L' U R U
B' L2 U' R' D' F2 R
B' L2 U2 R U' L' U2
D L2 U2 R F B U
D L2 U2 R B F U
B' L2 D F2 L' U' R
B' L2 D' F2 L' U' R
B' L2 D2 F2 L' U' R
B' L2 F' U' R' F' R
B' L2 F2 L' U' R D
B' L2 F2 L' U' R D'
B' L2 F2 L' U' R D2
B' L2 F2 L' U' D R
B' L2 F2 L' U' D' R
B' L2 F2 L' U' D2 R
B' L2 F2 L' D U' R
B' L2 F2 L' D' U' R
B' L2 F2 L' D2 U' R
B' L2 F2 D L' U' R
B' L2 F2 D' L' U' R
B' L2 F2 D2 L' U' R
D' R U2 F' R' B' U'
U2 R U2 B' U L U2
B R D B2 L U L
U2 R B U R' D L2
U2 R B U D L2 R'
U2 R B U D R' L2
U2 R B D U L2 R'
U2 R B D U R' L2
U2 R B D2 F2 U R'
U2 R B' U' L U2 L'
L2 U2 R F B U R'
L2 U2 R B F U R'
L U2 R U2 B U' R'
R U2 R' B' U L U2
L' U2 D2 R F' U R
L2 U2 B R F U R2
B R2 B2 L R2 U' R'
B R2 B2 R2 L U' R'
B' U L U R U D
B' U L U R U D'
B' U L U R U D2
B' U L U R D U
B' U L U R D' U
B' U L U R D2 U
B' U L U D R U
B' U L U D' R U
B' U L U D2 R U
B' U L D U R U
B' U L D' U R U
B' U L D2 U R U
B' U L B U R U
B' U L B' U R U
B' U L B2 U R U
L D F2 L' F B' U'
L D F2 L' B' F U'
B' U D L U R U
B' U D' L U R U
B' U D2 L U R U
R' D' R F' B' U' F'
R' D' R B' F' U' F'
B' U B' U R B U
B' U B2 U R U R2
B' U B2 U2 R' D' F2
U2 D' R U2 F' B' U'
U2 D' R U2 B' F' U'
R' D' B' R F' U' F'
B U' R' D L2 D2 F2
B U' R' D' F2 D2 L2
B U' D L2 R' D' F2
B U' D R' L2 D' F2
B U' D2 R' D' L2 F2
B U' D2 R' D' F2 L2
D' U2 R U2 F' B' U'
D' U2 R U2 B' F' U'
B' U' B2 R' B2 D' F2
L' D2 U2 R F' U R
B' U2 R U B2 R' B2
B' U2 R U' L U2 D
B' U2 R U' L U2 D'
B' U2 R U' L U2 D2
B' U2 R U' L D U2
B' U2 R U' L D' U2
B' U2 R U' L D2 U2
B' U2 R U' D L U2
B' U2 R U' D' L U2
B' U2 R U' D2 L U2
B' U2 R D U' L U2
B' U2 R D B2 U R'
B' U2 R D' U' L U2
B' U2 R D' B2 U R'
B' U2 R D2 U' L U2
B' U2 R D2 B2 U R'
B' U2 R B2 U R' D
B' U2 R B2 U R' D'
B' U2 R B2 U R' D2
B' U2 R B2 U D R'
B' U2 R B2 U D' R'
B' U2 R B2 U D2 R'
B' U2 R B2 D U R'
B' U2 R B2 D' U R'
B' U2 R B2 D2 U R'
B U2 R U R2 D L2
B U2 R U2 B2 U' R2
B U2 R D B2 U L2
B' U2 R' B2 R2 U R
B' U2 D R U' L U2
B' U2 D R B2 U R'
B' U2 D B2 R U R2
B' U2 D' R U' L U2
B' U2 D' R B2 U R'
B U2 D R U L2 R2
B U2 D R U R2 L2
B' U2 D' B2 R U R2
B' U2 D2 R U' L U2
B' U2 D2 R B2 U R'
B' U2 D2 B2 R U R2
B U2 D2 R F2 U R2
B' U2 B R B U R'
B' U2 B' R B' U R'
B' U2 B2 R U R2 D
B' U2 B2 R U R2 D'
B' U2 B2 R U R2 D2
B' U2 B2 R D B2 U
B' U2 B2 R B U R2
B' U2 B2 R B' U R2
B' U2 B2 R B2 U R2
B' U2 B2 U R' D' F2
B' U2 B2 D R U R2
B' U2 B2 D' R U R2
B' U2 B2 D2 R U R2
B' D L U2 R U R'
