D' L R2 F' B U
D' L R2 B F' U
D' R2 L F' B U
D' R2 L B F' U
D' R2 F' L B U
L D' R2 F' B U
L D' R2 B F' U
B2 U' F' R' B' U'
D' L R2 D F' B U
D' L R2 D B F' U
D' L R2 D' F' B U
D' L R2 D' B F' U
D' L R2 D2 F' B U
D' L R2 D2 B F' U
D' L R2 F' D B U
D' L R2 F' D' B U
D' L R2 F' D2 B U
D' L R2 F' B U D
D' L R2 F' B U D'
D' L R2 F' B U D2
D' L R2 F' B D U
D' L R2 F' B D' U
D' L R2 F' B D2 U
D2 L R2 F' B U F'
D' L R2 B D F' U
D' L R2 B D' F' U
D' L R2 B D2 F' U
D' L R2 B F' U D
D' L R2 B F' U D'
D' L R2 B F' U D2
D' L R2 B F' D U
D' L R2 B F' D' U
D' L R2 B F' D2 U
D2 L R2 B F' U F'
B2 L U' F' R' U' L'
D L U2 L F' B U'
D L U2 L B F' U'
R2 L D' F' B R2 U
R2 L D' B F' R2 U
D2 L U2 F' B U' F'
D L U2 F' L B U'
D2 L U2 B F' U' F'
R2 L D2 F' B U F'
D2 L D R2 F' B U
D2 L D R2 B F' U
R2 L D2 B F' U F'
U' L D' R2 F' B U
U' L D' R2 B F' U
U2 L D' R2 F' B U
U2 L D' R2 B F' U
U L D' R2 F' B U
U L D' R2 B F' U
R2 L F' D' B R2 U
R2 L F' D2 B U F2
R2 L F' B R2 U F'
R2 L F' B U' B U2
R2 L B F' R2 U F'
R2 L B F' U' B U2
F' L B U B U2 B'
D' L' R2 F' L2 B U
D' L' R2 F' B L2 U
D' L' R2 B L2 F' U
D' L' R2 B F' L2 U
F' L' D2 B R2 U' F2
F' L' B D2 R2 U' F'
L R2 D' F' B R2 U
L R2 D' B F' R2 U
L R2 D2 F' B U F'
L R2 D2 B F' U F'
D' L2 R2 B L' F' U
L R2 F' D' B R2 U
L R2 F' D2 B U F2
L R2 F' B R2 U F'
L R2 F' B U' B U2
L R2 B F' R2 U F'
L R2 B F' U' B U2
D L2 F' D2 B R' U'
D L2 F2 B R F U'
D L2 B F2 R F U'
B2 R U' R2 B' U' R'
B2 R U' B' R2 U' R
L U' B2 U' F' B' U'
L U' B2 U' B' F' U'
L U2 D L2 F' B U'
L U2 D L2 B F' U'
L U2 D F' L2 B U'
L U2 D F' B L2 U'
L U2 D B L2 F' U'
L U2 D B F' L2 U'
D' R2 L D F' B U
D' R2 L D B F' U
D' R2 L D' F' B U
D' R2 L D' B F' U
D' R2 L D2 F' B U
D' R2 L D2 B F' U
D2 R2 L F' B U F'
D' R2 L F' D B U
D' R2 L F' D' B U
D' R2 L F' D2 B U
D' R2 L F' B U D
D' R2 L F' B U D'
D' R2 L F' B U D2
D' R2 L F' B D U
D' R2 L F' B D' U
D' R2 L F' B D2 U
D2 R2 L B F' U F'
D' R2 L B D F' U
D' R2 L B D' F' U
D' R2 L B D2 F' U
D' R2 L B F' U D
D' R2 L B F' U D'
D' R2 L B F' U D2
D' R2 L B F' D U
D' R2 L B F' D' U
D' R2 L B F' D2 U
D' R2 L' F' L2 B U
D' R2 L' F' B L2 U
D' R2 L' B L2 F' U
D' R2 L' B F' L2 U
L U2 D2 F' B U' F'
L U2 D2 B F' U' F'
D' R2 L2 B L' F' U
L U2 F' D L2 B U'
L U2 F' D B L2 U'
L U2 F' D2 B U' F2
L U2 F' B U B U2
D' R2 D L F' B U
D' R2 D L B F' U
L U2 B F' U B U2
D' R2 D F' L B U
D' R2 D' L F' B U
D' R2 D' L B F' U
D' R2 D' F' L B U
D' R2 D2 L F' B U
D' R2 D2 L B F' U
D' R2 D2 F' L B U
D' R2 F L F2 B U
D' R2 F L B F2 U
D' R2 F' L D B U
D' R2 F' L D' B U
D' R2 F' L D2 B U
D' R2 F' L B U D
D' R2 F' L B U D'
D' R2 F' L B U D2
D' R2 F' L B D U
D' R2 F' L B D' U
D' R2 F' L B D2 U
D2 R2 F' L B U F'
D' R2 F' L' B L2 U
D' R2 F' L2 B L' U
D' R2 F' D L B U
D' R2 F' D' L B U
D' R2 F' D2 L B U
D' U L R2 F' B U
D' U L R2 B F' U
L D U2 L2 F' B U'
L D U2 L2 B F' U'
L D U2 F' L2 B U'
L D U2 F' B L2 U'
L D U2 B L2 F' U'
L D U2 B F' L2 U'
D' U R2 L F' B U
D' U R2 L B F' U
D' U R2 F' L B U
R2 D' L F' B R2 U
R2 D' L B F' R2 U
L2 D' L' R2 F' B U
L2 D' L' R2 B F' U
D' U' L R2 F' B U
D' U' L R2 B F' U
U' D' L R2 F' B U
U' D' L R2 B F' U
L2 D' R2 L' F' B U
L2 D' R2 L' B F' U
U2 D' L R2 F' B U
L' D' R2 F' B U B
U2 D' L R2 B F' U
L' D' R2 B F' U B
B U B U' F' R' U'
L2 D' R2 B L' F' U
U D' L R2 F' B U
U D' L R2 B F' U
L D' R2 D F' B U
L D' R2 D B F' U
L D' R2 D' F' B U
L D' R2 D' B F' U
L D' R2 D2 F' B U
L D' R2 D2 B F' U
F' U B2 U' R' B' U'
L D' R2 F' D B U
L D' R2 F' D' B U
L D' R2 F' D2 B U
L D' R2 F' B U D
L D' R2 F' B U D'
L D' R2 F' B U D2
L D' R2 F' B D U
L D' R2 F' B D' U
L D' R2 F' B D2 U
L D' R2 B D F' U
L D' R2 B D' F' U
L D' R2 B D2 F' U
L D' R2 B F' U D
L D' R2 B F' U D'
L D' R2 B F' U D2
L D' R2 B F' D U
L D' R2 B F' D' U
L D' R2 B F' D2 U
U' D' R2 L F' B U
D' U' R2 L F' B U
U' D' R2 L B F' U
D' U' R2 L B F' U
R2 D' F' L B R2 U
D' U' R2 F' L B U
U' D' R2 F' L B U
U2 D' R2 L F' B U
U2 D' R2 L B F' U
U2 D' R2 F' L B U
U D' R2 L F' B U
U D' R2 L B F' U
U D' R2 F' L B U
B2 U' D F' R' B' U'
B2 U' D' F' R' B' U'
B2 U' D2 F' R' B' U'
R2 D2 L F' B U F'
R2 D2 L B F' U F'
B2 U' F R' F2 B' U'
B2 U' F R' B' F2 U'
D' U2 L R2 F' B U
D' U2 L R2 B F' U
B2 U' F' R B' R2 U'
B2 U' F' R' D B' U'
B2 U' F' R' D' B' U'
B2 U' F' R' D2 B' U'
B2 U' F' R' B' U' D
B2 U' F' R' B' U' D'
B2 U' F' R' B' U' D2
B2 U' F' R' B' D U'
B2 U' F' R' B' D' U'
B2 U' F' R' B' D2 U'
B2 U' F' R2 B' R U'
B2 U' F' D R' B' U'
B2 U' F' D' R' B' U'
B2 U' F' D2 R' B' U'
B2 U' F2 R' F B' U'
B2 U' F2 R' B' F U'
B2 U' B' D2 F' R U'
D' U2 R2 L F' B U
D' U2 R2 L B F' U
L D2 R2 F' B U F'
L D2 R2 B F' U F'
D' U2 R2 F' L B U
F' U2 L D' R2 F' U
L D2 U2 F' B U' F'
L D2 U2 B F' U' F'
R2 D2 F' L B U F'
F' U2 D' L R2 F' U
F' U2 D' R2 L F' U
F' U2 D' R2 F' L U
B2 U2 F' R' B' U' F
D F L2 F2 B R U'
D F L2 B F2 R U'
F' D L2 B U2 L' U
B2 D U' F' R' B' U'
R2 F' L D' B R2 U
R2 F' L D2 B U F2
R2 F' L B R2 U F'
R2 F' L B U' B U2
D F' L2 B U2 L' U
F' D B2 R' B' L2 U'
D' F' U2 L R2 F' U
D' F' U2 R2 L F' U
D' F' U2 R2 F' L U
R2 F' D' L B R2 U
L' F' D2 B R2 U' F2
R2 F' D2 L B U F2
L2 F' D2 B R' U' F2
L' F' B D2 R2 U' F'
L F' B U B U2 B'
B2 D' U' F' R' B' U'
F' D' U2 L R2 F' U
D F' B2 R' B' L2 U'
F' D' U2 R2 L F' U
F' D' U2 R2 F' L U
B2 D2 U' F' R' B' U'
D B L2 D2 F' R U'
F' D2 B2 R' B' U' F2
D' B D2 L2 F' R U'
D' B D2 F' L2 R U'
D' B D2 F' R L2 U'
L' B D2 F' R2 U' F'
L' B F' D2 R2 U' F'
F' B U B U' R' U'
B2 F U' R' F2 B' U'
B2 F U' R' B' F2 U'
L B F' U B U2 B'
B2 F U' F2 R' B' U'
B2 F' R B' R2 U' F'
B2 F' R' B' U B U2
B2 F' U' R' B' U' R
B F' U B U' R' U'
F' B2 R B' R2 U' F'
U' B2 U' F' R' B' U'
F' B2 R' B' U B U2
U2 B2 U' F' R' B' U'
U B2 U' F' R' B' U'
F' B2 U' R' B' U' R
B2 F2 U' R' F B' U'
B2 F2 U' R' B' F U'
F2 B2 U' R' F B' U'
F2 B2 U' R' B' F U'
B2 F2 U' F R' B' U'
F2 B2 U' F R' B' U'
L B2 U2 F' B' U' F
L B2 U2 B' F' U' F
F B2 U' R' F2 B' U'
F B2 U' R' B' F2 U'
F B2 U' F2 R' B' U'
D B2 F' R' B' L2 U'
