L U2 F B R2 U'
L U2 B R2 F U'
L U2 B F R2 U'
U2 B R' F' R' U'
L' B' U D L2 B2
L' B' U D B2 L2
L' B' U2 R2 B2 U'
L' B' U2 B2 R2 U'
L' B' D U L2 B2
L' B' D U B2 L2
L' B' D2 L2 F2 U
L' B' D2 F2 L2 U
U B' D L2 R' B2
U B' D R' L2 B2
U B' D R' B2 L2
B L R2 D' F U' F
B L R2 D2 F L2 U'
B L R2 F U' D' F2
B L R2 F U2 R2 U
B L R2 F D' U' F2
B L R2 F D2 L2 U'
B' L U2 R2 F B2 U'
B' L U2 R2 B2 F U'
B' L U2 F R2 B2 U'
F' L U2 F B R2 U'
B' L U2 F B2 R2 U'
F2 L U2 F B R2 U'
D L U2 F B U' B
B L U2 F R2 B U'
F' L U2 B R2 F U'
F L U2 F B R2 U'
F' L U2 B F R2 U'
F2 L U2 B R2 F U'
F2 L U2 B F R2 U'
B' L U2 B2 R2 F U'
B' L U2 B2 F R2 U'
D L U2 B F U' B
F L U2 B R2 F U'
F L U2 B F R2 U'
R2 L F U' D' L2 F2
R2 L F U' D' F2 L2
R2 L F U2 R2 F2 U
R2 L F U2 F2 R2 U
R2 L F D' U' L2 F2
R2 L F D' U' F2 L2
R2 L F D2 L2 B2 U'
R2 L F D2 B2 L2 U'
B' L D2 L2 F2 B' U
B' L D2 L2 B' F2 U
B L F R2 U' D' F2
B L F R2 U2 R2 U
B L F R2 D' U' F2
B L F R2 D2 L2 U'
U L B' D L2 R' B2
U L B' D R' L2 B2
U L B' D R' B2 L2
R2 L' U2 F' R2 B' U
R2 L' U2 F' B' R2 U
R2 L' U2 B' F' R2 U
B L' R2 U2 R2 B' U
B L' R2 U2 B' R2 U
B L' R2 D2 L2 F U'
B' L' U2 B2 R2 F' U'
B' L' D B' U B' L2
B' L' D2 F2 B' L2 U
B' L' D2 B' L2 F2 U
B' L' D2 B' F2 L2 U
L' R2 U2 F' R2 B' U
L' R2 U2 F' B' R2 U
L' R2 U2 B' F' R2 U
D2 L' B' L' U D L2
D2 L' B' L' U2 B2 U'
D2 L' B' L' D U L2
D2 L' B' L' D2 F2 U
F' L' B' U D L2 B2
F' L' B' U D B2 L2
F' L' B' U2 R2 B2 U'
F2 L' B' U D L2 B2
D2 L' B' D L' U L'
F2 L' B' U D B2 L2
B' L' B' U2 R2 B' U'
F' L' B' U2 B2 R2 U'
B' L' B' U2 B' R2 U'
F' L' B' D U L2 B2
F' L' B' D U B2 L2
F2 L' B' U2 R2 B2 U'
D2 L' B' D2 L' F2 U
F2 L' B' U2 B2 R2 U'
F' L' B' D2 L2 F2 U
D L' B' U D B' L2
D' L' B' D2 F2 U B2
B' L' B' D2 L2 F U
F2 L' B' D U L2 B2
F2 L' B' D U B2 L2
F' L' B' D2 F2 L2 U
F L' B' U D L2 B2
F L' B' U D B2 L2
F2 L' B' D2 L2 F2 U
B L' B' U2 B R2 U'
F2 L' B' D2 F2 L2 U
D L' B' U2 B2 U' B
D L' B' D U B' L2
F L' B' U2 R2 B2 U'
F L' B' U2 B2 R2 U'
F L' B' D U L2 B2
F L' B' D U B2 L2
D L' B' D2 F2 U B'
U L' B' D L2 R' B2
U L' B' D R' L2 B2
U L' B' D R' B2 L2
F L' B' D2 L2 F2 U
F L' B' D2 F2 L2 U
L R2 F U' D' L2 F2
L R2 F U' D' F2 L2
L R2 F U2 R2 F2 U
L R2 F U2 F2 R2 U
L R2 F D' U' L2 F2
L R2 F D' U' F2 L2
L R2 F D2 L2 B2 U'
L R2 F D2 B2 L2 U'
D2 L2 U2 D' B U' R'
D2 L2 D' U2 B U' R'
U L2 B' D L2 R' B2
U L2 B' D R' L2 B2
U L2 B' D R' B2 L2
L U B R2 F U' F'
B' R B2 L R F U'
B' R B2 R L F U'
R2 U' F D' L2 R F2
R2 U' F D' R L2 F2
R2 U' F D' R F2 L2
U R' U R' F' U' L'
U2 R' F' R B R2 U'
U2 R' F' R' U2 F' U
L' U2 R2 U2 F' B' U
L' U2 R2 U2 B' F' U
L U2 R2 F U' D' L2
L U2 R2 F U2 F2 U
L U2 R2 F D' U' L2
L U2 R2 F D2 B2 U'
L U2 D F B U' B
L U2 D B F U' B
B R2 L D' F U' F
B R2 L D2 F L2 U'
B R2 L F U' D' F2
B R2 L F U2 R2 U
B R2 L F D' U' F2
B R2 L F D2 L2 U'
B R2 L' U2 R2 B' U
B R2 L' U2 B' R2 U
B R2 L' D2 L2 F U'
L U2 F R2 U2 F' U
L U2 F D B U' B
L U2 F B R2 U' D
L U2 F B R2 U' D'
L U2 F B R2 U' D2
L U2 F B R2 D U'
L U2 F B R2 D' U'
L U2 F B R2 D2 U'
L U2 F B U' D B2
L U2 F B D U' B2
R2 U2 F' R B R U
L U2 F B' R2 B2 U'
L U2 F B2 R2 B' U'
L U2 F' B R2 F2 U'
L' U2 B R2 U' D' R2
L' U2 B R2 U2 B2 U
L' U2 B R2 D' U' R2
L' U2 B R2 D2 F2 U'
B R2 U' D' F R F
B R2 U' F D' R F2
B R2 U' F' D' F2 R
L U2 B R' F R' U'
U2 R2 U2 D' F' U R
L U2 B R2 D F U'
L U2 B R2 D' F U'
L U2 B R2 D2 F U'
L U2 B R2 F U' D
L U2 B R2 F U' D'
L U2 B R2 F U' D2
L U2 B R2 F D U'
L U2 B R2 F D' U'
L U2 B R2 F D2 U'
B R2 U2 R B R U
L U2 B D F U' B2
L U2 B F R2 U' D
L U2 B F R2 U' D'
L U2 B F R2 U' D2
L U2 B F R2 D U'
L U2 B F R2 D' U'
L U2 B F R2 D2 U'
L U2 B F U' D B2
L U2 B F D U' B2
L U2 B F' R2 F2 U'
L' U2 B2 R2 F' B' U'
L' U2 B2 R2 B' F' U'
L U2 B' R2 F B2 U'
L U2 B' R2 B2 F U'
L U2 B' F R2 B2 U'
B R2 D' L F U' F
U2 R2 D' U2 F' U R
L U2 B2 R2 F B' U'
L U2 B2 R2 B' F U'
B R2 D' U' F R F
B R2 D' F U' F R
L U2 B2 F R2 B' U'
B R2 D2 L F L U'
L D U2 F B U' B
L D U2 B F U' B
L' D B' U D B' L2
L' D B' U2 B2 U' B
L' D B' D U B' L2
L' D B' D2 F2 U B'
B' U D L2 B' R' B'
B' U D B' R' B' L2
U2 D B U' B' R' B2
D2 U B' D' R' B2 L
D U B' R' D B' L2
D U B' D R' B' L2
U D B' R' D B' L2
U D B' D R' B' L2
B2 U B D B2 L2 R'
B2 U B D B2 R' L2
F' U B' D L2 R' B2
F' U B' D R' L2 B2
F' U B' D R' B2 L2
F2 U B' D L2 R' B2
F2 U B' D R' L2 B2
F2 U B' D R' B2 L2
F U B' D L2 R' B2
F U B' D R' L2 B2
F U B' D R' B2 L2
L' D' B' D2 F2 U B2
