F L B U F2 B2
F L B U B2 F2
F' L B' D' L2 R2
F' L B' D' R2 L2
D F L' B U F2
D F B L' U F2
B D F L' U F2
B F L U F2 B'
B F L U B' F2
F B L U F2 B'
F B L U B' F2
D B F L' U F2
B L U D' F' B' L
B L U D' B' L F'
B L U D' B' F' L
B L U F' D' B' L
F L U F2 B' D' R2
F L U B' F2 D' R2
F' L U' F2 B U B2
F' L U' B F2 U B2
F L D B R2 U B2
B L D' U F' B' L
B L D' U B' L F'
B L D' U B' F' L
B' L D' F' R2 B' L
B' L D' F' B' L R2
B' L D' F' B' R2 L
F' L D' B' L2 D' R2
B' L D' B' L F' R2
B' L D' B' F' L R2
B' L D' B' F' R2 L
B' L F' D' R2 B' L
B' L F' D' B' L R2
B' L F' D' B' R2 L
F' L F2 B U F2 B2
F' L F2 B U B2 F2
F L F2 B' D' L2 R2
F L F2 B' D' R2 L2
F L B L U F2 B2
F L B L U B2 F2
F L B L' U F2 B2
F L B L' U B2 F2
F L B L2 U F2 B2
F L B L2 U B2 F2
F L B R U F2 B2
F L B R U B2 F2
F L B R' U F2 B2
F L B R' U B2 F2
F L B R2 U F2 B2
F L B R2 U B2 F2
F L B U F2 B2 D
F L B U F2 B2 D'
F L B U F2 B2 D2
F L B U B2 F2 D
F L B U B2 F2 D'
F L B U B2 F2 D2
F L B D L2 R2 U
F L B D R2 L2 U
F' L B F2 U F2 B2
F' L B F2 U B2 F2
F' L B' L D' L2 R2
F' L B' L D' R2 L2
F' L B' L' D' L2 R2
F' L B' L' D' R2 L2
F' L B' L2 D' L2 R2
F' L B' L2 D' R2 L2
F' L B' R D' L2 R2
F' L B' R D' R2 L2
F' L B' R' D' L2 R2
F' L B' R' D' R2 L2
F' L B' R2 D' L2 R2
F' L B' R2 D' R2 L2
F' L B' U' F2 B2 U
F' L B' U' B2 F2 U
F' L B' D' L2 R2 D
F' L B' D' L2 R2 D'
F' L B' D' L2 R2 D2
F' L B' D' R2 L2 D
F' L B' D' R2 L2 D'
F' L B' D' R2 L2 D2
F L B' F2 D' L2 R2
F L B' F2 D' R2 L2
B L' U' F R U2 F2
B L' U' F U2 F2 L'
F' L' D' L2 B' D' R2
F L' B L2 U F2 B'
F L' B L2 U B' F2
F L' B U' F U2 F
F' L' B' D' L2 R2 B'
F' L' B' D' L2 B' R2
F' L' B' D' R2 L2 B'
F L2 B L' U F2 B'
F L2 B L' U B' F2
B U L D' F' B' L
B U L D' B' L F'
B U L D' B' F' L
B U L F' D' B' L
U' D F L' B U F2
U2 D F L' B U F2
U' D F B L' U F2
D U F L' B U F2
U2 D F B L' U F2
U D F L' B U F2
D U F B L' U F2
U D F B L' U F2
U' D B F L' U F2
U2 D B F L' U F2
B U F' L D' B' L2
B U F' L B' D' L2
B U F' L' D' L2 B'
D U B F L' U F2
U D B F L' U F2
F' U' L F2 B U B2
F' U' L B F2 U B2
L D' F' B' L D' R2
L D' F' B' D' L R2
L D' F' B' D' R2 L
D U' F L' B U F2
D U' F B L' U F2
L D' B U F' B2 L
L D' B U B2 L F'
L D' B U B2 F' L
L D' B' L D' F' R2
L D' B' L F' D' R2
L D' B' D' L F' R2
L D' B' D' F' L R2
L D' B' D' F' R2 L
L D' B' F' L D' R2
L D' B' F' D' L R2
L D' B' F' D' R2 L
D U' B F L' U F2
F' U' F2 L B U B2
F' U' F2 B L U B'
F' U' B L F2 U B'
F' U' B F2 L U B'
D U2 F L' B U F2
D U2 F B L' U F2
D U2 B F L' U F2
U' F L B U F2 B2
U' F L B U B2 F2
U2 F L B U F2 B2
U2 F L B U B2 F2
D F L B L2 U F2
U F L B U F2 B2
U F L B U B2 F2
D F L' D B R2 U
D F L' B R U F2
D F L' B R' U F2
D F L' B R2 U F2
D F L' B U F2 D
D F L' B U F2 D'
D F L' B U F2 D2
D F L' B D R2 U
L' F U B U L F2
L' F U B U F2 L
D F D L' B R2 U
D F D B L' R2 U
D F D B R2 L' U
U' F B L U F2 B'
U' F B L U B' F2
D2 F B R' U F2 B
D2 F B R' U B F2
D' F B U2 R' U' F2
U2 F B L U F2 B'
U2 F B L U B' F2
D' F B' L B2 U F2
D F B L' R U F2
D F B L' R' U F2
D F B L' R2 U F2
D F B L' U F2 D
D F B L' U F2 D'
D F B L' U F2 D2
D F B L' D R2 U
D F B R L' U F2
D F B R' L' U F2
D F B R2 L' U F2
U F B L U F2 B'
U F B L U B' F2
D F B D L' R2 U
D F B D R2 L' U
D F B' L' B2 U F2
F D R2 U2 F' R U'
U' F' L B' D' L2 R2
U' F' L B' D' R2 L2
B' D F L' U F2 R
U2 F' L B' D' L2 R2
U2 F' L B' D' R2 L2
U F' L B' D' L2 R2
U F' L B' D' R2 L2
B2 D F B' L' U F2
B D F L' R U F2
B D F L' R' U F2
B D F L' R2 U F2
B D F L' U F2 D
B D F L' U F2 D'
B D F L' U F2 D2
B D F L' D R2 U
B D F R L' U F2
B D F R' L' U F2
B D F R2 L' U F2
B D F D L' R2 U
B D F D R2 L' U
B2 D B' F L' U F2
D F' U' F2 L' B U
D F' U' F2 B L' U
D F' U' B F2 L' U
L F' D' B' L D' R2
L F' D' B' D' L R2
L F' D' B' D' R2 L
B2 D' F B' L U F2
B2 D' B' F L U F2
F D' B U2 L2 R' U'
F D' B U2 R' L2 U'
F D' B' L B2 R' U
B D2 F R' U F2 B
B D2 F R' U B F2
L B L' F U F2 B2
L B L' F U B2 F2
L' B U' F R U2 F2
L' B U' F U2 F2 L'
B2 F L U F2 B' R'
B2 F L U B' R' F2
B2 F L U B' F2 R'
B' F L B2 U F2 B
B' F L B2 U B F2
F' B L F2 U F2 B'
F' B L F2 U B' F2
B F L R U F2 B'
B F L R U B' F2
B F L R' U F2 B'
B F L R' U B' F2
B F L R2 U F2 B'
B F L R2 U B' F2
B F L U F2 D B'
B F L U F2 D' B'
B F L U F2 D2 B'
B F L U F2 B' D
B F L U F2 B' D'
B F L U F2 B' D2
B F L U B' F2 D
B F L U B' F2 D'
B F L U B' F2 D2
U' B D F L' U F2
B F L D R2 U B'
F B L R U F2 B'
F B L R U B' F2
F B L R' U F2 B'
F B L R' U B' F2
F B L R2 U F2 B'
F B L R2 U B' F2
F B L U F2 D B'
F B L U F2 D' B'
F B L U F2 D2 B'
F B L U F2 B' D
F B L U F2 B' D'
F B L U F2 B' D2
F B L U B' F2 D
F B L U B' F2 D'
F B L U B' F2 D2
F B L D R2 U B'
B F L' U' F U2 F
U2 B D F L' U F2
D2 B D' F L' U F2
F B L' U' F U2 F
U' B F L U F2 B'
U' B F L U B' F2
U B D F L' U F2
B F R L U F2 B'
B F R L U B' F2
D2 B F R' U F2 B
D2 B F R' U B F2
F B R L U F2 B'
F B R L U B' F2
D' B F U2 R' U' F2
U2 B F L U F2 B'
U2 B F L U B' F2
B F R' L U F2 B'
B F R' L U B' F2
F B R' L U F2 B'
F B R' L U B' F2
D B F L' R U F2
D B F L' R' U F2
D B F L' R2 U F2
D B F L' U F2 D
D B F L' U F2 D'
D B F L' U F2 D2
D B F L' D R2 U
D B F R L' U F2
D B F R' L' U F2
D B F R2 L' U F2
B F R2 L U F2 B'
B F R2 L U B' F2
D B F D L' R2 U
D B F D R2 L' U
U B F L U F2 B'
U B F L U B' F2
F B R2 L U F2 B'
F B R2 L U B' F2
B F U L B' L' F2
F B U L B' L' F2
B F U F2 L B' L'
F B U F2 L B' L'
B F U2 L U' F2 B'
B F U2 L U' B' F2
F B U2 L U' F2 B'
F B U2 L U' B' F2
L B' L' F' D' L2 R2
L B' L' F' D' R2 L2
B' F' L D' R2 B' L2
B' F' L D' B' L2 R2
B' F' L D' B' R2 L2
F' B' L D' R2 B' L2
F' B' L D' B' L2 R2
F' B' L D' B' R2 L2
B' F' L' D' L2 R2 B'
B' F' L' D' L2 B' R2
B' F' L' D' R2 L2 B'
F' B' L' D' L2 R2 B'
F' B' L' D' L2 B' R2
F' B' L' D' R2 L2 B'
B F' L F2 U F2 B'
B F' L F2 U B' F2
F B' L B2 U F2 B
F B' L B2 U B F2
L B' D F L' F2 R
D' B' F L B2 U F2
D B' F L' B2 U F2
F B2 L U F2 B' R'
F B2 L U B' R' F2
F B2 L U B' F2 R'
