U L' R' B' U' R2
L' R' F' U' L' R2
L' R' F' U' R2 L'
R' L' F' U' L' R2
R' L' F' U' R2 L'
R U L' R2 B' U'
R U L' B' R2 U'
R U R2 L' B' U'
U R' L' B' U' R2
L R D F' L' F' B2
L R D F' L' B2 F'
L R D F' B2 L' F'
R L D F' L' F' B2
R L D F' L' B2 F'
R L D F' B2 L' F'
L R D B2 F' L' F'
R L D B2 F' L' F'
L R F D F2 L' B2
L R F D F2 B2 L'
L R F D B2 F2 L'
R L F D F2 L' B2
R L F D F2 B2 L'
R L F D B2 F2 L'
R' L F' L2 U' L R2
R' L F' L2 U' R2 L
L2 R F' L' D F2 B2
L2 R F' L' D B2 F2
L' R F' R2 U' L' R2
L' R F' R2 U' R2 L'
L R F' D L' F2 B2
L R F' D L' B2 F2
L R F' D B2 L' F2
R L F' D L' F2 B2
R L F' D L' B2 F2
R L F' D B2 L' F2
R' L' U2 B U L R2
R' L' U2 B U R2 L
L' R' U2 B U L R2
L' R' U2 B U R2 L
U' L' R B R2 U' R2
U L' R B' R2 U' R2
U' L' R' U2 F' U R2
D2 L' R' F' U' L' R2
D2 L' R' F' U' R2 L'
D' L' R' F' U' L' R2
D' L' R' F' U' R2 L'
D L' R' F' U' L' R2
D L' R' F' U' R2 L'
U L' R' D' F2 B' U'
U L' R' D' B' F2 U'
U2 L' R' B U' L R2
U2 L' R' B U' R2 L
U L' R' F B' U' R2
U L' R' F' B' U' R2
U L' R' F2 B' U' R2
U L' R' B' U' R2 D
U L' R' B' U' R2 D'
U L' R' B' U' R2 D2
U L' R' B' D' F2 U'
U L' R' B' F U' R2
U L' R' B' F' U' R2
U L' R' B' F2 U' R2
R' L' F U R U2 R
L' R' F U R U2 R
R' L' F D' F2 U' L'
L' R' F D' F2 U' L'
L2 R' F' L U' L2 R2
L2 R' F' L U' R2 L2
L R' F' L2 U' L R2
R' L' F' U' L' R2 D
R' L' F' U' L' R2 D'
R' L' F' U' L' R2 D2
L R' F' L2 U' R2 L
R' L' F' U' R2 L' D
R' L' F' U' R2 L' D'
R' L' F' U' R2 L' D2
R' L' F' U' R2 D L'
R' L' F' U' R2 D' L'
R' L' F' U' R2 D2 L'
L' R' F' U' L' R2 D
L' R' F' U' L' R2 D'
L' R' F' U' L' R2 D2
L' R' F' U' R2 L' D
L' R' F' U' R2 L' D'
L' R' F' U' R2 L' D2
L' R' F' U' R2 D L'
L' R' F' U' R2 D' L'
L' R' F' U' R2 D2 L'
R L' F' R2 U' L' R2
R L' F' R2 U' R2 L'
R' L' F' B U' L' R2
R' L' F' B U' R2 L'
L' R' F' B U' L' R2
L' R' F' B U' R2 L'
R' L' F' B' U' L' R2
R' L' F' B' U' R2 L'
L' R' F' B' U' L' R2
L' R' F' B' U' R2 L'
R' L' F' B2 U' L' R2
R' L' F' B2 U' R2 L'
L' R' F' B2 U' L' R2
L' R' F' B2 U' R2 L'
U L' D R' B' U' R2
R' L' B F' U' L' R2
R' L' B F' U' R2 L'
L' R' B F' U' L' R2
L' R' B F' U' R2 L'
U L' D' R' B' U' R2
R' L' B' F' U' L' R2
R' L' B' F' U' R2 L'
L' R' B' F' U' L' R2
L' R' B' F' U' R2 L'
U L' D2 R' B' U' R2
R' L' B2 F' U' L' R2
R' L' B2 F' U' R2 L'
L' R' B2 F' U' L' R2
L' R' B2 F' U' R2 L'
R' L2 F' L U' L2 R2
R' L2 F' L U' R2 L2
R L2 F' L' D F2 B2
R L2 F' L' D B2 F2
R2 U L' R B' U' R2
R U L' R B' R U'
R U L' R2 D B' U'
R U L' R2 D' B' U'
R U L' R2 D2 B' U'
R U L' R2 B' U' D
R U L' R2 B' U' D'
R U L' R2 B' U' D2
R U L' R2 B' D U'
R U L' R2 B' D' U'
R U L' R2 B' D2 U'
R U L' D B' U' B'
R U L' B R2 B2 U'
R U L' B' R2 U' D
R U L' B' R2 U' D'
R U L' B' R2 U' D2
R U L' B' R2 D U'
R U L' B' R2 D' U'
R U L' B' R2 D2 U'
R U L' B' U' D B2
R U L' B' D U' B2
R2 U R L' B' U' R2
R U R L' B' R U'
R U R2 L' D B' U'
R U R2 L' D' B' U'
R U R2 L' D2 B' U'
R U R2 L' B' U' D
R U R2 L' B' U' D'
R U R2 L' B' U' D2
R U R2 L' B' D U'
R U R2 L' B' D' U'
R U R2 L' B' D2 U'
R U R2 D L' B' U'
R U R2 D' L' B' U'
R U R2 D2 L' B' U'
R U R2 B L' B' U'
R U R2 B' L' B' U'
R U R2 B2 L' B' U'
R U D L' B' U' B'
U' R L' B R2 U' R2
U R L' B' R2 U' R2
D2 R U L' R2 B' U'
D2 R U L' B' R2 U'
D' R U L' R2 B' U'
D' R U L' B' R2 U'
U' R U L' B R2 U'
D2 R U R2 L' B' U'
D' R U R2 L' B' U'
D R U L' R2 B' U'
D R U L' B' R2 U'
D R U R2 L' B' U'
U' R U B L' R2 U'
U' R U B R2 L' U'
R U B L' R2 B' U'
R U B L' B' R2 U'
R U B R2 L' B' U'
R U B' L' R2 B' U'
R U B' L' B' R2 U'
R U B' R2 L' B' U'
R U B2 L' R2 B' U'
R U B2 L' B' R2 U'
R U B2 R2 L' B' U'
R2 U' L' R B U' R2
L' U' R U B R2 U'
R2 U' R L' B U' R2
L' U' R B' D L2 B2
L' U' R B' D B2 L2
R2 U' R B L' U' R2
U' R B L' R2 U' R2
U2 R B L D F2 B2
U2 R B L D B2 F2
U' R B R2 L' U' R2
U' R' L' U2 F' U R2
D2 R' L' F' U' L' R2
D2 R' L' F' U' R2 L'
D' R' L' F' U' L' R2
D' R' L' F' U' R2 L'
U2 R' L' B U' L R2
U2 R' L' B U' R2 L
D R' L' F' U' L' R2
D R' L' F' U' R2 L'
U R' L' D' F2 B' U'
U R' L' D' B' F2 U'
U R' L' F B' U' R2
U R' L' F' B' U' R2
U R' L' F2 B' U' R2
U R' L' B' U' R2 D
U R' L' B' U' R2 D'
U R' L' B' U' R2 D2
U R' L' B' D' F2 U'
U R' L' B' F U' R2
U R' L' B' F' U' R2
U R' L' B' F2 U' R2
U R' D' L' F2 B' U'
U R' D' L' B' F2 U'
U2 R' B L' U' L2 R2
U2 R' B L' U' R2 L2
U R' B L' B' U' R2
U R' B' L' B' U' R2
U R' B2 L' B' U' R2
L' U2 B U L R B
L' U2 B U R L B
L' D R' F' U' L' R2
L' D R' F' U' R2 L'
