B2 L' U' R' B L
L' R D2 B U' R2 B
L R F' U' L2 B U'
L R F' U' B L2 U'
R L F' U' L2 B U'
R L F' U' B L2 U'
L' R B U L2 F' U2
L' R B U F' L2 U2
L' R B U' D2 R2 B
L' R B D2 U' R2 B
B2 L' R B U' R2 B
D2 L' U F L2 R U2
D2 L' U F R L2 U2
R L' D2 B U' R2 B
B2 L' U' L R' B L
B2 L' U' L' R' B L
B2 L' U' L2 R' B L
B2 L' U' R' L B L
B2 L' U' R' L' B L
B2 L' U' R' L2 B L
B2 L' U' R' D B L
B2 L' U' R' D' B L
B2 L' U' R' D2 B L
B2 L' U' R' B L D
B2 L' U' R' B L D'
B2 L' U' R' B L D2
B2 L' U' R' B D L
B2 L' U' R' B D' L
B2 L' U' R' B D2 L
B L' U' R' B L R'
B L' U' R' B R' L
B L' U' B L R' B
B L' U' B R' L B
R L' B U L2 F' U2
R L' B U F' L2 U2
R L' B U' D2 R2 B
R L' B D2 U' R2 B
B2 L' F U' R' B L
B2 L' F' U' R' B L
B2 L' F2 U' R' B L
B L' B U' R' B L
B' L' B' U' R' B L
L' U L2 R F' U2 L'
L' U L2 R' U2 B L
L' U L2 F R F' U2
L' U R L2 F' U2 L'
L' U R F' L2 U2 L
L' U R' L2 U2 B L
L' U F L2 R F' U2
L' U F R L2 F' U2
L' U F R F' L2 U2
B2 R L' B U' R2 B
L' U' R D2 R2 B L
L' U' R' D2 B L R2
L' U' R' D2 B R2 L
B2 R B L' U' R2 B
L' U' R' B D2 L R2
L' U' R' B D2 R2 L
L' U' D2 R2 B L B'
L' U' D2 B L R2 B'
L' U' D2 B L B' R2
L' U' D2 B R2 L B'
L' U' B L B2 R' B
L' U' B D2 L R2 B'
L' U' B D2 L B' R2
L' U' B D2 R2 L B'
L' D R F2 B R' U'
L' D R B R' F2 U'
L' D R B F2 R' U'
L' D F2 R B R' U'
B2 U' R' B L D F2
L' D2 U' R2 B L B'
L' D2 U' B L R2 B'
L' D2 U' B L B' R2
L' D2 U' B R2 L B'
R B L' R2 U' B R'
R B L' U' R2 B R'
R B R2 L' U' B R'
B2 F U' R' F' B L
B2 F U' R' B L F'
B2 F U' R' B F' L
U2 B' L' B' U' R' B
F B2 U' R' F' B L
F B2 U' R' B L F'
F B2 U' R' B F' L
