F U2 F2 B' U' B
L2 F U D R2 B'
L2 F U D B' R2
U' F U' F2 B' U'
U' F U' B' F2 U'
L2 F U B' D R2
F U2 B' F2 U' B
L2 F U2 F2 U' B'
L2 F D U R2 B'
L2 F D U B' R2
L2 F D2 B2 U B
U2 F' D R2 B' U'
U2 F' D B' R2 U'
U2 F' D2 B' U' B'
U2 F' B' U F2 U2
U2 F' B' U' D2 B2
U2 F' B' D R2 U'
U2 F' B' D2 U' B2
F' B' U F2 U2 F2
B' F' U F2 U2 F2
U2 B' F' U F2 U2
U2 B' F' U' D2 B2
U2 B' F' D R2 U'
U2 B' F' D2 U' B2
L2 R2 F B R2 U B2
R2 L2 F B R2 U B2
L2 R2 B R2 F U B2
R2 L2 B R2 F U B2
L2 R2 B F R2 U B2
R2 L2 B F R2 U B2
B2 L2 U2 F' B U' B2
B2 L2 U2 B F' U' B2
B L2 U2 F' B2 U' B
B L2 U2 B2 F' U' B
F L2 D F U R2 B
D2 L2 F U D R2 B'
D2 L2 F U D B' R2
D' L2 F U D R2 B'
D2 L2 F U B' D R2
D' L2 F U D B' R2
D' L2 F U B' D R2
D2 L2 F U2 F2 U' B'
D' L2 F U2 F2 U' B'
D2 L2 F D U R2 B'
D2 L2 F D U B' R2
D' L2 F D U R2 B'
D' L2 F D U B' R2
D2 L2 F D2 B2 U B
D' L2 F D2 B2 U B
D L2 F U D R2 B'
D L2 F U D B' R2
D L2 F U B' D R2
F2 L2 F D' B' L2 U
D L2 F U2 F2 U' B'
D L2 F D U R2 B'
D L2 F D U B' R2
F2 L2 F D2 B' U B'
F2 L2 F B' U D2 B2
F2 L2 F B' U' F2 U2
F2 L2 F B' D' L2 U
F2 L2 F B' D2 U B2
D L2 F D2 B2 U B
F2 L2 B' F U D2 B2
F2 L2 B' F U' F2 U2
F2 L2 B' F D' L2 U
F2 L2 B' F D2 U B2
U' R F U' B' U' R'
U2 R B' U F U2 R
F R' U' F2 B' L' U'
F R' U' B' F2 L' U'
L U2 D F' R B U'
L2 U2 F' U' D' B' L2
L2 U2 F' U' B' D' L2
L2 U2 F' U2 F2 U B'
L2 U2 F' D' U' B' L2
L2 U2 F' D2 B2 U' B
L U2 F' U' B L B'
F' R2 B' D2 L2 U' B2
L D U2 F' R B U'
L2 D F U D R2 B'
L2 D F U D B' R2
L2 D F U B' D R2
L2 D F U2 F2 U' B'
L2 D F D U R2 B'
L2 D F D U B' R2
L2 D F D2 B2 U B
U' D F U' F2 B' U'
U' D F U' B' F2 U'
U2 D F' D R2 B' U'
U2 D F' D B' R2 U'
U2 D F' D2 B' U' B'
U2 D F' B' U F2 U2
U2 D F' B' U' D2 B2
U2 D F' B' D R2 U'
U2 D F' B' D2 U' B2
B' U F U' F2 U' F
B' U F U2 D F' R2
B' U F D U2 F' R2
B' U F D' L2 U2 F'
F' U F2 U' B' U' F2
U2 D B' F' U F2 U2
U2 D B' F' U' D2 B2
U2 D B' F' D R2 U'
U2 D B' F' D2 U' B2
L2 D' F U D R2 B'
L2 D' F U D B' R2
L2 D' F U B' D R2
L2 D' F U2 F2 U' B'
L2 D' F D U R2 B'
L2 D' F D U B' R2
L2 D' F D2 B2 U B
D' U' F U' F2 B' U'
U' D' F U' F2 B' U'
D' U' F U' B' F2 U'
U' D' F U' B' F2 U'
D2 U' F U' F2 B' U'
D2 U' F U' B' F2 U'
D U' F U' F2 B' U'
D U' F U' B' F2 U'
U2 D' F' D R2 B' U'
U2 D' F' D B' R2 U'
U2 D' F' D2 B' U' B'
U2 D' F' B' U F2 U2
U2 D' F' B' U' D2 B2
U2 D' F' B' D R2 U'
U2 D' F' B' D2 U' B2
F U' D B' U' R2 F'
U2 D' B' F' U F2 U2
U2 D' B' F' U' D2 B2
U2 D' B' F' D R2 U'
U2 D' B' F' D2 U' B2
B' U' F D' L2 U2 L2
B2 U' F U' F2 B U'
B2 U' F U' B F2 U'
B U' F U' F2 B2 U'
B U' F U' B2 F2 U'
B U' F U2 D L2 R2
B U' F U2 D R2 L2
B U' F D U2 L2 R2
B U' F D U2 R2 L2
B U' F D' L2 R2 U2
B U' F D' R2 L2 U2
F2 U' F' U' F2 B' U'
F2 U' F' U' B' F2 U'
F U' F2 B' U B U2
F U' B' U' D R2 F'
F U' B' D U' R2 F'
F U' B' F2 U B U2
U' D2 F U' F2 B' U'
U' D2 F U' B' F2 U'
L2 D2 F U D R2 B'
L2 D2 F U D B' R2
L2 D2 F U B' D R2
L2 D2 F U2 F2 U' B'
L2 D2 F D U R2 B'
L2 D2 F D U B' R2
D' U2 F' D R2 B' U'
L2 D2 F D2 B2 U B
D' U2 F' D B' R2 U'
D2 U2 F' D R2 B' U'
D' U2 F' D2 B' U' B'
D2 U2 F' D B' R2 U'
D' U2 F' B' U F2 U2
D' U2 F' B' U' D2 B2
D' U2 F' B' D R2 U'
D' U2 F' B' D2 U' B2
D2 U2 F' D2 B' U' B'
D2 U2 F' B' U F2 U2
D2 U2 F' B' U' D2 B2
D2 U2 F' B' D R2 U'
D2 U2 F' B' D2 U' B2
U2 D2 F' D R2 B' U'
U2 D2 F' D B' R2 U'
U2 D2 F' D2 B' U' B'
U2 D2 F' B' U F2 U2
U2 D2 F' B' U' D2 B2
U2 D2 F' B' D R2 U'
U2 D2 F' B' D2 U' B2
D U2 F' D R2 B' U'
D U2 F' D B' R2 U'
D U2 F' D2 B' U' B'
D U2 F' B' U F2 U2
D U2 F' B' U' D2 B2
D U2 F' B' D R2 U'
D U2 F' B' D2 U' B2
F U2 R F2 B' U' B
F U2 R B' F2 U' B
D' U2 B' F' U F2 U2
D' U2 B' F' U' D2 B2
D' U2 B' F' D R2 U'
D' U2 B' F' D2 U' B2
D2 U2 B' F' U F2 U2
D2 U2 B' F' U' D2 B2
D2 U2 B' F' D R2 U'
D2 U2 B' F' D2 U' B2
F2 U2 R2 F B' U' B2
F2 U2 R2 B' F U' B2
F U2 R' F2 B' U' B
F U2 R' B' F2 U' B
U2 D2 B' F' U F2 U2
U2 D2 B' F' U' D2 B2
U2 D2 B' F' D R2 U'
U2 D2 B' F' D2 U' B2
F' U2 D B' R2 F' U'
D U2 B' F' U F2 U2
D U2 B' F' U' D2 B2
D U2 B' F' D R2 U'
D U2 B' F' D2 U' B2
F U2 R2 F2 B' U' B
F U2 R2 B' F2 U' B
F U2 D B' U' B R2
F2 U2 F D R2 B' U'
F2 U2 F D B' R2 U'
F2 U2 F D2 B' U' B'
F2 U2 F B' U F2 U2
F2 U2 F B' U' D2 B2
F2 U2 F B' D R2 U'
F2 U2 F B' D2 U' B2
U' F R U' F2 B' U'
U' F R U' B' F2 U'
B2 U2 F' D B R2 U'
B2 U2 F' D2 B U' B
B2 U2 F' B U F2 U2
B2 U2 F' B U' D2 B2
B2 U2 F' B D R2 U'
B2 U2 F' B D2 U' B2
U' F R' U' F2 B' U'
U' F R' U' B' F2 U'
B U2 F' D R2 U' L2
B U2 F' B2 U F2 U2
B U2 F' B2 U' D2 B2
B U2 F' B2 D R2 U'
B U2 F' B2 D2 U' B2
U' F R2 U' F2 B' U'
U' F R2 U' B' F2 U'
F U2 F2 R B' U' B
F U2 F2 R' B' U' B
F U2 F2 R2 B' U' B
B2 U2 B F' U F2 U2
B2 U2 B F' U' D2 B2
B2 U2 B F' D R2 U'
B2 U2 B F' D2 U' B2
F U2 F2 D B' U' B
F U2 F2 D' B' U' B
F U2 F2 D2 B' U' B
F U2 F2 B' U' D B
F U2 F2 B' U' D' B
F U2 F2 B' U' D2 B
F U2 F2 B' U' B D
F U2 F2 B' U' B D'
F U2 F2 B' U' B D2
F U2 F2 B' D U' B
F U2 F2 B' D' U' B
F U2 F2 B' D2 U' B
F2 U2 B' R2 F U' B
F' U2 B' D R2 F' U'
F2 U2 B' F U F2 U2
F2 U2 B' F U' D2 B2
F2 U2 B' F D R2 U'
F2 U2 B' F D2 U' B2
L2 F U R D R2 B'
L2 F U R D B' R2
L2 F U R B' D R2
L2 F U R' D R2 B'
L2 F U R' D B' R2
L2 F U R' B' D R2
L2 F U R2 D R2 B'
L2 F U R2 D B' R2
L2 F U R2 B' D R2
L2 F U D R B' R
L2 F U D R2 D B'
L2 F U D R2 D' B'
L2 F U D R2 D2 B'
L2 F U D R2 B' D
L2 F U D R2 B' D'
L2 F U D R2 B' D2
L2 F U D B R2 B2
L2 F U D B' R2 D
L2 F U D B' R2 D'
L2 F U D B' R2 D2
L2 F U D' B' D2 R2
U' F U' D B' U' R2
U' F U' F2 D B' U'
U' F U' F2 D' B' U'
U' F U' F2 D2 B' U'
U' F U' F2 B' U' D
U' F U' F2 B' U' D'
U' F U' F2 B' U' D2
U' F U' F2 B' D U'
U' F U' F2 B' D' U'
U' F U' F2 B' D2 U'
L2 F U B' R D R2
L2 F U B' R' D R2
L2 F U B' R2 D R2
L2 F U B' U F2 U'
L2 F U B' D R2 D
L2 F U B' D R2 D'
L2 F U B' D R2 D2
F U2 B' U' D B R2
F U2 B' U' B D R2
L2 F U B2 D B R2
U' F U' B' U' D R2
U' F U' B' D U' R2
U' F U' B' F2 U' D
U' F U' B' F2 U' D'
U' F U' B' F2 U' D2
U' F U' B' F2 D U'
U' F U' B' F2 D' U'
U' F U' B' F2 D2 U'
F U2 B' D U' B R2
F U2 B' F2 U' D B
F U2 B' F2 U' D' B
F U2 B' F2 U' D2 B
F U2 B' F2 U' B D
F U2 B' F2 U' B D'
F U2 B' F2 U' B D2
F U2 B' F2 D U' B
F U2 B' F2 D' U' B
F U2 B' F2 D2 U' B
L2 F U' D' L2 F U2
U2 F U' F2 B' U' F2
U2 F U' B' F2 U' F2
B U2 B2 F' U F2 U2
B U2 B2 F' U' D2 B2
B U2 B2 F' D R2 U'
B U2 B2 F' D2 U' B2
D' F U2 F2 B' U' B
D2 F U2 F2 B' U' B
D' F U2 B' F2 U' B
D2 F U2 B' F2 U' B
L2 F U2 R F2 U' B'
L2 F U2 R' F2 U' B'
L2 F U2 R2 F2 U' B'
U' F D U' B' U' R2
L2 F U2 F2 R U' B'
L2 F U2 F2 R' U' B'
L2 F U2 F2 R2 U' B'
L2 F U2 F2 U' D B'
L2 F U2 F2 U' D' B'
L2 F U2 F2 U' D2 B'
L2 F U2 F2 U' B' D
L2 F U2 F2 U' B' D'
L2 F U2 F2 U' B' D2
L2 F U2 F2 D U' B'
L2 F U2 F2 D' U' B'
L2 F U2 F2 D2 U' B'
U F U' F2 B' U' F
U F U' B' F2 U' F
U' F D' L2 U F U
D F U2 F2 B' U' B
L2 F D U R B' R
L2 F D U R2 D B'
L2 F D U R2 D' B'
L2 F D U R2 D2 B'
L2 F D U R2 B' D
L2 F D U R2 B' D'
L2 F D U R2 B' D2
L2 F D U B R2 B2
L2 F D U B' R2 D
L2 F D U B' R2 D'
L2 F D U B' R2 D2
D F U2 B' F2 U' B
L2 F D B U R2 B2
L2 F D B U B2 R2
L2 F D B2 U B R2
L2 F D' U B' D2 R2
L2 F D' U' L2 F U2
F D L2 F U R2 B
L2 F D2 B2 L U B
L2 F D2 B2 L' U B
L2 F D2 B2 L2 U B
L2 F D2 B2 U D B
L2 F D2 B2 U D' B
L2 F D2 B2 U D2 B
L2 F D2 B2 U B D
L2 F D2 B2 U B D'
L2 F D2 B2 U B D2
L2 F D2 B2 D U B
L2 F D2 B2 D' U B
L2 F D2 B2 D2 U B
F' D R2 D' B' U' F2
L2 F B U B2 D R2
F' D R2 D2 B' L2 U'
L2 F B U2 F2 U' B2
L2 F B D L2 U R2
F' D R2 B' U' D' F2
F' D R2 B' U2 R2 U
F' D R2 B' D' U' F2
F' D R2 B' D2 L2 U'
L2 F B' D2 B2 U B2
L2 F B2 U D B R2
L2 F B2 U B D R2
L2 F B2 U2 F2 U' B
L2 F B2 D U B R2
L2 F B2 D2 B2 U B'
F' D U2 B' R2 F' U'
F D U' B' U' R2 F'
B' D F' U F2 U2 F2
F D U2 B' U' B R2
U2 F' R D R2 B' U'
U2 F' R D B' R2 U'
U2 F' R D2 B' U' B'
U2 F' R B' U F2 U2
U2 F' R B' U' D2 B2
U2 F' R B' D R2 U'
U2 F' R B' D2 U' B2
U2 F' R' D R2 B' U'
U2 F' R' D B' R2 U'
U2 F' R' D2 B' U' B'
U2 F' R' B' U F2 U2
U2 F' R' B' U' D2 B2
U2 F' R' B' D R2 U'
U2 F' R' B' D2 U' B2
F' D B' R2 U' D' F2
F' D B' R2 U2 R2 U
F' D B' R2 D' U' F2
F' D B' R2 D2 L2 U'
U2 F' R2 D R2 B' U'
U2 F' R2 D B' R2 U'
U2 F' R2 D2 B' U' B'
U2 F' R2 B' U F2 U2
U2 F' R2 B' U' D2 B2
U2 F' R2 B' D R2 U'
U2 F' R2 B' D2 U' B2
U2 F' U F2 U' B' U'
U2 F' U2 D' L2 F U
U' F' D B' R2 U' F'
U2 F' D R B' R U'
U2 F' D R2 D B' U'
U2 F' D R2 D' B' U'
U2 F' D R2 D2 B' U'
U2 F' D R2 B' U' D
U2 F' D R2 B' U' D'
U2 F' D R2 B' U' D2
U2 F' D R2 B' D U'
U2 F' D R2 B' D' U'
U2 F' D R2 B' D2 U'
F' D' L2 F U2 F' U'
U2 F' D B R2 B2 U'
U2 F' D B' R2 U' D
U2 F' D B' R2 U' D'
U2 F' D B' R2 U' D2
U2 F' D B' R2 D U'
U2 F' D B' R2 D' U'
U2 F' D B' R2 D2 U'
U2 F' D B' U' D B2
U2 F' D B' D U' B2
U F' D R2 B' U' F
U2 F' D' U2 L2 F U
F D' L2 U F U F'
U2 F' D' B' U' D' B2
U2 F' D' B' U2 L2 U
U2 F' D' B' D' U' B2
U2 F' D' B' D2 R2 U'
U F' D B' R2 U' F
U2 F' D2 R B' U' B'
U2 F' D2 R' B' U' B'
U2 F' D2 R2 B' U' B'
U2 F' D2 B' R U' B'
U2 F' D2 B' R' U' B'
U2 F' D2 B' R2 U' B'
U2 F' D2 B' U' D B'
U2 F' D2 B' U' D' B'
U2 F' D2 B' U' D2 B'
U2 F' D2 B' U' B' D
U2 F' D2 B' U' B' D'
U2 F' D2 B' U' B' D2
U2 F' D2 B' D U' B'
U2 F' D2 B' D' U' B'
U2 F' D2 B' D2 U' B'
U' F' B' U F2 B U2
U' F' B' U B F2 U2
U' F' B' D R2 U' F'
D2 F' B' U F2 U2 F2
D' F' B' U F2 U2 F2
U2 F' B D R2 U' L2
U F' D2 B' U' F B'
U2 F' B' R U F2 U2
U F' D2 B' U' B' F
U2 F' B' R U' D2 B2
U2 F' B' R D R2 U'
U2 F' B' R D2 U' B2
U2 F' B' R' U F2 U2
U2 F' B' R' U' D2 B2
U2 F' B' R' D R2 U'
U2 F' B' R' D2 U' B2
U2 F' B' R2 U F2 U2
U2 F' B' R2 U' D2 B2
U2 F' B' R2 D R2 U'
U2 F' B' R2 D2 U' B2
U2 F' B' U F2 U2 D
U2 F' B' U F2 U2 D'
U2 F' B' U F2 U2 D2
U2 F' B' U F2 D U2
U2 F' B' U F2 D' U2
U2 F' B' U F2 D2 U2
U2 F' B' U' D2 B2 D
U2 F' B' U' D2 B2 D'
U2 F' B' U' D2 B2 D2
U2 F' B' U' B D2 B2
