F' R F2 U B2 R'
B2 F' R' D' L2 F2
B2 F' R' D' F2 L2
F' B2 R' D' L2 F2
F' B2 R' D' F2 L2
F' L U R F2 U B2
F L U2 B2 D L2 F2
F L U2 B2 D F2 L2
D' L D' F2 B' U2 L
D' L D' B' F2 U2 L
F L' U L2 U2 L2 B2
F L' U L2 U2 B2 L2
F L' U B2 D2 R2 F2
F L' U B2 D2 F2 R2
F' L2 R F2 U R B2
F' L2 R F2 U B2 R
F' R L2 F2 U R B2
F' R L2 F2 U B2 R
F' R U B2 R' D' L2
F' R U B2 D' L2 R'
F' R U B2 D' R' L2
D R F L2 U F2 R
D R F' D' B2 L2 R'
D R F' D' B2 R' L2
F' R F2 U R B2 R'
F' R F2 U R' B2 R'
F' R F2 U R2 B2 R'
F' R F2 U B2 R' D
F' R F2 U B2 R' D'
F' R F2 U B2 R' D2
F' R F2 U B2 D R'
F' R F2 U B2 D' R'
F' R F2 U B2 D2 R'
F' R F2 U' L U2 B2
F' R F2 B U B R'
F' R B F2 U B R'
B2 R' U' F U2 L' U'
B2 R' U' F' R F2 U
B2 R' F U L' U' L
B2 R' F' U' R F2 U
F' R' F2 R2 U B2 R'
F' R' B2 D' L2 R' F2
F' R' B2 D' L2 F2 R'
F' R' B2 D' R' L2 F2
F' R' B2 D' R' F2 L2
F' R' B2 D' F2 L2 R'
F' R' B2 D' F2 R' L2
B2 R2 D R F' D' L2
F' R2 F2 R' U B2 R'
F2 R2 B U' B R' F'
F U L' U' L B2 R'
F' U R F2 U B2 R'
F U F2 B2 R' D' F2
F' U B2 R' D' L2 F2
F' U B2 R' D' F2 L2
F U B2 R' U L' U'
F U B2 U L' U' R'
F U B2 F2 R' D' F2
F U' L U' L2 U' B2
F U' L U2 B2 D F2
F' U' R F2 U B2 R'
B2 U' F U2 L' U' R'
B2 U' F' R F2 U R2
F' U' B2 R' D' L2 F2
F' U' B2 R' D' F2 L2
F U2 L' U L2 U2 B2
F U2 L' U' B2 D2 R2
F' U2 R F2 U B2 R'
F2 U2 F' U B2 R' F'
D F L2 U F2 R F'
F U2 F U' B2 R' F'
F' U2 B2 R' D' L2 F2
F' U2 B2 R' D' F2 L2
B2 D R F' R2 D' L2
U' F' R F2 U B2 R'
R' F' R F2 U B2 R'
D F' L2 F2 U R F'
U2 F' R F2 U B2 R'
R2 F' R F2 U B2 R'
U F' R F2 U B2 R'
R F' R F2 U B2 R'
U' F' B2 R' D' L2 F2
U' F' B2 R' D' F2 L2
R' F' B2 R' D' L2 F2
R' F' B2 R' D' F2 L2
U2 F' B2 R' D' L2 F2
U2 F' B2 R' D' F2 L2
R2 F' B2 R' D' L2 F2
R2 F' B2 R' D' F2 L2
U F' B2 R' D' L2 F2
U F' B2 R' D' F2 L2
R F' B2 R' D' L2 F2
R F' B2 R' D' F2 L2
B2 F R' U L' U' L
B2 F U L' U' L R'
B2 F U L' U' R' L
B F U2 L' U' B R'
F B U2 L' U' B R'
B2 F' L R' D' L2 F2
B2 F' L R' D' F2 L2
B2 F' L' R' D' L2 F2
B2 F' L' R' D' F2 L2
B2 F' L2 R' D' L2 F2
B2 F' L2 R' D' F2 L2
B2 F' R' L D' L2 F2
B2 F' R' L D' F2 L2
B2 F' R' L' D' L2 F2
B2 F' R' L' D' F2 L2
B2 F' R' L2 D' L2 F2
B2 F' R' L2 D' F2 L2
B2 F' R' U' R2 F2 U
B2 F' R' U' F2 R2 U
B2 F' R' D' L F2 L
B2 F' R' D' L2 F2 D
B2 F' R' D' L2 F2 D'
B2 F' R' D' L2 F2 D2
B2 F' R' D' F' L2 F'
B2 F' R' D' F2 L2 D
B2 F' R' D' F2 L2 D'
B2 F' R' D' F2 L2 D2
B2 F' U' R F2 U R2
B2 F' D' L2 R' D' F2
B2 F' D' R' L2 D' F2
F' B2 L R' D' L2 F2
F' B2 L R' D' F2 L2
F' B2 L' R' D' L2 F2
F' B2 L' R' D' F2 L2
F' B2 L2 R' D' L2 F2
F' B2 L2 R' D' F2 L2
F' B2 R' L D' L2 F2
F' B2 R' L D' F2 L2
F' B2 R' L' D' L2 F2
F' B2 R' L' D' F2 L2
F' B2 R' L2 D' L2 F2
F' B2 R' L2 D' F2 L2
F' B2 R' U' R2 F2 U
F' B2 R' U' F2 R2 U
F' B2 R' D' L F2 L
F' B2 R' D' L2 F2 D
F' B2 R' D' L2 F2 D'
F' B2 R' D' L2 F2 D2
F' B2 R' D' F' L2 F'
F' B2 R' D' F2 L2 D
F' B2 R' D' F2 L2 D'
F' B2 R' D' F2 L2 D2
F B2 R' U L' U' L
F' B2 U' R F2 U R2
F B2 U L' U' L R'
F B2 U L' U' R' L
U' B2 F' R' D' L2 F2
U' B2 F' R' D' F2 L2
F' B2 D' L2 R' D' F2
R' B2 F' R' D' L2 F2
R' B2 F' R' D' F2 L2
F' B2 D' R' L2 D' F2
U2 B2 F' R' D' L2 F2
U2 B2 F' R' D' F2 L2
R2 B2 F' R' D' L2 F2
R2 B2 F' R' D' F2 L2
U B2 F' R' D' L2 F2
U B2 F' R' D' F2 L2
R B2 F' R' D' L2 F2
R B2 F' R' D' F2 L2
