F R B L B' U
B F L R B' U
B F L R B' U
F B L R B' U
F B L R B' U
B F L B' R U
F B L B' R U
B F R L B' U
F B R L B' U
F L R B L B2 U
F L R B' U2 R' U'
B L D' B' U L F
F L B L R B2 U
F L B L B2 R U
F L B R L B2 U
F L B' R U D B2
F L B' R U2 R2 U'
F L B' R D U B2
F L B' R D2 L2 U
F L' R U2 F R U'
F R L B L B2 U
F R L B' U2 R' U'
F R L' U2 F R U'
F R U R D' B R'
F R U D' R B R'
F R D' U R B R'
F R D' B L U R'
B R F L R B' U
B R F L B' R U
B R F R L B' U
F R B L D B' U
F R B L D' B' U
F R B L D2 B' U
F R B L B' U D
F R B L B' U D'
F R B L B' U D2
F R B L B' D U
F R B L B' D' U
F R B L B' D2 U
F R B2 L B' L U
B R' F L R B' U
B R' F L B' R U
D2 R' F B L R U
D2 R' F B R L U
B R' F R L B' U
D2 R' B F L R U
D2 R' B F R L U
F R' B L R2 B' U
F R' B L B' R2 U
F R' B R2 L B' U
L' U2 F R B L U'
D2 R2 F R B L U
F R2 D2 R' B L U
B R2 F L R B' U
B R2 F L B' R U
B R2 F R L B' U
F R2 B L B' R' U
B U F L B' U F
B U2 F L B' R' U
D' F R U R B R'
R' F R B L B' U
D' F R B L U R'
D F R U' L' U2 B'
D2 F R' B L R2 U
D2 F R' B R2 L U
R2 F R B L B' U
R F R B L B' U
R' F B L R B' U
D' F B L R U R2
R' F B L B' R U
R' F B R L B' U
D' F B R L U R2
R2 F B L R B' U
R2 F B L B' R U
R2 F B R L B' U
R F B L R B' U
R F B L B' R U
R F B R L B' U
L' F' L' F2 B' R' U'
L' F' L' B' R' F2 U'
L' F' L' B' F2 R' U'
F2 D F' U R F' B
F2 D F' U R B F'
F D' R U R B R'
F D' R B L U R'
F D' B L R U R2
F D' B R L U R2
F D2 R' B L R2 U
F D2 R' B R2 L U
B2 F L R B' L U
F2 B L F' R B' U
F2 B L F' B' R U
B2 F L B' L R U
B2 F L B' R L U
B F L R D B' U
B F L R D' B' U
B F L R D2 B' U
B F L R B' U D
B F L R B' U D'
B F L R B' U D2
B F L R B' D U
B F L R B' D' U
B F L R B' D2 U
F2 B L B' F' R U
B F L R' B' R2 U
B F L D R B' U
B F L D B' R U
B F L D' R B' U
B F L D' B' R U
F B L R D B' U
B F L D2 R B' U
F B L R D' B' U
F B L R D2 B' U
F B L R B' U D
F B L R B' U D'
F B L R B' U D2
F B L R B' D U
F B L R B' D' U
F B L R B' D2 U
B F L D2 B' R U
F B L R' B' R2 U
B F L B R B2 U
B F L B' R U D
B F L B' R U D'
B F L B' R U D2
B F L B' R D U
B F L B' R D' U
B F L B' R D2 U
B F L B' D R U
B F L B' D' R U
F B L D R B' U
B F L B' D2 R U
F B L D B' R U
F B L D' R B' U
F B L D' B' R U
F B L D2 R B' U
F B L D2 B' R U
F B L B R B2 U
F B L B' R U D
F B L B' R U D'
F B L B' R U D2
F B L B' R D U
F B L B' R D' U
F B L B' R D2 U
F B L B' D R U
F B L B' D' R U
F B L B' D2 R U
B2 F R L B' L U
B2 F R B' L B' U
B F R L D B' U
B F R L D' B' U
B F R L D2 B' U
R' B F L R B' U
B F R L B' U D
B F R L B' U D'
B F R L B' U D2
B F R L B' D U
B F R L B' D' U
B F R L B' D2 U
R' B F L B' R U
D' B F L R U R2
R' B F R L B' U
D' B F R L U R2
F B R L D B' U
F B R L D' B' U
F B R L D2 B' U
F B R L B' U D
F B R L B' U D'
F B R L B' U D2
F B R L B' D U
F B R L B' D' U
F B R L B' D2 U
B F R' L B' R2 U
R2 B F L R B' U
R2 B F L B' R U
F B R' L B' R2 U
R2 B F R L B' U
R B F L R B' U
R B F L B' R U
R B F R L B' U
F B2 L R B' L U
B F2 L F' R B' U
B F2 L F' B' R U
B F2 L B' F' R U
F B2 L B' L R U
F B2 L B' R L U
F B2 R L B' L U
F B2 R B' L B' U
