B' L2 F R F' U'
F R F' B' L2 U'
F R B' L2 F' U'
F R B' F' L2 U'
B' F L2 R F' U'
B' F R L2 F' U'
B' F R F' L2 U'
F B' L2 R F' U'
F B' R L2 F' U'
F B' R F' L2 U'
L2 R F' U2 L' F2 U
B' L F L R F' U'
B' L F R L F' U'
B' L F R F' L U'
L2 R' U2 F B L U
L2 R' U2 B F L U
B' L' D2 L' F R U'
B' L' F R F' L' U'
R' L2 U2 F B L U
R' L2 U2 B F L U
B' L2 R F R F2 U'
B' L2 R F' U2 L' U
F L2 R F' U' D' L2
F L2 R F' U2 F2 U
F L2 R F' D' U' L2
F L2 R F' D2 B2 U'
B' L2 R' U2 B L U
R L2 F' U2 L' F2 U
B' L2 U' D R B R'
B' L2 D U' R B R'
B' L2 F R D F' U'
B' L2 F R D' F' U'
B' L2 F R D2 F' U'
B' L2 F R F' U' D
B' L2 F R F' U' D'
B' L2 F R F' U' D2
B' L2 F R F' D U'
B' L2 F R F' D' U'
B' L2 F R F' D2 U'
B L2 F R F' B2 U'
B L2 F R B2 F' U'
B2 L2 F B R F' U'
B L2 F B2 R F' U'
B' L2 F2 R F' R U'
B2 L2 B F R F' U'
B L2 B2 F R F' U'
B' R L2 F R F2 U'
B' R L2 F' U2 L' U
F R L2 F' U' D' L2
F R L2 F' U2 F2 U
F R L2 F' D' U' L2
F R L2 F' D2 B2 U'
F R D F' B' U' F'
F R D B' F' U' F'
B' R F L2 R F2 U'
B' R F R L2 F2 U'
B' R F R F2 L2 U'
B' R F' L2 U2 L U
F2 R F' R B' L2 U'
F R F B' L2 F2 U'
B R F' L2 B2 R' U'
F R F' L2 U2 F U
U' R F' B' L2 U' B2
F2 R F' B' L2 R U'
F2 R F' B' R L2 U'
U2 R F' B' L2 R' U'
U2 R F' B' R' L2 U'
F R F' D B' U' F2
F R F' B L2 B2 U'
F R F' B' L2 U' D
F R F' B' L2 U' D'
F R F' B' L2 U' D2
F R F' B' L2 D U'
F R F' B' L2 D' U'
F R F' B' L2 D2 U'
F R F' B' U' D F2
F R F' B' D U' F2
F R F' B2 L2 B U'
F R B L2 F' B2 U'
F R B L2 B2 F' U'
U' R B' L2 F' U' B2
F2 R B' L2 F' R U'
U2 R B' L2 F' R' U'
F R B F' L2 B2 U'
F R B' L F' L U'
F R B' L2 D F' U'
U' R B' F' L2 U' B2
F R B' L2 D' F' U'
F R B' L2 D2 F' U'
F R B' L2 F' U' D
F R B' L2 F' U' D'
F R B' L2 F' U' D2
F R B' L2 F' D U'
F R B' L2 F' D' U'
F R B' L2 F' D2 U'
F2 R B' F' L2 R U'
F2 R B' F' R L2 U'
U2 R B' F' L2 R' U'
U2 R B' F' R' L2 U'
F R B' D F' U' F'
F R B' F L2 F2 U'
F R B' F' L2 U' D
F R B' F' L2 U' D'
F R B' F' L2 U' D2
F R B' F' L2 D U'
F R B' F' L2 D' U'
F R B' F' L2 D2 U'
F R B' F' U' D F2
F R B' F' D U' F2
F R B2 L2 F' B U'
F R B2 L2 B F' U'
F R B2 F' L2 B U'
B' R' L2 U2 B L U
B R' B2 L2 F R U'
R U2 F' B' L2 R' U'
R U2 F' B' R' L2 U'
R U2 B' L2 F' R' U'
R U2 B' F' L2 R' U'
R U2 B' F' R' L2 U'
U2 R2 B' L2 R' F' U'
U2 R2 B' R' L2 F' U'
U2 R2 B' R' F' L2 U'
F U R F' B' L2 U'
F U R B' L2 F' U'
F U R B' F' L2 U'
F U B' L2 R F' U'
F U B' R L2 F' U'
F U B' R F' L2 U'
F U' R F' B' L2 U'
F U' R B' L2 F' U'
F U' R B' F' L2 U'
B' U' D R F2 B R'
B' U' D R B R' F2
B' U' D R B F2 R'
B' U' D F2 R B R'
F U' B' L2 R F' U'
F U' B' R L2 F' U'
F U' B' R F' L2 U'
F U2 R F' B' L2 U'
F U2 R B' L2 F' U'
F U2 R B' F' L2 U'
L2 F R F' U2 F U
R F R F2 B' L2 U'
R F R B' L2 F2 U'
R F R B' F2 L2 U'
F U2 B' L2 R F' U'
F U2 B' R L2 F' U'
F U2 B' R F' L2 U'
B' D U' R F2 B R'
B' D U' R B R' F2
B' D U' R B F2 R'
B' D U' F2 R B R'
R F B' L2 R F2 U'
R F B' R L2 F2 U'
R F B' R F2 L2 U'
R F' L2 U2 F L U
R F' B L2 B2 R' U'
R F' B' L2 U2 L U
L2 F2 R F' R B U'
D F2 B D L2 R' B
D F2 B D R' L2 B
D F2 B D R' B L2
B' F L R F' L U'
B' F L2 R D F' U'
B' F L2 R D' F' U'
B' F L2 R D2 F' U'
B' F L2 R F' U' D
B' F L2 R F' U' D'
B' F L2 R F' U' D2
B' F L2 R F' D U'
B' F L2 R F' D' U'
B' F L2 R F' D2 U'
B' F R L F' L U'
B' F R L2 D F' U'
B' F R L2 D' F' U'
B' F R L2 D2 F' U'
B' F R L2 F' U' D
B' F R L2 F' U' D'
B' F R L2 F' U' D2
B' F R L2 F' D U'
B' F R L2 F' D' U'
B' F R L2 F' D2 U'
B2 F L2 B R F' U'
B' F R D F' U' F'
B F L2 R F' B2 U'
B F L2 R B2 F' U'
B' F R F L2 F2 U'
B' F R F' L2 U' D
B' F R F' L2 U' D'
B' F R F' L2 U' D2
B' F R F' L2 D U'
B' F R F' L2 D' U'
B' F R F' L2 D2 U'
B' F R F' U' D F2
B' F R F' D U' F2
F B L2 R F' B2 U'
F B L2 R B2 F' U'
B F L2 B2 R F' U'
B F R L2 F' B2 U'
B F R L2 B2 F' U'
F B L2 B2 R F' U'
F B R L2 F' B2 U'
B F R F' L2 B2 U'
F B R L2 B2 F' U'
B F R F' B2 L2 U'
B F R B2 L2 F' U'
B F R B2 F' L2 U'
F B R F' L2 B2 U'
F B R F' B2 L2 U'
F B R B2 L2 F' U'
F B R B2 F' L2 U'
R B F' L2 B2 R' U'
D B F2 D L2 R' B
D B F2 D R' L2 B
D B F2 D R' B L2
U' B' L2 R F' U' B
U' B' R L2 F' U' B
U2 B' L2 R F' R2 U'
U2 B' L2 R' U2 B U
U' B' R F' L2 U' B
D B' L2 U' F2 R B
U2 B' R L2 F' R2 U'
U2 B' R F' L2 R2 U'
U2 B' R F' R2 L2 U'
U2 B' R' L2 U2 B U
R B' L2 F R F2 U'
R B' L2 F' U2 L' U
F B' L R F' L U'
D B' U L F U2 F
F2 B' L2 R F' R U'
F2 B' L2 F' R F' U'
F2 B' R L2 F' R U'
F B' L2 R D F' U'
F B' L2 R D' F' U'
F B' L2 R D2 F' U'
F B' L2 R F' U' D
F B' L2 R F' U' D'
F B' L2 R F' U' D2
F B' L2 R F' D U'
F B' L2 R F' D' U'
F B' L2 R F' D2 U'
F2 B' R F' L2 R U'
F2 B' R F' R L2 U'
F B' R L F' L U'
F B' R L2 D F' U'
F B' R L2 D' F' U'
F B' R L2 D2 F' U'
F B' R L2 F' U' D
F B' R L2 F' U' D'
F B' R L2 F' U' D2
F B' R L2 F' D U'
F B' R L2 F' D' U'
F B' R L2 F' D2 U'
F B' R D F' U' F'
F B' R F L2 F2 U'
F B' R F' L2 U' D
F B' R F' L2 U' D'
F B' R F' L2 U' D2
F B' R F' L2 D U'
F B' R F' L2 D' U'
F B' R F' L2 D2 U'
F B' R F' U' D F2
F B' R F' D U' F2
R B' F L2 R F2 U'
R B' F R L2 F2 U'
R B' F R F2 L2 U'
R B' F' L2 U2 L U
R' B2 L2 F B R U'
R' B2 L2 B F R U'
B' F2 L2 R F' R U'
B' F2 L2 F' R F' U'
B' F2 R L2 F' R U'
B' F2 R F' L2 R U'
B' F2 R F' R L2 U'
F B2 L2 B R F' U'
