D L U F2 L' R'
D L U F2 R' L'
D F2 L' R' D' B2
D F2 L' D' R' B2
L2 F2 R U' L' R2
L2 F2 R U' R2 L'
D F2 R' L' D' B2
B2 L R U' L R2 U'
B2 L R U' R2 L U'
D2 L R2 U R D2 L2
D2 L R2 U' R' U2 R2
L R U2 L U' L' R2
L R U2 L U' R2 L'
L2 R U2 L' U L R2
L2 R U2 L' U R2 L
R L U2 L U' L' R2
R L U2 L U' R2 L'
D2 L R2 B2 U L R
D2 L R2 B2 U R L
D L U L F2 L' R'
D L U L F2 R' L'
D L U L' F2 L' R'
D L U L' F2 R' L'
D' L U R' D2 L2 F2
D' L U R' D2 F2 L2
D L U L2 F2 L' R'
D L U L2 F2 R' L'
D L U R' F2 D2 L2
D2 L U D' F2 L' R'
D2 L U D' F2 R' L'
D' L U D2 F2 L' R'
D' L U D2 F2 R' L'
D L U F R' F L'
D L U F2 L' R' D
D L U F2 L' R' D'
D L U F2 L' R' D2
D L U F2 L' D R'
D L U F2 L' D' R'
D L U F2 L' D2 R'
D L U F2 R' L' D
D L U F2 R' L' D'
D L U F2 R' L' D2
D L U F2 R' D L'
D L U F2 R' D' L'
D L U F2 R' D2 L'
D L U F2 D L' R'
D L U F2 D R' L'
D L U F2 D' L' R'
D L U F2 D' R' L'
D L U F2 D2 L' R'
D L U F2 D2 R' L'
D' L U' R B2 U2 R2
D L U' R U2 R2 F2
D L U' R U2 F2 R2
D' L U' B2 L R U2
D' L U' B2 R L U2
F2 L U2 L U' L R'
F2 L U2 L U' R' L
D2 L D' U F2 L' R'
D2 L D' U F2 R' L'
D' L D2 U F2 L' R'
D' L D2 U F2 R' L'
D L F U R' F L'
D L F U F L' R'
D L F U F R' L'
D2 L F2 R2 U L' R
D2 L F2 R2 U R L'
R2 L B2 R' U L R2
R2 L B2 R' U R2 L
D2 L' D' F2 L' R' B2
D2 L' D' F2 R' L' B2
D2 L' D' F2 R' B2 L'
F2 L' F2 R' D' F2 B2
F2 L' F2 R' D' B2 F2
D L' F2 R' D' L' B2
D L' F2 R' D' B2 L'
D L' F2 D' L' R' B2
D L' F2 D' R' L' B2
D L' F2 D' R' B2 L'
R L2 U2 L' U L R2
R L2 U2 L' U R2 L
B2 L2 R' U L' R2 U2
B2 L2 R' U R2 L' U2
B' L2 U R U2 B R'
F2 L2 U' L R' D' B2
F2 L2 U' L D' R' B2
F2 L2 U' R' L D' B2
F2 L2 U2 L' U L2 R'
F2 L2 U2 L' U R' L2
L R2 B2 R' U L R2
L R2 B2 R' U R2 L
R U L U2 L U' R2
R U L D B2 R' U
R U L B2 R' U R'
L U L' D F2 L' R'
L U L' D F2 R' L'
L2 U R U L' U R2
U' L2 F2 R U' L' R2
U' L2 F2 R U' R2 L'
F2 L2 F2 R U' L R2
F2 L2 F2 R U' R2 L
U2 L2 F2 R U' L' R2
U2 L2 F2 R U' R2 L'
D L2 F2 L' R' D B2
B2 L2 F2 R' U' L' R2
B2 L2 F2 R' U' R2 L'
D L2 F2 R' L' D B2
D L2 F2 R' D L' B2
D L2 F2 R' D B2 L'
U L2 F2 R U' L' R2
U L2 F2 R U' R2 L'
R' U D B2 R' U' F2
R U D L B2 U F2
B2 R L U' L R2 U'
B2 R L U' R2 L U'
D2 R U L R U R
D2 R U R L U R
D R U L U R2 F2
D R U L U F2 R2
L U F2 L' R' D F2
L U F2 L' D R' F2
L U F2 L' D F2 R'
L U F2 R' L' D F2
B2 R U2 D F2 B2 R'
B2 R U2 D B2 R' F2
B2 R U2 D B2 F2 R'
B2 R D L U2 F2 B2
B2 R D L U2 B2 F2
B2 R D U2 F2 B2 R'
B2 R D U2 B2 R' F2
B2 R D U2 B2 F2 R'
B2 R D B2 R' F2 L'
B2 R D' L F2 B2 U2
B2 R D' L B2 F2 U2
B2 R D' F2 L B2 U2
B2 R D' F2 B2 U2 R'
B2 R D' B2 F2 U2 R'
R U' L2 U2 L' U R2
R U' L2 D' F2 R U'
R U' L2 F2 R U' R
L U' R U' L U' R2
D' R B2 U' R' U' R'
R' U' D2 L R2 U L
R' U' D2 R2 L U L
B2 R' L2 U L' R2 U2
B2 R' L2 U R2 L' U2
F2 R' D L' F2 D' B2
B2 R' D B2 U' R' F2
B2 R' D B2 U' F2 R'
F2 R' D2 L' D' F2 B2
F2 R' D2 L' D' B2 F2
L U2 L U R U2 R2
L U2 L U' R' D2 L2
L2 U2 L' U R' D2 L2
L U2 L F2 U' L' R'
L U2 L F2 U' R' L'
L2 U2 L' U' R U2 R2
L2 U2 L' F2 U L' R'
L2 U2 L' F2 U R' L'
D2 R2 L U R D2 L2
D2 R2 L U' R' U2 R2
D2 R2 L B2 U L R
D2 R2 L B2 U R L
L U2 F2 L U' L2 R'
L U2 F2 L U' R' L2
R' D U B2 R' U' F2
R D U L B2 U F2
U' D L U F2 L' R'
U' D L U F2 R' L'
U2 D L U F2 L' R'
U2 D L U F2 R' L'
D U L U F2 L' R'
D U L U F2 R' L'
U D L U F2 L' R'
U D L U F2 R' L'
R' D F2 U B2 R' U'
L2 D F2 R U' L' R2
L2 D F2 R U' R2 L'
R' D B2 R' U' R F2
U' D F2 L' R' D' B2
U' D F2 L' D' R' B2
U' D F2 R' L' D' B2
U2 D F2 L' R' D' B2
U2 D F2 L' D' R' B2
U2 D F2 R' L' D' B2
D U F2 L' R' D' B2
D U F2 L' D' R' B2
D U F2 R' L' D' B2
U D F2 L' R' D' B2
U D F2 L' D' R' B2
U D F2 R' L' D' B2
D U' L U F2 L' R'
D U' L U F2 R' L'
L2 D' F2 R U' L' R2
L2 D' F2 R U' R2 L'
D U' F2 L' R' D' B2
D U' F2 L' D' R' B2
D U' F2 R' L' D' B2
R' D2 L R2 U L R2
R' D2 L R2 U R2 L
R D' B2 U' R' F2 U'
R D' B2 U' F2 R' U'
R' D2 L' D' L' F2 B2
R' D2 L' D' L' B2 F2
R' D2 L' D' B2 L' F2
R' D2 L2 U' L' R2 U
R' D2 L2 U' R2 L' U
D U2 L U F2 L' R'
D U2 L U F2 R' L'
R D2 L2 U L' R2 U
R D2 L2 U R2 L' U
R' D2 R2 L U L R2
R' D2 R2 L U R2 L
R' D2 U' L R2 U L
R' D2 U' R2 L U L
L2 D2 F2 R U' L' R2
L2 D2 F2 R U' R2 L'
D U2 F2 L' R' D' B2
D U2 F2 L' D' R' B2
D U2 F2 R' L' D' B2
D F R' F L' D' B2
F2 D L U L2 R' F2
F2 D L U L2 F2 R'
F2 D L U R' L2 F2
F2 D L U R' F2 L2
F2 D L U F2 L2 R'
F2 D L U F2 R' L2
F2 D L' R' F2 D' B2
B D L F2 B' L' R'
B D L F2 B' R' L'
B D L B' F2 L' R'
B D L B' F2 R' L'
F2 D L' F2 R' D' B2
F2 D L' F2 D' R' B2
B D L2 F2 L' B' R'
F2 D R' L' F2 D' B2
B D F2 L B' L2 R'
B D F2 L B' R' L2
D2 F2 L R2 U L2 R
D2 F2 L R2 U R L2
D2 F2 L' D' R' F2 B2
D2 F2 L' D' R' B2 F2
D2 F2 L' D' F2 R' B2
L' F2 L2 R U L R2
L' F2 L2 R U R2 L
D F2 L' R' U' L2 U
D F2 L' R' D' B2 D
D F2 L' R' D' B2 D'
D F2 L' R' D' B2 D2
D F2 L' R' B D' B2
D F2 L' R' B' D' B2
D F2 L' R' B2 D' B2
D F2 L' R2 D' R B2
D F2 L' R2 D' B2 R
D F2 L' U' L2 U R'
D F2 L' D R' D2 B2
D F2 L' D' R B2 R2
D F2 L' D' R' B2 D
D F2 L' D' R' B2 D'
D F2 L' D' R' B2 D2
D F2 L' D' R2 B2 R
L' F2 R L2 U L R2
L' F2 R L2 U R2 L
D F2 L' B2 D' B2 R'
L2 F2 R U' L' R2 D
L2 F2 R U' L' R2 D'
L2 F2 R U' L' R2 D2
L2 F2 R U' R2 L' D
L2 F2 R U' R2 L' D'
L2 F2 R U' R2 L' D2
L2 F2 R U' R2 D L'
L2 F2 R U' R2 D' L'
L2 F2 R U' R2 D2 L'
L' F2 R' D' L' F2 B2
L' F2 R' D' L' B2 F2
L2 F2 R B U' L' R2
L2 F2 R B U' R2 L'
L' F2 R' D' B2 L' F2
L2 F2 R B' U' L' R2
L2 F2 R B' U' R2 L'
L2 F2 R B2 U' L' R2
L2 F2 R B2 U' R2 L'
D2 F2 R2 L U L2 R
D2 F2 R2 L U R L2
D F2 R' L' U' L2 U
D F2 R' L' D' B2 D
D F2 R' L' D' B2 D'
D F2 R' L' D' B2 D2
D F2 R' L' B D' B2
D F2 R' L' B' D' B2
D F2 R' L' B2 D' B2
D F2 R' U' L U L2
D F2 R' D L' D' B2
D F2 R' D' L' D' B2
D F2 R' D2 L' D' B2
D F2 R2 L' D' R B2
D F2 R2 L' D' B2 R
L2 F2 U' L' R' D B2
L2 F2 U' R' L' D B2
L F2 U L' R' D F2
L2 F2 U' R' D L' B2
L2 F2 U' R' D B2 L'
L F2 U L' D R' F2
L F2 U L' D F2 R'
F2 D2 L R2 U L2 R
F2 D2 L R2 U R L2
L F2 U R' L' D F2
D F2 U' L U L2 R'
D F2 U' L U R' L2
F2 D2 L' D' R' F2 B2
F2 D2 L' D' R' B2 F2
F2 D2 L' D' F2 R' B2
L2 F2 D R U' L' R2
L2 F2 D R U' R2 L'
L F2 U2 L U' L2 R'
L F2 U2 L U' R' L2
D F2 D L' R' D' B2
D F2 D L' D' R' B2
D F2 D R' L' D' B2
L2 F2 D' R U' L' R2
L2 F2 D' R U' R2 L'
D F2 D' L' R' D' B2
D F2 D' L' D' R' B2
D F2 D' R' L' D' B2
L2 F2 D2 R U' L' R2
L2 F2 D2 R U' R2 L'
D F2 D2 L' R' D' B2
D F2 D2 L' D' R' B2
D F2 D2 R' L' D' B2
F2 D2 R2 L U L2 R
F2 D2 R2 L U R L2
D' B2 L R U' R2 U'
D' B2 L R U2 D B2
D' B2 L R D U2 B2
D' B2 L R D' F2 U2
D' B2 R L U' R2 U'
D' B2 R L U2 D B2
D' B2 R L D U2 B2
D' B2 R L D' F2 U2
D' B2 R U2 D B2 R'
D' B2 R D L U2 B2
R2 B2 L2 R' U' L' R2
R2 B2 L2 R' U' R2 L'
D' B2 R D U2 B2 R'
D' B2 R D' L F2 U2
D' B2 R D' F2 L U2
R2 B2 R D L F2 B2
R2 B2 R D L B2 F2
R2 B2 R D F2 L B2
R2 B2 R' L2 U' L' R2
R2 B2 R' L2 U' R2 L'
L B2 R' U' L R2 U2
L B2 R' U' R2 L U2
R B2 U' L2 R' U' R'
R B2 U' R' L2 U' R'
