D2 L R B' U' R2
L R U2 F' U R2
R L U2 F' U R2
R' L B R2 U' R2
L R' B R2 U' R2
R' U L B R2 U'
D2 R L B' U' R2
U' L R U2 F' U R2
U2 L R U2 F' U R2
D2 L R D' F2 B' U'
D2 L R D' B' F2 U'
U L R U2 F' U R2
D' L R F U' L' R2
D' L R F U' R2 L'
D2 L R F B' U' R2
D2 L R F' B' U' R2
D2 L R F2 B' U' R2
D2 L R B' U' R2 D
D2 L R B' U' R2 D'
D2 L R B' U' R2 D2
D2 L R B' D' F2 U'
D2 L R B' F U' R2
D2 L R B' F' U' R2
D2 L R B' F2 U' R2
D L R B' U' L R2
D L R B' U' R2 L
L R U' R2 U B U'
U' L R' B R2 U' R2
U2 L R' B R2 U' R2
D2 L R' B' R2 U' R2
R L U' R2 U B U'
U L R' B R2 U' R2
F' L R2 U' R B L
L R U2 D F' B2 U
L R U2 D B2 F' U
R L U2 D F' B2 U
R L U2 D B2 F' U
L R U2 F' U R2 D
L R U2 F' U R2 D'
L R U2 F' U R2 D2
L R U2 F' D B2 U
L R U2 F' B U R2
L R U2 F' B' U R2
L R U2 F' B2 U R2
L R U2 B F' U R2
R L U2 F' U R2 D
R L U2 F' U R2 D'
R L U2 F' U R2 D2
R L U2 F' D B2 U
R L U2 F' B U R2
R L U2 F' B' U R2
R L U2 F' B2 U R2
L R U2 B' F' U R2
L R U2 B2 F' U R2
R L U2 B F' U R2
R L U2 B' F' U R2
R L U2 B2 F' U R2
L R D U2 F' B2 U
L R D U2 B2 F' U
R L D U2 F' B2 U
R L D U2 B2 F' U
L R D' F2 U2 F U
R L D' F2 U2 F U
D2 L D R B' U' R2
L R F U' R2 D' L2
L R F U2 F2 U R2
R L F U' R2 D' L2
R' L F B R2 U' R2
D2 L D' R B' U' R2
R L F U2 F2 U R2
L R F D' F2 U' L2
R L F D' F2 U' L2
L R F' U' R2 D2 L2
R L F' U' R2 D2 L2
R' L F' B R2 U' R2
D2 L D2 R B' U' R2
L' R F2 L2 B' U' R2
L R F2 U2 F U R2
R' L F2 B R2 U' R2
R L F2 U2 F U R2
R' L B R2 U' R2 D
R' L B R2 U' R2 D'
R' L B R2 U' R2 D2
R' L B R2 D' F2 U'
R' L B R2 F U' R2
R' L B R2 F' U' R2
R' L B R2 F2 U' R2
L R B U2 F' U R2
R' L B F R2 U' R2
R L B U2 F' U R2
R' L B F' R2 U' R2
R' L B F2 R2 U' R2
R' L B' R2 B2 U' R2
L R B' U2 F' U R2
R L B' U2 F' U R2
R' L B2 R2 B' U' R2
L R B2 U2 F' U R2
R L B2 U2 F' U R2
L' R' U L2 B R2 U'
R' L' U L2 B R2 U'
L2 R' U L' B R2 U'
L' R' U B L2 R2 U'
R' L' U B L2 R2 U'
L' R' U B R2 L2 U'
R' L' U B R2 L2 U'
L2 R' U B L' R2 U'
L2 R' U B R2 L' U'
D2 L B' D' R F' U'
L R' F B R2 U' R2
L R' F' B R2 U' R2
R L' F2 L2 B' U' R2
R' L' B L2 R2 U' R2
L R' F2 B R2 U' R2
L' R' B L2 R2 U' R2
R' L' B R2 L2 U' R2
L2 R' B L' R2 U' R2
L' R' B R2 L2 U' R2
L2 R' B R2 L' U' R2
L R' B R2 U' R2 D
L R' B R2 U' R2 D'
L R' B R2 U' R2 D2
L R' B R2 D' F2 U'
L R' B R2 F U' R2
L R' B R2 F' U' R2
L R' B R2 F2 U' R2
L R' B F R2 U' R2
L R' B F' R2 U' R2
L R' B F2 R2 U' R2
R' L' B' D L2 F2 B2
R' L' B' D L2 B2 F2
L' R' B' D L2 F2 B2
L' R' B' D L2 B2 F2
R' L' B' D F2 L2 B2
R' L' B' D F2 B2 L2
R' L' B' D B2 L2 F2
R' L' B' D B2 F2 L2
L' R' B' D F2 L2 B2
L' R' B' D F2 B2 L2
L' R' B' D B2 L2 F2
L' R' B' D B2 F2 L2
L R' B' R2 B2 U' R2
L R' B2 R2 B' U' R2
R' L2 U L' B R2 U'
R' L2 U B L' R2 U'
R' L2 U B R2 L' U'
R' L2 B L' R2 U' R2
R' L2 B R2 L' U' R2
R' U L R2 U2 F' U
R' U L D B U' B
R' U L B R2 U' D
R' U L B R2 U' D'
R' U L B R2 U' D2
R' U L B R2 D U'
R' U L B R2 D' U'
R' U L B R2 D2 U'
R' U L B U' D B2
R' U L B D U' B2
R' U L B' R2 B2 U'
R' U L B2 R2 B' U'
R' U L' B L2 R2 U'
R' U L' B R2 L2 U'
R' U L2 B L' R2 U'
R' U L2 B R2 L' U'
R' U R2 L U2 F' U
R' U D L B U' B
U' R L U2 F' U R2
D2 R L D' F2 B' U'
D2 R L D' B' F2 U'
D2 R L F B' U' R2
D' R L F U' L' R2
D' R L F U' R2 L'
U2 R L U2 F' U R2
D2 R L F' B' U' R2
D2 R L F2 B' U' R2
D2 R L B' U' R2 D
D2 R L B' U' R2 D'
D2 R L B' U' R2 D2
D2 R L B' D' F2 U'
D2 R L B' F U' R2
D2 R L B' F' U' R2
D2 R L B' F2 U' R2
U R L U2 F' U R2
D R L B' U' L R2
D R L B' U' R2 L
D' R D' L F2 B' U'
D' R D' L B' F2 U'
D' R D' F2 L B' U'
D' R F L U' L2 R2
D' R F L U' R2 L2
D2 R F L B' U' R2
D2 R F' L B' U' R2
D2 R F2 L B' U' R2
L U' R' U B R2 U'
L U' R' B' D L2 B2
L U' R' B' D B2 L2
R U' R2 U L B U'
D R B' U' L R2 F
D R B' U' L F R2
D R B' U' R2 L F
D2 R' L B' R2 U' R2
U' R' L B R2 U' R2
U2 R' L B R2 U' R2
U R' L B R2 U' R2
D2 R' U L R2 B' U'
D2 R' U L B' R2 U'
U' R' U L B R2 U'
D2 R' U R2 L B' U'
U2 R' U L B R2 U'
U R' U L B R2 U'
D' R' F L' D F2 B2
D' R' F L' D B2 F2
B' R' B L R2 U' R
B' R' B R2 L U' R
F' R2 L U' R B L
R U2 D F' B2 R' U
R U2 D B2 F' R' U
R U2 F' U2 L U' R2
R U2 F' D B2 R' U
R U2 F' B2 R' U R'
R U2 B2 F' R' U R'
R D L U2 F' B2 U
R D L U2 B2 F' U
L D R B' U' L R2
L D R B' U' R2 L
R' D U L B U' B
D2 U L R B' U' R2
R D U2 F' B2 R' U
R D U2 B2 F' R' U
D2 U R L B' U' R2
R D' L F2 U2 F U
R D' L' F2 L2 B' U'
L D' R F U' L' R2
L D' R F U' R2 L'
D2 U' L R B' U' R2
D2 U' R L B' U' R2
R D' F2 L2 B' L' U'
U' D2 L R B' U' R2
D2 U2 L R B' U' R2
U2 D2 L R B' U' R2
U D2 L R B' U' R2
U' D2 R L B' U' R2
D2 U2 R L B' U' R2
U2 D2 R L B' U' R2
U D2 R L B' U' R2
R' F L B R2 U' R2
D' F L' D R' F2 B
D' F L' D R' B F2
D' F L' D F2 R' B
R F L U' R2 D' L2
R F L U2 F2 U R2
R F L D' F2 U' L2
R' F U L B R2 U'
R F D' L F2 U' L
R F D' F2 L U' L
R F D2 L B2 U' R'
R' F' L B R2 U' R2
R F' L U' R2 D2 L2
R' F' U L B R2 U'
L F' R2 U' R B L
R' F2 L B R2 U' R2
L2 F2 L' R F' U R2
L2 F2 R L' F' U R2
R F2 L2 B' L' U' R2
R' F2 U L B R2 U'
L B' R' B R2 U' R
R2 B2 L R' F' U R2
R2 B2 R' L F' U R2
R2 B2 R' F' L U R2
R B2 U2 F' R' U R'
