L R U L2 R2 U
L R U R2 L2 U
R L U L2 R2 U
R L U R2 L2 U
L R U2 D' F2 B2
L R U2 D' B2 F2
R L U2 D' F2 B2
R L U2 D' B2 F2
L R D F2 B2 U2
L R D B2 F2 U2
R L D F2 B2 U2
R L D B2 F2 U2
L R D' U2 F2 B2
L R D' U2 B2 F2
R L D' U2 F2 B2
R L D' U2 B2 F2
R' L' U D2 L2 R2
R' L' U D2 R2 L2
L' R' U D2 L2 R2
L' R' U D2 R2 L2
R' L' U' L2 R2 U2
L' R' U' L2 R2 U2
R' L' U' R2 L2 U2
L' R' U' R2 L2 U2
L' R' D' F2 B2 U
R' L' D' F2 B2 U
L' R' D' B2 F2 U
R' L' D' B2 F2 U
L' R' D2 U L2 R2
L' R' D2 U R2 L2
R' L' D2 U L2 R2
R' L' D2 U R2 L2
U' L R U L2 R2 U
D2 L R U L2 R2 U
U' L R U R2 L2 U
D2 L R U R2 L2 U
U2 L R U L2 R2 U
D' L R U L2 R2 U
U2 L R U R2 L2 U
D' L R U R2 L2 U
D L R U L2 R2 U
D L R U R2 L2 U
U' L R U2 D' F2 B2
U' L R U2 D' B2 F2
D2 L R U2 D' F2 B2
D2 L R U2 D' B2 F2
U2 L R U2 D' F2 B2
U2 L R U2 D' B2 F2
D' L R U2 D' F2 B2
D' L R U2 D' B2 F2
L R U L2 R2 U D
L R U L2 R2 U D'
L R U L2 R2 U D2
L R U L2 R2 D U
L R U L2 R2 D' U
L R U L2 R2 D2 U
U L R U L2 R2 U
L R U L2 U D' F2
U L R U R2 L2 U
L R U L2 D' U F2
U' L R D F2 B2 U2
D2 L R D F2 B2 U2
U' L R D B2 F2 U2
U2 L R D F2 B2 U2
D' L R D F2 B2 U2
D2 L R D B2 F2 U2
U2 L R D B2 F2 U2
D' L R D B2 F2 U2
D L R U2 D' F2 B2
D L R U2 D' B2 F2
U' L R D' U2 F2 B2
U' L R D' U2 B2 F2
D2 L R D' U2 F2 B2
D2 L R D' U2 B2 F2
U2 L R D' U2 F2 B2
U2 L R D' U2 B2 F2
D' L R D' U2 F2 B2
D' L R D' U2 B2 F2
U L R U2 D' F2 B2
U L R U2 D' B2 F2
D L R D F2 B2 U2
D L R D B2 F2 U2
R L U L2 R2 U D
R L U L2 R2 U D'
R L U L2 R2 U D2
R L U L2 R2 D U
R L U L2 R2 D' U
R L U L2 R2 D2 U
R L U L2 U D' F2
L R U R2 L2 U D
L R U R2 L2 U D'
L R U R2 L2 U D2
L R U R2 L2 D U
L R U R2 L2 D' U
L R U R2 L2 D2 U
L R U R2 U D' B2
R L U L2 D' U F2
D L R D' U2 F2 B2
D L R D' U2 B2 F2
L R U R2 D' U B2
U L R D F2 B2 U2
U L R D B2 F2 U2
U L R D' U2 F2 B2
U L R D' U2 B2 F2
R L U R2 L2 U D
R L U R2 L2 U D'
R L U R2 L2 U D2
R L U R2 L2 D U
R L U R2 L2 D' U
R L U R2 L2 D2 U
R L U R2 U D' B2
R L U R2 D' U B2
L R U' D2 L2 R2 U'
L R U' D2 R2 L2 U'
R L U' D2 L2 R2 U'
R L U' D2 R2 L2 U'
